region,round,team1,seed1,score1,team2,seed2,score2,winner,year
Midwest,First Round,Western Kentucky,8,82,Michigan,9,76,Western Kentucky,1995
Midwest,First Round,Arizona,5,62,Miami (OH),12,71,Miami (OH),1995
Midwest,First Round,Virginia,4,96,Nicholls State,13,72,Virginia,1995
Midwest,First Round,Memphis,6,77,Louisville,11,56,Memphis,1995
Midwest,First Round,Purdue,3,49,Green Bay,14,48,Purdue,1995
Midwest,First Round,Syracuse,7,96,Southern Illinois,10,92,Syracuse,1995
Midwest,First Round,Arkansas,2,79,Texas Southern,15,78,Arkansas,1995
Midwest,Second Round,Kansas,1,75,Western Kentucky,8,70,Kansas,1995
Midwest,Second Round,Miami (OH),12,54,Virginia,4,60,Virginia,1995
Midwest,Second Round,Memphis,6,75,Purdue,3,73,Memphis,1995
Midwest,Second Round,Syracuse,7,94,Arkansas,2,96,Arkansas,1995
Midwest,Sweet Sixteen,Kansas,1,58,Virginia,4,67,Virginia,1995
Midwest,Sweet Sixteen,Memphis,6,91,Arkansas,2,96,Arkansas,1995
Midwest,Elite Eight,Virginia,4,61,Arkansas,2,68,Arkansas,1995
West,First Round,UCLA,1,92,Florida International,16,56,UCLA,1995
West,First Round,Missouri,8,65,Indiana,9,60,Missouri,1995
West,First Round,Mississippi State,5,75,Santa Clara,12,67,Mississippi State,1995
West,First Round,Utah,4,76,Long Beach State,13,64,Utah,1995
West,First Round,Oregon,6,73,Texas,11,90,Texas,1995
West,First Round,Maryland,3,87,Gonzaga,14,63,Maryland,1995
West,First Round,Cincinnati,7,77,Temple,10,71,Cincinnati,1995
West,First Round,UConn,2,100,Chattanooga,15,71,UConn,1995
West,Second Round,UCLA,1,75,Missouri,8,74,UCLA,1995
West,Second Round,Mississippi State,5,78,Utah,4,64,Mississippi State,1995
West,Second Round,Texas,11,68,Maryland,3,82,Maryland,1995
West,Second Round,Cincinnati,7,91,UConn,2,96,UConn,1995
West,Sweet Sixteen,UCLA,1,86,Mississippi State,5,67,UCLA,1995
West,Sweet Sixteen,Maryland,3,89,UConn,2,99,UConn,1995
West,Elite Eight,UCLA,1,102,UConn,2,96,UCLA,1995
National,Final Four,UCLA,1,74,Oklahoma State,4,61,UCLA,1995
National,Final Four,UNC,2,68,Arkansas,2,75,Arkansas,1995
National,Championship,UCLA,1,89,Arkansas,2,78,UCLA,1995
East,First Round,UNC,1,71,Liberty,16,51,UNC,1994
East,First Round,Washington State,8,64,Boston College,9,67,Boston College,1994
East,First Round,Indiana,5,84,Ohio,12,72,Indiana,1994
East,First Round,Temple,4,61,Drexel,13,39,Temple,1994
East,First Round,Nebraska,6,80,Penn,11,90,Penn,1994
East,First Round,Florida,3,64,James Madison,14,62,Florida,1994
East,First Round,UAB,7,46,George Washington,10,51,George Washington,1994
East,First Round,UConn,2,64,Rider,15,46,UConn,1994
East,Second Round,UNC,1,72,Boston College,9,75,Boston College,1994
East,Second Round,Indiana,5,67,Temple,4,58,Indiana,1994
East,Second Round,Penn,11,58,Florida,3,70,Florida,1994
East,Second Round,George Washington,10,63,UConn,2,75,UConn,1994
East,Sweet Sixteen,Boston College,9,77,Indiana,5,68,Boston College,1994
East,Sweet Sixteen,Florida,3,69,UConn,2,60,Florida,1994
East,Elite Eight,Boston College,9,66,Florida,3,74,Florida,1994
Midwest,First Round,Arkansas,1,94,North Carolina A&T,16,79,Arkansas,1994
Midwest,First Round,Illinois,8,77,Georgetown,9,84,Georgetown,1994
Midwest,First Round,UCLA,5,102,Tulsa,12,112,Tulsa,1994
Midwest,First Round,Oklahoma State,4,65,New Mexico State,13,55,Oklahoma State,1994
Midwest,First Round,Texas,6,91,Western Kentucky,11,77,Texas,1994
