region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Duke,1,99,Florida A&M,16,58,Duke
East,First Round,College of Charleston,8,53,Tulsa,9,62,Tulsa
East,First Round,Wisconsin,5,32,Missouri State,12,43,Missouri State
East,First Round,Tennessee,4,62,Delaware,13,52,Tennessee
East,First Round,Temple,6,61,Kent State,11,54,Temple
East,First Round,Cincinnati,3,72,George Mason,14,48,Cincinnati
East,First Round,Texas,7,54,Purdue,10,58,Purdue
East,First Round,Miami (FL),2,75,Lafayette,15,54,Miami (FL)
East,Second Round,Duke,1,97,Tulsa,9,56,Duke
East,Second Round,Missouri State,12,81,Tennessee,4,51,Missouri State
East,Second Round,Temple,6,64,Cincinnati,3,54,Temple
East,Second Round,Purdue,10,73,Miami (FL),2,63,Purdue
East,Sweet Sixteen,Duke,1,78,Missouri State,12,61,Duke
East,Sweet Sixteen,Temple,6,77,Purdue,10,55,Temple
East,Elite Eight,Duke,1,85,Temple,6,64,Duke
Midwest,First Round,Michigan State,1,76,Mount St. Mary's,16,53,Michigan State
Midwest,First Round,Villanova,8,70,Ole Miss,9,72,Ole Miss
Midwest,First Round,Charlotte,5,81,Rhode Island,12,70,Charlotte
Midwest,First Round,Arizona,4,60,Oklahoma,13,61,Oklahoma
Midwest,First Round,Kansas,6,95,Evansville,11,74,Kansas
Midwest,First Round,Kentucky,3,82,New Mexico State,14,60,Kentucky
Midwest,First Round,Washington,7,58,Miami (OH),10,59,Miami (OH)
Midwest,First Round,Utah,2,80,Arkansas State,15,58,Utah
Midwest,Second Round,Michigan State,1,74,Ole Miss,9,66,Michigan State
Midwest,Second Round,Charlotte,5,72,Oklahoma,13,85,Oklahoma
Midwest,Second Round,Kansas,6,88,Kentucky,3,92,Kentucky
Midwest,Second Round,Miami (OH),10,66,Utah,2,58,Miami (OH)
Midwest,Sweet Sixteen,Michigan State,1,54,Oklahoma,13,46,Michigan State
Midwest,Sweet Sixteen,Kentucky,3,58,Miami (OH),10,43,Kentucky
Midwest,Elite Eight,Michigan State,1,73,Kentucky,3,66,Michigan State
South,First Round,Auburn,1,80,Winthrop,16,41,Auburn
South,First Round,Syracuse,8,61,Oklahoma State,9,69,Oklahoma State
South,First Round,UCLA,5,53,Detroit Mercy,12,56,Detroit Mercy
South,First Round,Ohio State,4,72,Murray State,13,58,Ohio State
South,First Round,Indiana,6,108,George Washington,11,88,Indiana
South,First Round,St. John's (NY),3,69,Samford,14,43,St. John's (NY)
South,First Round,Louisville,7,58,Creighton,10,62,Creighton
South,First Round,Maryland,2,82,Valparaiso,15,60,Maryland
South,Second Round,Auburn,1,81,Oklahoma State,9,74,Auburn
South,Second Round,Detroit Mercy,12,44,Ohio State,4,75,Ohio State
South,Second Round,Indiana,6,61,St. John's (NY),3,86,St. John's (NY)
South,Second Round,Creighton,10,63,Maryland,2,75,Maryland
South,Sweet Sixteen,Auburn,1,64,Ohio State,4,72,Ohio State
South,Sweet Sixteen,St. John's (NY),3,76,Maryland,2,62,St. John's (NY)
South,Elite Eight,Ohio State,4,77,St. John's (NY),3,74,Ohio State
West,First Round,UConn,1,91,UTSA,16,66,UConn
West,First Round,Missouri,8,59,New Mexico,9,61,New Mexico
West,First Round,Iowa,5,77,UAB,12,64,Iowa
West,First Round,Arkansas,4,94,Siena,13,80,Arkansas
West,First Round,Florida,6,75,Penn,11,61,Florida
West,First Round,UNC,3,74,Weber State,14,76,Weber State
West,First Round,Minnesota,7,63,Gonzaga,10,75,Gonzaga
West,First Round,Stanford,2,69,Alcorn State,15,57,Stanford
West,Second Round,UConn,1,78,New Mexico,9,56,UConn
West,Second Round,Iowa,5,82,Arkansas,4,72,Iowa
West,Second Round,Florida,6,82,Weber State,14,74,Florida
West,Second Round,Gonzaga,10,82,Stanford,2,74,Gonzaga
West,Sweet Sixteen,UConn,1,78,Iowa,5,68,UConn
West,Sweet Sixteen,Florida,6,72,Gonzaga,10,73,Gonzaga
West,Elite Eight,UConn,1,67,Gonzaga,10,62,UConn
National,Final Four,UConn,1,64,Ohio State,4,58,UConn
National,Final Four,Michigan State,1,62,Duke,1,68,Duke
National,Championship,UConn,1,77,Duke,1,74,UConn
