region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Villanova,1,87,Radford,16,61,Villanova
East,First Round,Virginia Tech,8,83,Alabama,9,86,Alabama
East,First Round,West Virginia,5,85,Murray State,12,68,West Virginia
East,First Round,Wichita State,4,75,Marshall,13,81,Marshall
East,First Round,Florida,6,77,St. Bonaventure,11,62,Florida
East,First Round,Texas Tech,3,70,Stephen F. Austin,14,60,Texas Tech
East,First Round,Arkansas,7,62,Butler,10,79,Butler
East,First Round,Purdue,2,74,Cal State Fullerton,15,48,Purdue
East,Second Round,Villanova,1,81,Alabama,9,58,Villanova
East,Second Round,West Virginia,5,94,Marshall,13,71,West Virginia
East,Second Round,Florida,6,66,Texas Tech,3,69,Texas Tech
East,Second Round,Butler,10,73,Purdue,2,76,Purdue
East,Sweet Sixteen,Villanova,1,90,West Virginia,5,78,Villanova
East,Sweet Sixteen,Texas Tech,3,78,Purdue,2,65,Texas Tech
East,Elite Eight,Villanova,1,71,Texas Tech,3,59,Villanova
Midwest,First Round,Kansas,1,76,Penn,16,60,Kansas
Midwest,First Round,Seton Hall,8,94,NC State,9,83,Seton Hall
Midwest,First Round,Clemson,5,79,New Mexico State,12,68,Clemson
Midwest,First Round,Auburn,4,62,College of Charleston,13,58,Auburn
Midwest,First Round,TCU,6,52,Syracuse,11,57,Syracuse
Midwest,First Round,Michigan State,3,82,Bucknell,14,78,Michigan State
Midwest,First Round,Rhode Island,7,83,Oklahoma,10,78,Rhode Island
Midwest,First Round,Duke,2,89,Iona,15,67,Duke
Midwest,Second Round,Kansas,1,83,Seton Hall,8,79,Kansas
Midwest,Second Round,Clemson,5,84,Auburn,4,53,Clemson
Midwest,Second Round,Syracuse,11,55,Michigan State,3,53,Syracuse
Midwest,Second Round,Rhode Island,7,62,Duke,2,87,Duke
Midwest,Sweet Sixteen,Kansas,1,80,Clemson,5,76,Kansas
Midwest,Sweet Sixteen,Syracuse,11,65,Duke,2,69,Duke
Midwest,Elite Eight,Kansas,1,85,Duke,2,81,Kansas
South,First Round,Virginia,1,54,UMBC,16,74,UMBC
South,First Round,Creighton,8,59,Kansas State,9,69,Kansas State
South,First Round,Kentucky,5,78,Davidson,12,73,Kentucky
South,First Round,Arizona,4,68,Buffalo,13,89,Buffalo
South,First Round,Miami (FL),6,62,Loyola (IL),11,64,Loyola (IL)
South,First Round,Tennessee,3,73,Wright State,14,47,Tennessee
South,First Round,Nevada,7,87,Texas,10,83,Nevada
South,First Round,Cincinnati,2,68,Georgia State,15,53,Cincinnati
South,Second Round,UMBC,16,43,Kansas State,9,50,Kansas State
South,Second Round,Kentucky,5,95,Buffalo,13,75,Kentucky
South,Second Round,Loyola (IL),11,63,Tennessee,3,62,Loyola (IL)
South,Second Round,Nevada,7,75,Cincinnati,2,73,Nevada
South,Sweet Sixteen,Kansas State,9,61,Kentucky,5,58,Kansas State
South,Sweet Sixteen,Loyola (IL),11,69,Nevada,7,68,Loyola (IL)
South,Elite Eight,Kansas State,9,62,Loyola (IL),11,78,Loyola (IL)
West,First Round,Xavier,1,102,Texas Southern,16,83,Xavier
West,First Round,Missouri,8,54,Florida State,9,67,Florida State
West,First Round,Ohio State,5,81,South Dakota State,12,73,Ohio State
West,First Round,Gonzaga,4,68,UNC Greensboro,13,64,Gonzaga
West,First Round,Houston,6,67,San Diego State,11,65,Houston
West,First Round,Michigan,3,61,Montana,14,47,Michigan
West,First Round,Texas A&M,7,73,Providence,10,69,Texas A&M
West,First Round,UNC,2,84,Lipscomb,15,66,UNC
West,Second Round,Xavier,1,70,Florida State,9,75,Florida State
West,Second Round,Ohio State,5,84,Gonzaga,4,90,Gonzaga
West,Second Round,Houston,6,63,Michigan,3,64,Michigan
West,Second Round,Texas A&M,7,86,UNC,2,65,Texas A&M
West,Sweet Sixteen,Florida State,9,75,Gonzaga,4,60,Florida State
West,Sweet Sixteen,Michigan,3,99,Texas A&M,7,72,Michigan
West,Elite Eight,Florida State,9,54,Michigan,3,58,Michigan
National,Final Four,Villanova,1,95,Kansas,1,79,Villanova
National,Final Four,Loyola (IL),11,57,Michigan,3,69,Michigan
National,Championship,Villanova,1,79,Michigan,3,62,Villanova
