region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,UConn,1,76,Boston University,16,52,UConn
East,First Round,Indiana,8,63,California,9,65,California
East,First Round,Clemson,5,49,BYU,12,47,Clemson
East,First Round,La Salle,4,79,Southern Miss,13,63,La Salle
East,First Round,St. John's (NY),6,81,Temple,11,65,St. John's (NY)
East,First Round,Duke,3,81,Richmond,14,46,Duke
East,First Round,UCLA,7,68,UAB,10,56,UCLA
East,First Round,Kansas,2,79,Robert Morris,15,71,Kansas
East,Second Round,UConn,1,74,California,9,54,UConn
East,Second Round,Clemson,5,79,La Salle,4,75,Clemson
East,Second Round,St. John's (NY),6,72,Duke,3,76,Duke
East,Second Round,UCLA,7,71,Kansas,2,70,UCLA
East,Sweet Sixteen,UConn,1,71,Clemson,5,70,UConn
East,Sweet Sixteen,Duke,3,90,UCLA,7,81,Duke
East,Elite Eight,UConn,1,78,Duke,3,79,Duke
Midwest,First Round,Oklahoma,1,77,Towson,16,68,Oklahoma
Midwest,First Round,UNC,8,83,Missouri State,9,70,UNC
Midwest,First Round,Illinois,5,86,Dayton,12,88,Dayton
Midwest,First Round,Arkansas,4,68,Princeton,13,64,Arkansas
Midwest,First Round,Xavier,6,87,Kansas State,11,79,Xavier
Midwest,First Round,Georgetown,3,70,Texas Southern,14,52,Georgetown
Midwest,First Round,Georgia,7,88,Texas,10,100,Texas
Midwest,First Round,Purdue,2,75,Louisiana-Monroe,15,63,Purdue
Midwest,Second Round,Oklahoma,1,77,UNC,8,79,UNC
Midwest,Second Round,Dayton,12,84,Arkansas,4,86,Arkansas
Midwest,Second Round,Xavier,6,74,Georgetown,3,71,Xavier
Midwest,Second Round,Texas,10,73,Purdue,2,72,Texas
Midwest,Sweet Sixteen,UNC,8,73,Arkansas,4,96,Arkansas
Midwest,Sweet Sixteen,Xavier,6,89,Texas,10,102,Texas
Midwest,Elite Eight,Arkansas,4,88,Texas,10,85,Arkansas
West,First Round,UNLV,1,102,Little Rock,16,72,UNLV
West,First Round,Ohio State,8,84,Providence,9,83,Ohio State
West,First Round,Oregon State,5,53,Ball State,12,54,Ball State
West,First Round,Louisville,4,78,Idaho,13,59,Louisville
West,First Round,New Mexico State,6,92,Loyola Marymount,11,111,Loyola Marymount
West,First Round,Michigan,3,76,Illinois State,14,70,Michigan
West,First Round,Alabama,7,71,Colorado State,10,54,Alabama
West,First Round,Arizona,2,79,South Florida,15,67,Arizona
West,Second Round,UNLV,1,76,Ohio State,8,65,UNLV
West,Second Round,Ball State,12,62,Louisville,4,60,Ball State
West,Second Round,Loyola Marymount,11,149,Michigan,3,115,Loyola Marymount
West,Second Round,Alabama,7,77,Arizona,2,55,Alabama
West,Sweet Sixteen,UNLV,1,69,Ball State,12,67,UNLV
West,Sweet Sixteen,Loyola Marymount,11,62,Alabama,7,60,Loyola Marymount
West,Elite Eight,UNLV,1,131,Loyola Marymount,11,101,UNLV
National,Final Four,UNLV,1,90,Georgia Tech,4,81,UNLV
National,Final Four,Arkansas,4,83,Duke,3,97,Duke
National,Championship,UNLV,1,103,Duke,3,73,UNLV
