region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Baylor,1,85,Norfolk State,16,49,Baylor
East,First Round,UNC,8,95,Marquette,9,63,UNC
East,First Round,Saint Mary's,5,82,Indiana,12,53,Saint Mary's
East,First Round,UCLA,4,57,Akron,13,53,UCLA
East,First Round,Texas,6,81,Virginia Tech,11,73,Texas
East,First Round,Purdue,3,78,Yale,14,56,Purdue
East,First Round,Murray State,7,92,San Francisco,10,87,Murray State
East,First Round,Kentucky,2,79,St. Peter's,15,85,St. Peter's
East,Second Round,Baylor,1,86,UNC,8,93,UNC
East,Second Round,Saint Mary's,5,56,UCLA,4,72,UCLA
East,Second Round,Texas,6,71,Purdue,3,81,Purdue
East,Second Round,Murray State,7,60,St. Peter's,15,70,St. Peter's
East,Sweet Sixteen,UNC,8,73,UCLA,4,66,UNC
East,Sweet Sixteen,Purdue,3,64,St. Peter's,15,67,St. Peter's
East,Elite Eight,UNC,8,69,St. Peter's,15,49,UNC
Midwest,First Round,Kansas,1,83,Texas Southern,16,56,Kansas
Midwest,First Round,San Diego State,8,69,Creighton,9,72,Creighton
Midwest,First Round,Iowa,5,63,Richmond,12,67,Richmond
Midwest,First Round,Providence,4,66,South Dakota State,13,57,Providence
Midwest,First Round,LSU,6,54,Iowa State,11,59,Iowa State
Midwest,First Round,Wisconsin,3,67,Colgate,14,60,Wisconsin
Midwest,First Round,USC,7,66,Miami (FL),10,68,Miami (FL)
Midwest,First Round,Auburn,2,80,Jacksonville State,15,61,Auburn
Midwest,Second Round,Kansas,1,79,Creighton,9,72,Kansas
Midwest,Second Round,Richmond,12,51,Providence,4,79,Providence
Midwest,Second Round,Iowa State,11,54,Wisconsin,3,49,Iowa State
Midwest,Second Round,Miami (FL),10,79,Auburn,2,61,Miami (FL)
Midwest,Sweet Sixteen,Kansas,1,66,Providence,4,61,Kansas
Midwest,Sweet Sixteen,Iowa State,11,56,Miami (FL),10,70,Miami (FL)
Midwest,Elite Eight,Kansas,1,76,Miami (FL),10,50,Kansas
South,First Round,Arizona,1,87,Wright State,16,70,Arizona
South,First Round,Seton Hall,8,42,TCU,9,69,TCU
South,First Round,Houston,5,82,UAB,12,68,Houston
South,First Round,Illinois,4,54,Chattanooga,13,53,Illinois
South,First Round,Colorado State,6,63,Michigan,11,75,Michigan
South,First Round,Tennessee,3,88,Longwood,14,56,Tennessee
South,First Round,Ohio State,7,54,Loyola (IL),10,41,Ohio State
South,First Round,Villanova,2,80,Delaware,15,60,Villanova
South,Second Round,Arizona,1,85,TCU,9,80,Arizona
South,Second Round,Houston,5,68,Illinois,4,53,Houston
South,Second Round,Michigan,11,76,Tennessee,3,68,Michigan
South,Second Round,Ohio State,7,61,Villanova,2,71,Villanova
South,Sweet Sixteen,Arizona,1,60,Houston,5,72,Houston
South,Sweet Sixteen,Michigan,11,55,Villanova,2,63,Villanova
South,Elite Eight,Houston,5,44,Villanova,2,50,Villanova
West,First Round,Gonzaga,1,93,Georgia State,16,72,Gonzaga
West,First Round,Boise State,8,53,Memphis,9,64,Memphis
West,First Round,UConn,5,63,New Mexico State,12,70,New Mexico State
West,First Round,Arkansas,4,75,Vermont,13,71,Arkansas
West,First Round,Alabama,6,64,Notre Dame,11,78,Notre Dame
West,First Round,Texas Tech,3,97,Montana State,14,62,Texas Tech
West,First Round,Michigan State,7,74,Davidson,10,73,Michigan State
West,First Round,Duke,2,78,Cal State Fullerton,15,61,Duke
West,Second Round,Gonzaga,1,82,Memphis,9,78,Gonzaga
West,Second Round,New Mexico State,12,48,Arkansas,4,53,Arkansas
West,Second Round,Notre Dame,11,53,Texas Tech,3,59,Texas Tech
West,Second Round,Michigan State,7,76,Duke,2,85,Duke
West,Sweet Sixteen,Gonzaga,1,68,Arkansas,4,74,Arkansas
West,Sweet Sixteen,Texas Tech,3,73,Duke,2,78,Duke
West,Elite Eight,Arkansas,4,69,Duke,2,78,Duke
National,Final Four,Villanova,2,65,Kansas,1,81,Kansas
National,Final Four,Duke,2,77,UNC,8,81,UNC
National,Championship,Kansas,1,72,UNC,8,69,Kansas
