region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Duke,1,82,Lamar,16,55,Duke
East,First Round,Kansas,8,81,DePaul,9,77,Kansas
East,First Round,Florida,5,69,Butler,12,68,Florida
East,First Round,Illinois,4,68,Penn,13,58,Illinois
East,First Round,Indiana,6,57,Pepperdine,11,77,Pepperdine
East,First Round,Oklahoma State,3,86,Hofstra,14,66,Oklahoma State
East,First Round,Oregon,7,71,Seton Hall,10,72,Seton Hall
East,First Round,Temple,2,73,Lafayette,15,47,Temple
East,Second Round,Duke,1,69,Kansas,8,64,Duke
East,Second Round,Florida,5,93,Illinois,4,76,Florida
East,Second Round,Pepperdine,11,67,Oklahoma State,3,75,Oklahoma State
East,Second Round,Seton Hall,10,67,Temple,2,65,Seton Hall
East,Sweet Sixteen,Duke,1,78,Florida,5,87,Florida
East,Sweet Sixteen,Oklahoma State,3,68,Seton Hall,10,66,Oklahoma State
East,Elite Eight,Florida,5,77,Oklahoma State,3,65,Florida
Midwest,First Round,Michigan State,1,65,Valparaiso,16,38,Michigan State
Midwest,First Round,Utah,8,48,Saint Louis,9,45,Utah
Midwest,First Round,Kentucky,5,85,St. Bonaventure,12,80,Kentucky
Midwest,First Round,Syracuse,4,79,Samford,13,65,Syracuse
Midwest,First Round,UCLA,6,65,Ball State,11,57,UCLA
Midwest,First Round,Maryland,3,74,Iona,14,59,Maryland
Midwest,First Round,Auburn,7,72,Creighton,10,69,Auburn
Midwest,First Round,Iowa State,2,88,Central Connecticut,15,78,Iowa State
Midwest,Second Round,Michigan State,1,73,Utah,8,61,Michigan State
Midwest,Second Round,Kentucky,5,50,Syracuse,4,52,Syracuse
Midwest,Second Round,UCLA,6,105,Maryland,3,70,UCLA
Midwest,Second Round,Auburn,7,60,Iowa State,2,79,Iowa State
Midwest,Sweet Sixteen,Michigan State,1,75,Syracuse,4,58,Michigan State
Midwest,Sweet Sixteen,UCLA,6,56,Iowa State,2,80,Iowa State
Midwest,Elite Eight,Michigan State,1,75,Iowa State,2,64,Michigan State
South,First Round,Stanford,1,84,South Carolina State,16,65,Stanford
South,First Round,UNC,8,84,Missouri,9,70,UNC
South,First Round,UConn,5,75,Utah State,12,67,UConn
South,First Round,Tennessee,4,63,Louisiana,13,58,Tennessee
South,First Round,Miami (FL),6,75,Arkansas,11,71,Miami (FL)
South,First Round,Ohio State,3,87,Appalachian State,14,61,Ohio State
South,First Round,Tulsa,7,89,UNLV,10,62,Tulsa
South,First Round,Cincinnati,2,64,UNC Wilmington,15,47,Cincinnati
South,Second Round,Stanford,1,53,UNC,8,60,UNC
South,Second Round,UConn,5,51,Tennessee,4,65,Tennessee
South,Second Round,Miami (FL),6,75,Ohio State,3,62,Miami (FL)
South,Second Round,Tulsa,7,69,Cincinnati,2,61,Tulsa
South,Sweet Sixteen,UNC,8,74,Tennessee,4,69,UNC
South,Sweet Sixteen,Miami (FL),6,71,Tulsa,7,80,Tulsa
South,Elite Eight,UNC,8,59,Tulsa,7,55,UNC
West,First Round,Arizona,1,71,Jackson State,16,47,Arizona
West,First Round,Wisconsin,8,66,Fresno State,9,56,Wisconsin
West,First Round,Texas,5,77,Indiana State,12,61,Texas
West,First Round,LSU,4,64,Southeast Missouri State,13,61,LSU
West,First Round,Purdue,6,62,Dayton,11,61,Purdue
West,First Round,Oklahoma,3,74,Winthrop,14,50,Oklahoma
West,First Round,Louisville,7,66,Gonzaga,10,77,Gonzaga
West,First Round,St. John's (NY),2,61,Northern Arizona,15,56,St. John's (NY)
West,Second Round,Arizona,1,59,Wisconsin,8,66,Wisconsin
West,Second Round,Texas,5,67,LSU,4,72,LSU
West,Second Round,Purdue,6,66,Oklahoma,3,62,Purdue
West,Second Round,Gonzaga,10,82,St. John's (NY),2,76,Gonzaga
West,Sweet Sixteen,Wisconsin,8,61,LSU,4,48,Wisconsin
West,Sweet Sixteen,Purdue,6,75,Gonzaga,10,66,Purdue
West,Elite Eight,Wisconsin,8,64,Purdue,6,60,Wisconsin
National,Final Four,Michigan State,1,53,Wisconsin,8,41,Michigan State
National,Final Four,UNC,8,59,Florida,5,71,Florida
National,Championship,Michigan State,1,89,Florida,5,76,Michigan State
