Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,71.3,73.3,40.3,25.5,53.6,0.477,5.42,15.7,0.346,16.8,23.7,0.707,8.58,33.3,12.1,5.16,3.16,14.5,19.2
2,Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,68.4,72.8,40.6,24.5,57.0,0.43,9.06,26.3,0.344,14.8,20.8,0.708,10.2,37.1,14.7,6.59,4.16,13.6,20.8
3,Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,76.6,68.0,40.1,24.6,60.1,0.41,5.86,19.9,0.294,12.9,19.1,0.678,11.5,37.6,11.2,5.89,2.29,11.7,18.0
4,Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,66.5,67.9,40.3,23.3,56.9,0.409,6.39,19.5,0.329,14.9,22.3,0.671,13.1,38.2,11.2,5.73,2.91,12.2,19.6
5,Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,68.1,70.4,40.5,25.0,55.1,0.454,5.79,17.9,0.323,14.6,22.0,0.662,10.6,35.3,12.1,5.9,2.9,10.9,20.3
6,Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,71.5,74.5,40.6,26.1,56.3,0.463,6.23,18.4,0.339,16.1,24.8,0.65,10.5,37.7,13.0,6.03,3.42,12.9,17.7
7,Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,75.6,66.1,40.5,24.3,57.5,0.422,6.94,22.7,0.305,10.6,15.6,0.676,9.39,31.1,12.2,5.36,3.97,13.0,21.1
8,Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,67.1,72.1,40.8,24.9,55.8,0.447,7.17,19.7,0.363,15.1,21.5,0.701,10.8,34.6,12.8,6.83,3.17,11.9,19.4
9,American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,57.6,65.7,40.3,23.7,50.6,0.469,4.74,15.3,0.311,13.5,20.3,0.667,9.16,32.0,11.7,7.26,2.42,11.9,17.1
10,Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,70.5,77.4,40.0,27.6,59.7,0.462,5.9,15.3,0.386,16.2,23.8,0.682,11.5,37.3,12.0,6.35,3.74,11.3,21.7
11,Arizona NCAA,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,80.4,68.9,40.9,25.1,60.8,0.413,6.0,19.0,0.316,12.7,17.8,0.713,9.41,31.0,12.1,5.5,3.44,11.4,21.9
12,Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,73.3,74.0,40.3,25.9,56.6,0.458,7.0,19.8,0.354,15.1,21.6,0.7,9.44,36.2,15.1,5.81,4.69,12.8,20.9
13,Arkansas,32,16,16,0.5,10.23,6.76,9,9,13,4,3,8,78.2,74.7,40.8,25.1,57.6,0.435,7.22,20.1,0.359,17.3,24.7,0.7,10.9,37.1,14.0,5.16,4.38,14.2,20.6
14,Arkansas State,31,11,20,0.355,-7.48,-2.37,7,13,9,6,2,14,73.6,75.9,40.6,25.5,64.0,0.399,8.35,23.8,0.351,16.5,24.4,0.676,12.9,40.5,12.9,6.29,3.03,11.5,21.8
15,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,6,12,3,6,4,17,56.6,70.4,40.2,22.6,51.5,0.439,5.45,16.9,0.323,19.6,27.7,0.71,12.4,37.8,13.4,8.21,3.0,13.3,15.9
16,Army,33,19,14,0.576,-7.32,-8.13,9,9,7,8,11,6,76.9,75.0,40.9,27.8,62.5,0.445,6.03,17.4,0.346,13.3,19.9,0.669,10.4,37.3,12.6,7.12,3.36,12.2,19.6
17,Auburn,31,11,20,0.355,0.15,7.54,5,13,8,7,2,11,70.7,78.1,40.2,26.8,60.5,0.443,7.48,21.5,0.348,16.9,24.3,0.698,12.1,41.0,14.2,6.03,3.94,12.9,21.2
18,Austin Peay NCAA,36,18,18,0.5,-6.04,-2.98,7,9,7,7,7,9,76.1,76.8,40.6,27.6,60.0,0.461,8.39,23.3,0.36,13.1,18.5,0.706,10.5,34.3,14.6,7.0,3.0,13.3,21.3
19,Ball State,35,21,14,0.6,0.11,-2.98,10,8,13,6,6,8,70.8,66.8,40.9,22.6,55.7,0.405,6.91,19.9,0.347,14.7,20.9,0.705,9.57,34.0,11.4,6.57,2.14,11.3,18.2
20,Baylor NCAA,34,22,12,0.647,16.13,9.76,10,8,15,5,6,5,77.1,69.6,40.4,24.2,54.2,0.447,6.85,18.8,0.365,14.3,20.4,0.7,9.24,29.7,17.6,6.56,3.94,13.6,19.6
21,Belmont,32,20,12,0.625,1.19,-2.1,12,4,11,1,8,10,82.4,78.4,40.2,27.3,61.8,0.442,7.56,21.5,0.351,16.3,22.7,0.72,11.6,35.5,13.1,7.16,3.13,12.2,20.8
22,Bethune-Cookman,32,14,18,0.438,-14.35,-9.18,10,6,9,2,5,13,70.6,72.8,40.5,25.9,60.1,0.432,7.13,21.0,0.339,13.8,20.2,0.683,13.4,39.3,14.9,5.41,2.69,12.2,18.2
23,Binghamton,30,8,22,0.267,-14.08,-6.35,5,11,5,9,3,13,60.9,68.6,40.2,24.3,55.8,0.435,6.8,20.2,0.337,13.3,19.2,0.693,9.93,36.9,13.2,7.03,2.8,12.4,18.4
24,Boise State,32,20,12,0.625,7.23,3.13,11,7,14,2,5,7,77.5,70.2,40.3,24.5,55.2,0.445,7.31,20.9,0.35,13.8,19.7,0.7,8.25,32.9,12.1,5.28,3.28,14.8,21.1
