Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,8,21,0.276,-3.56,1.99,,3.0,11.0,,6,9,,1,11,,57.5,63.0,,40.2,18.8,43.1,0.435,8.45,23.6,0.359,11.5,16.5,0.697,6.28,23.0,12.7,7.28,1.86,13.3,19.7
2,Akron,28,12,16,0.429,-3.09,1.66,,9.0,9.0,,8,5,,4,9,,67.9,72.6,,40.2,21.9,48.4,0.452,6.75,15.6,0.433,17.4,23.9,0.725,9.0,29.4,13.5,5.75,3.18,15.9,18.4
3,Alabama,36,25,11,0.694,14.04,6.29,,8.0,8.0,,18,1,,2,7,,76.7,68.9,,,26.5,61.1,0.433,6.44,19.8,0.326,17.3,24.8,0.698,16.1,42.2,12.2,7.14,4.61,15.2,19.2
4,Alabama A&M,28,17,11,0.607,-13.45,-11.93,,13.0,5.0,,11,2,,5,9,,73.4,74.6,,,26.5,67.9,0.391,5.57,19.1,0.291,14.8,23.6,0.626,17.8,40.6,13.9,12.1,2.79,16.9,21.8
5,Alabama State NCAA,31,22,9,0.71,-8.99,-13.74,,15.0,3.0,,11,2,,8,5,,68.9,63.9,,,24.4,55.3,0.441,5.32,16.3,0.326,14.8,22.5,0.658,12.5,37.9,13.2,8.39,3.0,16.5,16.2
6,Albany (NY),28,6,22,0.214,-18.86,-8.66,,,,,4,9,,1,12,,68.9,77.5,,41.1,25.4,59.1,0.43,5.93,15.8,0.376,12.1,17.9,0.675,10.0,32.9,11.3,8.04,2.29,15.3,20.4
7,Alcorn State,30,15,15,0.5,-12.2,-10.9,,13.0,5.0,,8,2,,6,10,,74.8,76.1,,40.0,26.1,59.7,0.438,5.3,15.9,0.334,17.3,24.9,0.694,14.4,38.6,12.2,7.6,3.17,19.2,19.6
8,American,27,7,20,0.259,-10.33,-2.81,,3.0,13.0,,6,7,,1,13,,58.5,66.0,,40.2,22.1,54.4,0.405,4.07,14.1,0.288,10.3,17.9,0.572,12.9,37.0,10.9,5.07,4.22,16.0,17.5
9,Appalachian State,31,11,20,0.355,-12.13,-4.24,,7.0,9.0,,6,8,,5,9,,64.7,70.5,,40.2,24.0,55.3,0.433,4.29,14.1,0.304,12.5,18.5,0.675,13.2,37.8,14.3,6.23,2.55,17.6,19.3
10,Arizona NCAA,36,28,8,0.778,26.85,12.56,,15.0,3.0,,13,2,,7,3,,81.3,66.3,,40.1,28.2,59.2,0.476,5.36,15.1,0.355,19.5,26.1,0.748,13.5,39.8,16.3,7.86,4.42,15.2,17.5
11,Arizona State,29,13,16,0.448,11.1,9.0,,5.0,13.0,,10,7,,2,8,,73.1,71.0,,40.2,26.9,60.6,0.443,3.62,12.3,0.295,15.8,23.5,0.673,14.8,39.4,15.8,6.31,4.1,15.7,23.4
12,Arkansas NCAA,31,20,11,0.645,17.25,6.15,,10.0,6.0,,16,2,,3,7,,79.9,68.8,,40.3,28.4,64.2,0.443,8.81,23.9,0.368,14.2,20.6,0.69,13.2,35.5,15.4,11.8,4.0,14.5,21.1
13,Arkansas State,30,17,13,0.567,-4.21,-2.75,,10.0,6.0,,9,4,,6,8,,73.0,72.3,,,26.6,58.6,0.454,6.0,17.8,0.336,13.7,19.8,0.693,11.9,37.1,13.8,5.17,4.7,14.7,20.5
14,Arkansas-Pine Bluff,27,2,25,0.074,-31.46,-8.35,,2.0,16.0,,2,8,,0,17,,61.5,84.6,,,22.7,61.6,0.368,4.3,15.3,0.282,11.9,20.1,0.589,13.3,37.2,9.96,7.78,3.33,19.5,19.9
15,Army,28,9,19,0.321,-15.73,-7.65,,3.0,9.0,,7,7,,2,11,,72.0,78.6,,40.7,23.0,53.6,0.429,5.71,15.0,0.382,20.3,27.0,0.75,9.71,32.8,11.0,6.04,2.07,17.8,23.6
16,Auburn,32,18,14,0.563,11.51,7.16,,7.0,9.0,,14,5,,2,7,,77.4,73.1,,,28.7,63.8,0.449,6.19,20.1,0.308,13.9,21.4,0.651,14.6,38.8,15.5,8.28,4.84,14.1,19.7
17,Austin Peay,32,22,10,0.688,-0.18,-3.28,,10.0,6.0,,11,1,,6,8,,78.4,74.9,,40.6,29.2,57.7,0.507,5.91,15.9,0.371,14.1,20.0,0.704,12.6,34.7,14.8,5.91,4.63,14.4,15.8
18,Ball State,30,18,12,0.6,3.12,0.3,,11.0,7.0,,9,6,,7,5,,69.7,66.4,,40.2,26.1,57.9,0.452,6.43,15.9,0.405,11.0,16.9,0.652,13.7,38.4,12.7,5.1,3.27,13.4,17.6
19,Baylor,31,19,12,0.613,7.39,2.56,,6.0,10.0,,14,3,,3,8,,71.3,64.5,,40.3,25.3,56.4,0.449,6.06,20.3,0.298,14.6,21.7,0.673,10.7,36.1,15.3,8.84,2.42,14.4,17.5
20,Belmont,28,13,15,0.464,-9.73,-5.42,,,,,9,2,,3,12,,76.2,78.6,,40.9,25.7,59.5,0.431,10.3,29.1,0.353,14.5,19.5,0.745,12.5,35.5,17.5,5.39,1.61,15.1,19.7
21,Bethune-Cookman,29,10,19,0.345,-17.81,-10.37,,5.0,13.0,,8,6,,1,12,,62.8,68.1,,,21.3,53.1,0.401,3.97,12.9,0.307,16.2,25.4,0.638,12.7,35.4,8.34,7.14,2.03,17.2,22.2
22,Boise State,31,17,14,0.548,-0.69,-0.21,,8.0,8.0,,10,2,,6,9,,72.2,71.9,,40.8,26.2,57.4,0.456,5.61,16.2,0.347,14.2,21.1,0.675,10.9,32.7,14.0,6.9,2.97,14.8,20.3
23,Boston College NCAA,32,27,5,0.844,17.99,5.19,,13.0,3.0,,17,0,,6,4,,79.6,66.5,,40.0,27.5,60.4,0.454,7.19,20.3,0.353,17.5,24.6,0.709,15.2,36.4,14.5,10.2,3.03,13.2,20.4
