Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,4.0,14.0,7,6,1,14,63.7,70.5,40.0,24.1,50.3,0.48,5.9,16.4,0.36,16.4,23.8,0.688,10.1,35.9,12.1,5.81,4.03,14.6,17.0
2,Air Force,31,14,17,0.452,-1.85,-0.71,6.0,12.0,11,5,1,11,65.7,65.1,40.2,22.4,50.7,0.442,8.13,22.5,0.361,12.2,17.7,0.688,9.94,30.8,14.4,5.9,3.42,12.4,17.1
3,Akron,35,21,14,0.6,3.65,-0.47,9.0,9.0,15,3,2,9,68.1,62.9,40.2,21.4,52.9,0.405,5.37,16.4,0.328,14.7,21.7,0.679,11.1,34.9,10.5,6.91,2.74,12.7,16.9
4,Alabama,34,19,15,0.559,10.52,8.09,8.0,10.0,14,5,4,8,67.1,64.1,40.3,21.6,52.6,0.411,6.32,19.5,0.324,14.6,20.6,0.706,11.1,33.4,11.7,5.15,2.41,12.2,19.5
5,Alabama A&M,29,9,20,0.31,-17.15,-9.62,8.0,10.0,4,7,5,12,62.0,68.6,40.2,24.6,54.5,0.452,5.21,16.0,0.325,14.1,22.5,0.627,12.4,35.1,11.7,7.0,3.0,11.9,19.2
6,Alabama State,29,19,10,0.655,-8.97,-12.71,14.0,4.0,9,3,8,5,72.1,66.8,40.2,23.8,57.2,0.417,5.97,17.6,0.339,13.2,20.3,0.647,10.5,34.4,11.8,7.24,2.93,13.6,18.5
7,Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15.0,1.0,12,3,12,5,65.3,60.5,40.2,21.1,50.2,0.421,7.58,20.9,0.362,10.7,15.2,0.701,8.3,29.2,11.5,4.79,3.52,12.4,18.7
8,Alcorn State,32,6,26,0.188,-20.75,-9.95,4.0,14.0,4,7,1,15,64.6,74.3,40.0,26.5,56.5,0.469,6.09,16.4,0.371,15.2,22.4,0.679,11.5,37.5,13.0,5.13,3.34,12.4,17.7
9,American,33,17,16,0.515,-3.56,-3.71,8.0,10.0,8,3,7,13,58.7,58.6,40.6,21.4,47.0,0.455,5.24,15.3,0.343,10.5,15.5,0.678,8.91,29.8,10.9,5.06,2.76,12.6,17.0
10,Appalachian State,29,12,17,0.414,-9.81,-3.18,9.0,11.0,7,5,5,12,63.5,70.1,40.0,25.3,55.3,0.458,5.24,16.3,0.322,14.2,20.8,0.683,10.0,35.0,12.6,6.21,3.21,11.4,19.2
11,Arizona NCAA,38,34,4,0.895,24.33,7.41,16.0,2.0,17,0,8,3,76.6,59.7,40.1,20.4,51.3,0.398,5.42,16.2,0.335,13.4,19.2,0.698,7.5,28.0,9.74,4.74,2.55,13.8,20.8
12,Arizona State,34,18,16,0.529,9.52,6.66,9.0,9.0,15,3,3,10,69.4,66.6,40.7,24.1,53.6,0.451,5.53,15.3,0.362,12.7,18.3,0.697,8.06,31.0,12.4,6.12,4.24,12.9,20.6
13,Arkansas NCAA,36,27,9,0.75,14.07,6.79,13.0,5.0,17,2,7,5,77.4,70.1,40.3,24.1,56.4,0.428,6.19,17.6,0.352,15.7,21.9,0.715,12.0,35.6,12.4,5.72,2.89,15.8,19.3
14,Arkansas State,29,11,18,0.379,-10.1,-3.81,6.0,14.0,5,9,6,9,64.4,69.6,40.3,24.7,58.0,0.426,6.72,20.2,0.333,13.5,20.1,0.671,11.8,37.0,11.8,6.66,2.69,11.8,16.7
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9.0,9.0,5,4,5,13,59.8,66.9,40.2,22.0,49.5,0.445,6.56,17.8,0.369,16.3,24.2,0.673,12.3,35.5,13.0,7.5,2.72,16.2,17.1
