Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,5,23,0.179,-5.62,5.05,,1.0,17.0,,5,10,,0,10,,67.1,74.6,,,24.6,60.1,0.41,4.64,14.8,0.314,13.2,21.0,0.628,,37.1,13.8,5.5,2.82,14.4,19.8
2,Akron,26,3,23,0.115,-11.16,2.52,,0.0,18.0,,2,11,,1,12,,62.7,75.0,,,22.1,54.2,0.408,4.38,13.9,0.316,14.1,20.3,0.695,,30.1,11.8,5.65,2.31,14.3,17.5
3,Alabama,32,19,13,0.594,6.99,6.11,,9.0,7.0,,12,2,,7,6,,72.0,71.1,,,26.3,61.7,0.427,7.97,21.9,0.364,11.3,17.1,0.663,,39.1,12.8,6.16,6.13,13.8,17.7
4,Alabama State,27,9,18,0.333,-23.42,-12.79,,5.0,9.0,,5,8,,4,6,,73.9,82.4,,,26.4,62.1,0.425,6.59,18.0,0.366,14.5,22.5,0.644,,30.9,10.7,8.33,1.89,12.1,17.9
5,Alcorn State,25,10,15,0.4,-18.2,-9.2,,7.0,7.0,,7,4,,3,10,,77.7,83.5,,40.2,28.8,64.9,0.444,4.84,16.1,0.3,15.2,23.0,0.658,,40.4,14.2,9.32,3.6,18.9,22.3
6,American,27,12,15,0.444,-2.04,-1.27,,8.0,8.0,,8,5,,3,9,,74.8,73.3,,40.0,25.5,59.5,0.428,5.52,16.4,0.337,18.3,25.6,0.714,,33.6,11.8,8.89,3.04,14.2,17.6
7,Appalachian State,28,8,20,0.286,-14.16,-1.12,,3.0,11.0,,7,6,,0,11,,71.7,82.4,,,25.6,55.6,0.46,5.96,16.4,0.365,14.6,21.4,0.681,,32.1,14.7,6.39,3.14,17.3,16.3
8,Arizona NCAA,33,26,7,0.788,18.14,8.42,,13.0,5.0,,13,3,,8,3,,81.6,71.9,,40.2,29.5,60.0,0.491,6.73,17.9,0.376,15.9,24.1,0.66,,38.0,17.8,7.39,3.55,16.4,17.9
9,Arizona State,27,11,16,0.407,1.55,5.89,,6.0,12.0,,8,8,,3,7,,73.3,78.3,,,26.9,63.4,0.424,6.3,19.6,0.321,13.2,20.6,0.641,,36.3,15.3,8.33,3.85,15.6,20.6
10,Arkansas NCAA,33,20,13,0.606,11.66,8.08,,9.0,7.0,,14,5,,3,6,,77.6,74.0,,40.0,28.7,64.9,0.442,5.76,17.8,0.324,14.4,23.1,0.624,,39.8,15.2,9.09,4.45,16.9,20.5
