Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,31,10,21,0.323,-2.99,2.37,,0.0,16.0,,7.0,10.0,,1,9,,58.7,62.5,,40.0,19.7,44.8,0.44,6.65,17.6,0.377,12.7,18.8,0.674,7.39,28.4,12.2,5.0,2.26,13.1,17.5
2,Akron NCAA,36,23,13,0.639,3.37,-2.01,,10.0,6.0,,11.0,3.0,,8,8,,66.8,60.3,,40.4,22.9,54.7,0.418,7.17,21.6,0.332,13.9,19.6,0.708,11.8,33.3,12.4,7.5,2.22,13.6,20.7
3,Alabama,32,18,14,0.563,5.49,3.99,,7.0,9.0,,13.0,5.0,,2,7,,73.4,70.4,,40.5,26.4,59.8,0.442,4.91,15.0,0.328,15.7,22.2,0.706,13.8,39.5,11.2,7.34,4.5,14.5,17.1
4,Alabama A&M,27,8,19,0.296,-19.72,-11.63,,6.0,12.0,,6.0,7.0,,2,11,,65.2,72.4,,40.2,22.5,58.0,0.388,4.48,16.8,0.267,15.7,23.6,0.665,12.6,35.1,11.0,8.3,3.33,16.6,20.3
5,Alabama State NCAA,32,22,10,0.688,-6.13,-11.2,,16.0,2.0,,10.0,1.0,,8,7,,68.8,63.3,,,25.5,54.8,0.466,5.66,17.2,0.329,12.2,19.2,0.634,11.2,35.3,13.9,5.69,4.78,13.6,17.4
6,Albany (NY),31,15,16,0.484,-6.63,-4.11,,6.0,10.0,,10.0,4.0,,5,12,,64.0,65.7,,40.2,23.1,55.3,0.417,4.19,14.3,0.294,13.7,19.0,0.719,13.7,38.9,11.8,5.16,2.03,15.3,20.2
7,Alcorn State,31,6,25,0.194,-25.55,-10.26,,4.0,14.0,,5.0,7.0,,1,15,,69.5,83.5,,,23.9,61.3,0.39,6.03,18.4,0.327,15.6,22.9,0.684,10.3,32.0,9.97,8.29,1.77,14.7,19.6
8,American NCAA,32,24,8,0.75,-0.05,-5.49,,13.0,1.0,,13.0,1.0,,11,6,,64.5,59.1,,40.3,23.5,50.4,0.465,7.19,19.2,0.374,10.4,16.1,0.648,9.44,32.7,13.2,5.5,2.47,13.2,18.2
9,Appalachian State,31,13,18,0.419,-8.44,-5.44,,9.0,11.0,,7.0,7.0,,5,9,,76.0,76.8,,41.0,25.8,57.0,0.452,7.71,20.7,0.372,16.7,23.6,0.708,13.0,39.4,13.1,6.03,3.42,17.5,20.2
10,Arizona NCAA,35,21,14,0.6,11.88,8.8,,9.0,9.0,,14.0,3.0,,2,9,,72.3,69.2,,40.1,25.6,54.1,0.474,6.06,15.7,0.387,14.9,20.3,0.738,11.1,33.8,14.3,6.2,2.97,12.6,15.7
11,Arizona State NCAA,35,25,10,0.714,16.7,7.82,,11.0,7.0,,12.0,3.0,,6,4,,69.4,60.5,,40.6,23.6,49.1,0.48,8.23,22.2,0.37,14.0,19.0,0.737,8.23,31.0,15.5,5.74,2.06,11.5,15.9
12,Arkansas,30,14,16,0.467,3.79,3.89,,2.0,14.0,,12.0,6.0,,1,9,,74.6,73.8,,40.5,26.6,60.7,0.438,6.73,20.3,0.332,14.7,22.6,0.651,12.7,37.6,13.0,7.57,2.87,14.0,17.4
13,Arkansas State,30,13,17,0.433,-5.42,-4.31,,5.0,13.0,,9.0,5.0,,4,12,,66.5,64.9,,40.8,24.4,56.2,0.434,4.8,14.7,0.326,13.0,19.0,0.683,11.6,36.5,13.4,6.7,3.63,13.6,16.7
14,Arkansas-Pine Bluff,31,13,18,0.419,-15.45,-7.48,,11.0,7.0,,6.0,3.0,,6,14,,62.7,70.6,,,22.9,57.0,0.401,4.0,13.9,0.288,12.9,20.9,0.618,14.4,38.0,10.9,8.74,2.71,19.5,22.7
15,Army,30,11,19,0.367,-10.11,-7.59,,6.0,8.0,,7.0,7.0,,4,12,,58.0,60.8,,40.7,21.5,51.1,0.42,4.8,14.2,0.337,10.3,14.9,0.69,7.9,29.2,13.2,7.47,2.5,15.3,19.3
16,Auburn,36,24,12,0.667,9.93,3.56,,10.0,6.0,,18.0,4.0,,5,5,,72.8,65.4,,40.1,25.8,58.8,0.439,7.72,23.1,0.334,13.5,22.3,0.606,11.7,36.8,14.1,9.08,3.42,13.1,18.7
17,Austin Peay,33,19,14,0.576,-4.2,-3.69,,13.0,5.0,,9.0,5.0,,9,7,,75.3,74.2,,40.6,26.8,56.9,0.471,6.82,18.7,0.365,14.8,21.6,0.688,10.9,34.0,14.7,6.79,3.18,13.5,18.5
18,Ball State,31,14,17,0.452,-5.5,-3.02,,7.0,9.0,,10.0,6.0,,3,10,,57.9,59.7,,40.5,20.8,50.7,0.411,4.32,12.7,0.339,11.9,19.5,0.611,10.7,34.5,10.7,5.1,2.03,13.1,18.5
19,Baylor,39,24,15,0.615,12.54,7.93,,5.0,11.0,,14.0,5.0,,4,7,,76.0,70.1,,40.1,26.3,56.2,0.467,8.21,22.5,0.365,15.3,21.5,0.712,10.5,34.2,12.4,7.23,3.74,12.8,18.4
20,Belmont,33,20,13,0.606,0.39,-1.37,,14.0,6.0,,12.0,3.0,,8,9,,76.6,70.7,,40.3,26.3,59.4,0.443,10.2,28.8,0.354,13.8,20.1,0.684,11.8,35.9,16.6,7.91,2.55,14.5,19.3
21,Bethune-Cookman,33,17,16,0.515,-12.41,-9.76,,9.0,7.0,,8.0,4.0,,7,10,,58.4,58.8,,40.6,20.8,52.3,0.397,4.12,14.8,0.278,12.7,20.2,0.632,12.7,35.2,9.3,6.73,2.79,14.4,19.5
22,Binghamton NCAA,32,23,9,0.719,-3.27,-5.62,,13.0,3.0,,12.0,2.0,,9,6,,70.0,67.4,,40.5,24.3,55.1,0.441,6.0,18.0,0.334,15.3,22.9,0.67,11.2,34.4,12.0,7.09,4.19,13.5,20.4
23,Boise State,32,19,13,0.594,-0.95,0.54,,9.0,7.0,,13.0,3.0,,6,9,,72.8,72.3,,40.3,27.3,57.8,0.473,6.25,18.3,0.342,11.8,17.0,0.697,9.81,34.3,15.9,6.25,3.66,14.9,18.0
