Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,31,11,20,0.355,-19.6,-4.12,2.0,12.0,9,5,0,14,71.4,71.9,40.5,24.5,52.9,0.463,5.84,16.9,0.345,17.1,24.1,0.708,9.84,32.4,13.1,6.61,4.13,13.9,18.6
2,Air Force,30,12,18,0.4,-4.08,1.71,6.0,12.0,8,9,3,8,66.0,69.1,40.3,23.0,53.2,0.433,7.07,21.6,0.328,16.1,22.9,0.702,9.83,33.9,13.5,6.93,4.27,11.8,18.6
3,Akron,34,21,13,0.618,1.16,-0.48,12.0,6.0,13,2,6,8,68.6,66.9,40.4,23.8,54.9,0.433,5.09,15.2,0.335,14.2,19.9,0.716,10.8,33.2,11.1,6.56,3.12,12.9,18.9
4,Alabama,32,13,19,0.406,8.34,8.88,7.0,11.0,13,4,0,11,67.8,67.2,40.5,22.7,54.3,0.419,5.53,18.0,0.308,16.2,21.8,0.744,12.0,34.9,11.9,5.59,4.03,12.8,19.1
5,Alabama A&M,30,14,16,0.467,-13.86,-10.58,10.0,8.0,7,4,5,11,64.5,67.0,40.5,21.4,52.8,0.405,4.93,15.1,0.327,19.3,27.7,0.696,12.4,38.0,9.7,6.57,3.1,13.8,19.6
6,Alabama State,32,19,13,0.594,-12.84,-11.4,12.0,6.0,13,1,5,10,70.8,69.5,40.6,24.7,55.6,0.444,5.19,16.5,0.314,15.0,21.6,0.695,11.7,36.9,12.0,6.09,3.16,14.9,20.2
7,Albany (NY) NCAA,34,19,15,0.559,-3.31,-5.22,9.0,7.0,10,3,7,11,65.9,63.9,40.4,22.8,54.4,0.419,6.94,19.9,0.349,11.4,15.8,0.723,9.68,31.2,12.3,5.79,3.03,11.7,19.0
8,Alcorn State,31,12,19,0.387,-15.95,-9.27,9.0,9.0,9,3,2,13,64.0,67.8,40.8,23.4,54.3,0.43,5.77,16.9,0.342,15.3,21.5,0.711,10.9,34.5,12.2,5.42,2.55,12.6,17.5
9,American NCAA,33,20,13,0.606,0.69,-3.25,13.0,5.0,11,3,9,9,63.1,59.1,40.2,20.3,49.1,0.414,4.88,15.3,0.319,13.6,20.0,0.679,9.67,29.2,10.2,7.09,2.39,12.0,17.5
10,Appalachian State,30,9,21,0.3,-15.32,-7.13,5.0,11.0,7,7,2,13,67.8,71.7,40.3,25.4,54.8,0.464,5.97,16.2,0.368,14.9,22.3,0.667,10.1,35.5,12.9,5.67,4.33,12.9,20.0
11,Arizona NCAA,38,33,5,0.868,23.36,9.04,15.0,3.0,18,0,8,3,72.9,58.6,40.5,20.4,53.7,0.38,4.55,14.2,0.32,13.2,18.4,0.716,9.71,31.1,9.13,4.68,3.11,12.4,18.4
12,Arizona State NCAA,33,21,12,0.636,13.32,7.41,10.0,8.0,16,1,4,7,75.3,69.4,40.8,24.9,59.4,0.419,5.3,16.2,0.326,14.4,22.2,0.648,11.7,37.9,11.7,5.58,4.09,11.9,19.9
13,Arkansas,34,22,12,0.647,14.34,5.57,10.0,8.0,17,2,3,7,80.1,71.3,40.5,23.8,58.3,0.408,6.26,18.1,0.346,17.5,25.1,0.697,13.9,39.4,11.5,5.44,3.09,17.0,20.2
14,Arkansas State,32,19,13,0.594,-0.44,-3.18,10.0,8.0,11,4,7,8,76.0,71.8,41.1,25.3,58.9,0.43,6.25,19.2,0.325,14.9,20.8,0.717,11.3,36.6,11.3,6.09,2.84,13.2,20.3
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.39,-6.9,11.0,7.0,6,3,6,12,63.1,70.6,40.0,23.5,50.3,0.466,6.55,18.3,0.359,17.1,25.0,0.684,10.5,34.9,14.6,7.52,4.23,16.6,18.3
16,Army,31,15,16,0.484,-6.16,-4.66,10.0,8.0,7,7,7,8,72.4,73.2,40.3,26.0,56.6,0.46,6.71,17.5,0.384,14.4,20.0,0.72,11.1,35.1,13.3,7.32,3.32,13.7,18.1
17,Auburn,30,14,16,0.467,5.11,5.47,6.0,12.0,12,6,2,8,71.5,71.8,40.0,23.2,53.8,0.43,7.3,18.9,0.387,18.2,26.2,0.694,11.4,35.1,13.9,5.8,3.6,12.7,20.4
18,Austin Peay,30,12,18,0.4,-10.5,-5.78,6.0,10.0,8,6,3,11,76.2,78.9,40.5,27.9,60.6,0.461,7.8,21.7,0.359,15.3,20.7,0.736,12.1,35.1,15.8,7.83,3.3,14.3,21.2
19,Ball State,30,5,25,0.167,-10.17,0.65,2.0,16.0,5,9,0,16,65.6,73.8,40.8,25.6,55.7,0.46,5.27,15.9,0.332,17.3,24.6,0.702,10.1,33.2,13.7,8.6,3.67,11.3,19.2
20,Baylor NCAA,38,26,12,0.684,15.8,10.11,9.0,9.0,13,4,5,5,74.8,67.8,40.5,24.4,57.3,0.425,6.79,19.2,0.353,12.2,18.1,0.676,11.4,31.6,14.9,5.34,2.84,10.4,19.2
21,Belmont,36,26,10,0.722,3.29,-1.88,14.0,2.0,13,1,10,8,79.9,73.9,40.0,25.4,55.3,0.46,6.89,19.7,0.35,16.3,23.3,0.697,11.0,32.7,12.7,7.22,3.11,14.4,20.6
22,Bethune-Cookman,32,7,25,0.219,-16.86,-7.53,5.0,11.0,5,6,2,18,63.5,70.4,40.3,22.8,50.1,0.454,6.03,17.0,0.354,18.8,26.6,0.709,11.6,35.0,13.2,6.13,4.59,12.7,17.3
23,Binghamton,30,7,23,0.233,-16.15,-6.15,4.0,12.0,3,10,4,12,61.3,71.3,40.5,24.1,53.4,0.452,8.13,21.1,0.385,14.9,21.8,0.685,10.5,35.8,14.7,7.4,3.47,13.1,20.2
24,Boise State,34,21,13,0.618,8.83,3.86,9.0,9.0,12,4,5,7,76.2,69.0,40.6,23.8,53.4,0.446,6.41,18.5,0.347,15.0,21.4,0.703,8.06,30.1,11.3,4.59,3.35,11.7,18.8
25,Boston College,32,8,24,0.25,3.01,8.62,4.0,14.0,4,9,3,11,68.7,73.6,40.8,25.8,55.3,0.465,5.69,15.4,0.369,16.4,22.5,0.729,11.2,33.3,12.3,5.53,2.88,9.47,18.4
26,Boston University,35,24,11,0.686,1.77,-2.4,15.0,3.0,11,6,11,4,71.2,67.0,40.6,24.1,55.0,0.439,6.54,18.5,0.354,12.3,17.3,0.707,10.0,34.4,12.8,5.11,3.06,13.7,16.1
27,Bowling Green State,32,12,20,0.375,-3.45,-0.2,6.0,12.0,7,8,4,11,62.7,64.2,40.3,22.4,54.4,0.411,6.22,17.8,0.349,13.3,20.3,0.652,11.0,35.6,12.6,8.38,3.38,14.1,17.7
28,Bradley,32,12,20,0.375,-2.72,-0.31,7.0,11.0,11,6,1,11,63.6,66.0,40.0,22.0,50.4,0.436,6.44,19.7,0.326,15.6,21.9,0.713,9.97,33.3,12.5,5.84,3.34,12.9,18.0
29,Brigham Young NCAA,35,23,12,0.657,11.63,5.72,13.0,5.0,14,1,5,7,83.7,77.3,40.7,26.7,62.1,0.43,7.4,21.8,0.339,16.5,23.1,0.712,10.9,35.8,14.7,6.09,4.2,12.6,22.9
30,Brown,29,15,14,0.517,-1.44,-4.04,7.0,7.0,8,6,7,8,71.2,67.3,40.3,23.1,58.7,0.394,5.62,18.8,0.3,15.4,21.6,0.711,10.9,36.8,11.8,6.34,4.41,11.8,18.5
31,Bryant,32,18,14,0.563,-4.25,-4.89,10.0,6.0,11,4,7,9,73.5,72.0,40.3,25.6,59.0,0.434,7.59,21.1,0.36,13.2,19.4,0.68,12.6,36.4,13.0,6.75,4.47,12.6,18.3
