Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,8,10,9,6,6,9,73.7,71.2,40.3,24.1,55.0,0.438,6.69,20.5,0.326,16.4,23.2,0.707,9.78,34.6,11.6,6.41,2.84,16.0,17.4
2,Air Force,31,12,19,0.387,-4.31,1.72,6,12,9,7,3,10,68.5,72.4,40.2,25.2,54.4,0.463,9.29,23.4,0.397,12.7,17.8,0.712,8.84,34.5,14.4,5.61,3.42,14.1,18.8
3,Akron,32,14,18,0.438,-6.82,-1.92,6,12,12,4,2,10,71.8,75.3,40.5,25.9,56.2,0.461,8.03,22.5,0.357,15.6,21.5,0.723,9.31,34.6,13.2,6.31,3.56,12.8,17.3
4,Alabama NCAA,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,72.3,70.6,40.0,24.4,58.6,0.416,7.28,22.2,0.328,14.6,21.4,0.685,11.5,35.5,11.9,6.58,3.72,13.1,19.9
5,Alabama A&M,31,3,28,0.097,-23.97,-8.04,3,15,2,9,1,18,60.4,76.4,40.2,28.4,59.5,0.478,7.35,19.2,0.383,12.2,17.7,0.687,11.0,36.3,14.8,7.65,4.87,11.4,17.0
6,Alabama State,31,8,23,0.258,-18.56,-8.62,8,10,4,8,4,13,68.7,78.6,40.2,26.2,57.9,0.453,7.68,20.4,0.377,18.5,27.0,0.685,12.6,39.7,13.5,6.68,3.84,12.9,19.0
7,Albany (NY),32,22,10,0.688,0.02,-5.4,10,6,14,3,8,7,74.2,68.2,40.0,25.2,56.5,0.446,6.72,20.4,0.329,11.0,15.7,0.702,8.16,30.2,13.5,5.5,4.22,11.5,19.8
8,Alcorn State,32,11,21,0.344,-18.07,-8.6,7,11,9,5,2,16,70.1,74.6,40.2,25.3,58.3,0.433,8.31,23.9,0.347,15.8,22.4,0.704,11.3,36.8,14.6,6.28,3.09,13.1,17.4
9,American,30,6,24,0.2,-14.63,-6.16,3,15,4,8,2,16,65.4,73.8,40.2,25.9,53.2,0.487,6.63,17.3,0.383,15.5,21.7,0.714,9.4,35.3,13.7,6.93,3.6,13.8,16.6
10,Appalachian State,33,15,18,0.455,-4.83,-2.67,9,9,9,4,4,11,76.4,74.2,40.6,25.9,59.2,0.437,7.03,19.4,0.362,15.4,21.4,0.721,9.21,35.7,12.3,6.64,3.15,13.0,20.8
11,Arizona NCAA,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,80.5,71.7,40.6,25.4,58.5,0.435,7.46,20.8,0.358,13.4,18.2,0.734,8.86,29.1,12.7,6.11,2.63,11.6,19.6
12,Arizona State NCAA,32,20,12,0.625,14.37,6.55,8,10,13,4,4,6,82.7,74.8,40.3,26.3,60.0,0.438,8.19,23.9,0.342,14.1,19.6,0.718,11.2,36.6,15.0,5.38,3.47,14.8,21.5
13,Arkansas NCAA,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,80.5,75.6,40.4,24.9,57.9,0.43,8.6,24.1,0.357,17.2,23.7,0.727,11.3,36.1,13.6,4.77,3.57,14.0,19.4
14,Arkansas State,32,11,21,0.344,-9.65,-3.02,6,12,7,7,4,13,74.0,78.8,40.3,28.5,57.9,0.492,7.66,20.1,0.382,14.3,20.0,0.711,9.94,35.4,14.7,5.69,3.53,13.7,18.5
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,12,6,7,3,6,13,65.9,71.4,40.3,23.7,54.8,0.433,6.49,19.7,0.329,17.4,24.5,0.711,12.7,37.9,14.0,7.83,1.94,15.2,17.4
16,Army,30,13,17,0.433,-8.62,-7.17,6,12,6,5,4,12,74.3,74.1,40.2,25.2,57.0,0.443,8.37,23.3,0.359,15.3,21.3,0.716,9.37,36.4,13.5,6.67,3.6,14.2,15.6
17,Auburn NCAA,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,81.9,73.2,40.0,24.6,57.7,0.427,8.03,22.9,0.351,15.9,22.0,0.722,10.0,35.5,12.9,6.09,3.26,15.2,20.6
18,Austin Peay,34,19,15,0.559,-3.28,-2.5,12,6,13,5,5,9,73.9,71.9,40.3,24.9,53.6,0.464,7.06,19.4,0.363,15.2,21.2,0.716,9.09,32.6,12.0,5.88,3.82,16.1,21.2
19,Ball State,32,19,13,0.594,-1.22,-2.0,10,8,14,2,5,10,75.3,73.8,40.5,26.3,61.8,0.425,8.06,22.3,0.361,13.2,18.1,0.728,10.5,36.3,13.1,6.94,3.53,12.0,19.0
