Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,10,16,0.385,-5.45,2.64,,2.0,12.0,,7,6,,3,10,,1773.0,1813,,,100.0,0.379,0.359,0.526,49.3,59.0,8.9,8.8,0.497,18.0,31.3,0.247
2,Akron,27,17,10,0.63,5.57,-0.66,,13.0,5.0,,11,3,,6,7,,2034.0,1825,,71.4,105.1,0.432,0.225,0.545,50.9,53.5,13.2,8.4,0.507,17.1,34.8,0.3
3,Alabama,31,15,16,0.484,7.74,6.47,,6.0,10.0,,8,6,,4,5,,2168.0,2139,,70.6,98.6,0.281,0.294,0.49,50.1,43.6,10.0,12.3,0.457,17.6,39.9,0.197
4,Alabama State,28,11,17,0.393,-16.77,-10.27,,6.0,10.0,,8,4,,2,12,,1914.0,2065,,73.3,92.4,0.468,0.238,0.519,51.2,37.9,11.8,5.0,0.488,23.9,38.5,0.294
5,Alcorn State,27,12,15,0.444,-12.49,-8.28,,8.0,8.0,,9,2,,3,11,,1996.0,2040,,73.9,99.1,0.366,0.248,0.518,50.3,50.5,11.0,7.5,0.495,19.8,37.5,0.225
6,American,28,9,19,0.321,-4.91,-0.5,,5.0,11.0,,7,6,,1,12,,1725.0,1834,,,93.3,0.362,0.312,0.495,50.9,47.6,11.0,9.2,0.455,21.3,36.1,0.249
7,Appalachian State,29,21,8,0.724,-3.09,-5.82,,13.0,2.0,,12,3,,7,4,,2089.0,1917,,70.4,101.9,0.444,0.278,0.524,49.5,55.6,10.9,9.0,0.493,17.8,34.7,0.284
8,Arizona NCAA,35,30,5,0.857,24.56,8.36,,17.0,1.0,,15,0,,9,2,,3177.0,2610,,78.2,115.6,0.366,0.304,0.576,51.8,59.1,12.8,7.2,0.545,15.4,39.1,0.262
9,Arizona State,32,18,14,0.563,7.92,7.98,,8.0,10.0,,14,4,,4,7,,2703.0,2688,,80.2,104.5,0.312,0.226,0.556,46.8,62.7,11.2,7.1,0.522,18.1,32.0,0.233
10,Arkansas NCAA,33,24,9,0.727,16.17,5.79,,11.0,5.0,,15,0,,5,6,,2716.0,2389,,78.7,104.2,0.357,0.304,0.526,49.6,53.5,13.7,11.4,0.499,17.5,38.8,0.231
11,Arkansas State,29,20,9,0.69,1.22,-3.09,,14.0,4.0,,10,2,,8,6,,2170.0,2045,,70.5,105.2,0.365,0.319,0.557,47.7,59.1,9.6,9.2,0.525,18.3,31.9,0.257
12,Arkansas-Pine Bluff,27,4,23,0.148,,,,3.0,13.0,,2,6,,1,16,,,2105,,,,,,,,,,,,,35.7,
13,Army,27,8,19,0.296,-20.38,-8.19,,2.0,10.0,,6,7,,2,11,,1730.0,2028,,70.9,90.0,0.388,0.336,0.507,45.9,54.6,10.3,4.9,0.469,22.0,29.5,0.262
14,Auburn,30,16,14,0.533,7.44,5.94,,7.0,9.0,,11,3,,4,8,,2068.0,2019,,69.2,98.3,0.337,0.344,0.505,52.9,50.1,10.2,13.1,0.477,19.4,39.6,0.218
15,Austin Peay,28,17,11,0.607,-4.73,-7.23,,11.0,7.0,,11,2,,5,7,,2013.0,1889,,70.3,101.9,0.316,0.328,0.52,51.2,57.5,13.6,11.7,0.495,18.4,37.3,0.206
16,Ball State,29,21,8,0.724,7.46,0.68,,14.0,4.0,,14,1,,7,6,,2274.0,2005,,73.9,105.2,0.378,0.213,0.531,49.4,50.0,16.2,6.3,0.502,16.8,37.1,0.25
