Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,8,20,0.286,-3.61,4.77,,4.0,14.0,,7,8,,1,9,,1882,2029,,,,0.375,0.303,0.487,47.6,49.6,,10.1,0.445,22.0,,0.257
2,Akron,26,8,18,0.308,-7.2,0.96,,4.0,14.0,,7,7,,1,11,,1565,1764,,,,0.337,0.239,0.476,49.0,56.7,,6.4,0.443,20.4,,0.219
3,Alabama NCAA,33,23,10,0.697,15.5,6.62,,10.0,6.0,,11,4,,8,4,,2408,2115,,,,0.329,0.314,0.528,53.3,56.2,,14.5,0.505,18.6,,0.212
4,Alabama State,26,11,15,0.423,-15.92,-8.33,,8.0,6.0,,7,4,,4,7,,2100,2246,,,,0.387,0.227,0.487,51.2,53.5,,6.1,0.454,16.3,,0.247
5,Alcorn State,26,7,19,0.269,-18.09,-9.22,,4.0,10.0,,6,5,,1,11,,2130,2283,,,,0.327,0.324,0.519,47.6,49.7,,5.3,0.487,17.6,,0.224
6,American,28,9,19,0.321,-9.3,-2.48,,7.0,7.0,,4,7,,4,10,,2088,2279,,,,0.345,0.349,0.51,47.4,49.9,,3.0,0.477,15.9,,0.233
7,Appalachian State,29,9,20,0.31,-10.72,-2.94,,4.0,10.0,,4,7,,3,10,,2125,2285,,,,0.327,0.306,0.534,47.7,59.7,,7.0,0.499,20.2,,0.236
8,Arizona NCAA,31,23,8,0.742,19.09,10.35,,13.0,5.0,,12,4,,10,2,,2631,2350,,,,0.38,0.302,0.568,52.4,59.0,,6.7,0.546,18.5,,0.25
9,Arizona State NCAA,33,24,9,0.727,16.7,9.0,,12.0,6.0,,14,3,,5,5,,2585,2331,,,,0.369,0.31,0.541,49.3,63.7,,11.3,0.521,18.5,,0.229
10,Arkansas NCAA,39,32,7,0.821,16.91,10.51,,12.0,4.0,,14,1,,7,3,,3416,3115,,,,0.342,0.348,0.558,49.1,59.0,,7.8,0.533,17.1,,0.231
