Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Air Force,31,10,21,0.323,-4.9,3.13,1.0,15.0,8,10,0,10,57.2,63.1,40.0,21.5,47.5,0.451,7.26,20.9,0.347,13.0,19.0,0.681,8.9,31.2,12.8,5.81,2.81,11.8,16.7
2,Akron,35,24,11,0.686,2.82,-1.5,12.0,4.0,13,5,7,4,70.6,65.5,40.9,22.5,53.9,0.417,5.06,15.8,0.32,15.5,21.8,0.709,11.5,33.9,10.8,6.83,2.51,14.2,19.1
3,Alabama,32,17,15,0.531,10.34,6.62,6.0,10.0,11,6,3,6,68.5,64.8,40.0,23.0,54.2,0.424,5.66,17.8,0.318,13.1,19.8,0.664,12.0,34.4,11.2,5.81,4.09,13.9,16.7
4,Alabama A&M,27,11,16,0.407,-20.19,-13.71,8.0,10.0,8,5,3,9,65.9,69.7,40.2,24.7,58.1,0.424,5.19,16.6,0.313,15.1,24.2,0.626,15.1,42.3,14.0,8.33,5.04,18.9,20.8
5,Alabama State,31,16,15,0.516,-14.41,-12.02,12.0,6.0,9,3,6,11,64.5,65.9,40.2,22.3,51.3,0.435,4.84,13.9,0.349,16.4,24.6,0.668,10.4,33.7,11.0,7.97,3.52,15.7,20.8
6,Albany (NY),32,7,25,0.219,-11.94,-5.53,2.0,14.0,4,9,3,15,62.7,69.1,40.3,24.3,55.9,0.435,6.94,19.0,0.365,13.6,19.6,0.691,11.1,33.3,13.5,8.13,4.03,12.3,16.8
7,Alcorn State,31,2,29,0.065,-30.36,-9.0,2.0,16.0,2,8,0,18,60.6,82.0,40.2,28.6,61.7,0.464,7.19,18.8,0.383,17.5,27.6,0.635,15.1,42.9,18.3,10.8,5.42,15.7,20.3
8,American,31,11,20,0.355,-11.47,-6.89,7.0,7.0,7,8,4,12,62.6,67.2,40.8,23.6,55.1,0.428,5.45,15.4,0.354,14.5,21.4,0.678,9.48,32.2,12.5,7.9,2.9,9.58,17.2
9,Appalachian State,37,24,13,0.649,1.8,-2.76,13.0,5.0,14,4,8,8,74.8,69.4,40.3,24.5,58.5,0.42,7.78,22.7,0.343,12.5,19.0,0.658,10.3,30.6,13.7,7.16,2.59,10.8,19.1
10,Arizona,31,16,15,0.516,7.97,8.1,10.0,8.0,11,5,4,7,71.9,72.0,41.0,25.4,58.1,0.437,5.81,18.5,0.314,15.5,22.2,0.695,11.3,34.4,12.7,5.84,3.48,12.9,20.0
11,Arizona State,33,22,11,0.667,13.8,5.83,12.0,6.0,16,4,5,5,66.7,58.7,40.0,20.5,51.1,0.402,5.48,17.3,0.317,12.2,17.8,0.683,10.5,32.0,12.3,5.58,2.45,12.9,17.6
12,Arkansas,32,14,18,0.438,5.87,5.09,7.0,9.0,12,8,2,7,74.7,73.9,40.5,25.8,59.7,0.432,7.28,19.6,0.372,15.1,20.9,0.723,12.4,37.1,13.0,6.63,4.63,14.7,20.4
13,Arkansas State,31,17,14,0.548,-4.01,-4.39,11.0,7.0,10,5,5,8,69.7,66.6,40.3,23.8,58.2,0.409,5.19,17.7,0.293,13.8,19.6,0.704,11.4,34.6,12.5,7.16,3.23,12.2,19.7
14,Arkansas-Pine Bluff NCAA,34,18,16,0.529,-8.29,-7.68,14.0,4.0,8,1,5,14,63.7,64.3,40.6,20.5,50.6,0.406,5.0,15.5,0.322,18.3,27.6,0.662,9.44,31.9,11.5,7.68,4.38,13.9,20.8
15,Army,29,14,15,0.483,-9.11,-7.96,4.0,10.0,10,4,4,11,60.3,61.0,40.2,19.3,46.8,0.412,6.97,20.9,0.333,15.4,21.9,0.701,9.31,32.9,11.4,5.69,3.07,17.1,17.3
16,Auburn,32,15,17,0.469,5.49,4.68,6.0,10.0,12,5,1,9,75.7,74.2,40.3,25.9,56.8,0.457,6.97,19.7,0.354,15.3,21.5,0.713,10.7,35.5,13.4,6.63,3.69,15.1,18.3
17,Austin Peay,32,17,15,0.531,-3.85,-1.68,11.0,7.0,11,4,5,9,72.5,72.4,40.8,25.9,58.3,0.444,7.06,19.2,0.369,13.6,19.4,0.702,12.2,35.3,13.7,7.28,3.94,13.5,20.8
18,Ball State,30,15,15,0.5,-4.85,-1.48,8.0,8.0,11,6,4,8,60.6,62.4,41.0,22.2,55.3,0.401,6.07,19.4,0.312,12.0,17.4,0.688,11.4,33.7,13.1,6.73,3.33,11.8,20.0
19,Baylor NCAA,36,28,8,0.778,17.97,8.03,11.0,5.0,15,1,6,4,77.0,65.6,40.3,22.7,59.3,0.382,6.92,20.8,0.332,13.4,19.7,0.679,13.1,32.7,13.1,6.03,2.36,12.1,18.3
20,Belmont,31,19,12,0.613,1.3,-3.41,14.0,6.0,10,3,8,8,73.1,68.5,40.3,24.3,58.8,0.413,5.19,17.1,0.303,14.7,21.8,0.675,13.0,35.4,12.1,8.48,4.45,14.5,20.6
21,Bethune-Cookman,33,17,16,0.515,-13.14,-8.4,7.0,9.0,10,4,4,11,61.2,60.5,40.2,20.2,47.7,0.424,5.79,15.8,0.367,14.2,21.8,0.65,10.1,32.1,10.8,5.91,3.45,14.1,16.0
22,Binghamton,31,13,18,0.419,-10.6,-4.31,8.0,8.0,9,3,3,12,61.6,67.2,40.3,23.9,55.6,0.429,7.06,20.0,0.353,12.4,18.5,0.67,12.2,34.5,13.0,6.23,2.52,11.4,16.8
23,Boise State,32,15,17,0.469,-1.11,0.68,5.0,11.0,9,7,4,9,74.1,72.8,40.3,27.0,59.3,0.455,6.41,17.6,0.364,12.4,18.3,0.678,10.9,34.8,13.3,6.19,2.84,14.7,16.1
24,Boston College,31,15,16,0.484,9.58,7.21,6.0,10.0,11,6,3,7,69.2,66.1,40.0,24.7,56.7,0.436,4.84,16.1,0.301,11.8,17.6,0.672,10.8,31.5,11.7,6.06,4.65,11.7,17.6
25,Boston University,35,21,14,0.6,0.57,-3.23,11.0,5.0,10,4,9,8,72.2,68.4,40.3,23.0,56.0,0.411,6.34,19.7,0.322,16.0,23.8,0.674,11.5,37.9,12.6,6.26,3.34,14.6,19.4
