Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force NCAA,31,24,7,0.774,10.2,2.49,,12.0,4.0,,16,0,,6,5,,64.2,54.7,,40.0,22.0,45.6,0.483,8.9,22.1,0.404,11.2,15.1,0.745,6.58,24.6,14.4,8.03,2.16,10.8,15.2
2,Akron,33,23,10,0.697,5.0,0.13,,14.0,4.0,,13,0,,7,8,,72.9,66.1,,40.5,25.0,55.3,0.453,8.0,21.8,0.366,14.9,20.7,0.72,11.3,33.8,16.2,6.12,3.09,12.5,19.1
3,Alabama NCAA,31,18,13,0.581,10.79,8.08,,10.0,6.0,,14,4,,3,7,,70.3,67.5,,40.3,24.5,53.6,0.456,5.61,16.3,0.345,15.7,22.2,0.708,12.5,36.6,12.2,6.29,4.9,13.6,14.0
4,Alabama A&M,26,13,13,0.5,-9.12,-10.43,,11.0,7.0,,9,3,,4,9,,73.7,72.0,,40.0,25.7,61.8,0.417,6.12,19.5,0.313,16.2,25.2,0.642,13.7,39.2,12.5,8.88,6.04,16.3,19.2
5,Alabama State,30,12,18,0.4,-12.98,-8.58,,10.0,8.0,,7,4,,4,12,,66.2,70.6,,40.2,23.0,56.2,0.409,5.8,18.6,0.311,14.4,23.0,0.628,13.2,35.6,10.3,5.97,2.77,15.9,21.3
6,Albany (NY) NCAA,32,21,11,0.656,-0.44,-4.25,,13.0,3.0,,10,3,,8,7,,68.6,64.5,,40.5,23.2,51.9,0.448,6.97,18.4,0.379,15.2,21.3,0.711,10.9,33.7,12.6,6.53,2.53,14.1,18.9
7,Alcorn State,28,8,20,0.286,-15.11,-8.03,,8.0,10.0,,5,4,,3,15,,66.0,73.1,,40.0,23.3,55.1,0.422,6.07,18.8,0.323,13.4,20.4,0.656,11.3,35.4,12.0,6.96,3.04,18.3,21.9
8,American,29,12,17,0.414,-8.49,-4.32,,7.0,7.0,,7,4,,4,12,,63.8,68.0,,40.3,22.6,54.2,0.416,5.69,16.8,0.34,12.9,18.7,0.691,12.6,34.7,13.1,6.55,3.07,15.6,18.9
9,Appalachian State,30,14,16,0.467,-7.61,-4.79,,6.0,8.0,,8,4,,4,10,,70.0,70.4,,40.5,24.4,56.8,0.429,8.3,23.4,0.354,13.0,18.3,0.707,12.4,34.4,14.2,7.47,3.73,15.2,18.9
10,Arizona NCAA,33,20,13,0.606,15.12,10.09,,11.0,7.0,,12,2,,4,7,,73.7,68.7,,40.8,27.5,61.7,0.446,4.3,13.5,0.319,14.3,20.2,0.709,13.7,34.5,14.9,9.76,3.79,13.2,16.6
11,Arizona State,28,11,17,0.393,4.36,7.18,,5.0,13.0,,8,9,,3,7,,67.1,69.9,,40.7,23.4,54.3,0.431,5.64,14.9,0.378,14.6,20.3,0.722,11.1,33.1,14.4,6.43,3.21,15.1,20.1
