Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
18,Boise State,27,14,13,0.519,3.13,-0.72,9.0,7.0,9,4,5,7,66.0,62.1,,23.0,52.6,0.438,8.26,22.7,0.364,11.7,16.5,0.708,9.26,28.1,14.1,9.48,2.59,14.3,20.1
19,Boston College NCAA,31,22,9,0.71,11.92,6.69,12.0,6.0,12,2,6,5,74.4,69.1,40.8,25.2,55.6,0.452,6.13,16.5,0.371,17.9,25.5,0.703,13.9,38.5,13.2,7.74,2.81,15.3,18.3
20,Boston University NCAA,30,25,5,0.833,2.51,-2.86,17.0,1.0,10,0,11,4,67.3,62.0,,24.2,55.9,0.433,5.53,18.5,0.299,13.5,20.0,0.673,10.6,36.8,14.9,7.57,4.53,14.4,18.1
21,Bowling Green State,32,22,10,0.688,8.49,1.56,13.0,5.0,12,1,7,7,82.6,74.3,40.6,30.5,63.5,0.48,6.38,18.3,0.349,15.3,21.5,0.712,11.9,32.3,16.3,11.8,3.56,14.1,20.5
22,Bradley,30,17,13,0.567,8.03,3.4,12.0,6.0,12,2,4,8,64.3,59.6,40.7,21.9,49.5,0.442,5.03,13.6,0.371,15.5,22.1,0.701,9.2,33.8,12.5,6.6,4.37,13.5,18.2
23,Brigham Young,26,1,25,0.038,-13.29,6.48,0.0,16.0,1,13,0,11,59.5,79.3,40.2,22.2,55.9,0.398,3.81,14.6,0.261,11.2,17.4,0.645,10.9,31.7,12.2,5.65,2.04,16.3,19.4
24,Brown,26,4,22,0.154,-14.49,-2.15,3.0,11.0,3,4,1,17,53.3,65.6,,18.9,49.0,0.386,4.04,13.7,0.294,11.4,16.5,0.688,10.3,33.3,10.0,5.65,1.96,16.7,17.1
25,Bucknell,29,18,11,0.621,-4.19,-8.91,9.0,3.0,10,2,7,8,70.3,64.5,,24.8,56.1,0.443,6.55,19.3,0.34,14.1,20.0,0.705,12.4,36.8,12.2,7.17,3.97,14.9,19.4
26,Buffalo,28,17,11,0.607,-4.1,-6.31,11.0,5.0,11,2,5,7,71.5,69.3,40.9,23.1,55.5,0.417,5.68,17.4,0.326,19.5,29.8,0.656,13.0,39.3,12.9,7.21,2.32,16.3,20.0
27,Butler NCAA,33,23,10,0.697,7.61,-0.16,12.0,4.0,11,1,8,7,69.6,60.7,41.1,23.1,51.6,0.448,5.12,14.1,0.364,18.2,27.3,0.668,11.7,35.9,13.1,6.36,3.73,14.5,19.9
28,Cal Poly,30,14,16,0.467,-0.65,-1.8,6.0,10.0,11,4,1,10,81.5,77.5,,28.1,64.5,0.435,9.67,27.6,0.351,15.6,20.8,0.749,13.4,33.3,15.4,9.5,1.77,14.7,21.2
29,Cal State Fullerton,27,13,14,0.481,-3.36,-2.36,6.0,10.0,8,5,5,9,72.9,73.9,40.2,25.9,57.3,0.452,7.15,20.4,0.35,13.9,20.9,0.664,11.5,32.6,14.0,7.48,2.52,14.6,19.7
30,Cal State Northridge,29,14,15,0.483,-1.79,-2.83,8.0,8.0,7,6,6,8,75.8,73.5,,26.4,58.0,0.455,5.41,16.1,0.337,17.7,28.5,0.62,14.7,38.1,16.0,10.3,3.24,18.7,23.1
31,California NCAA,32,23,9,0.719,17.34,10.12,12.0,6.0,12,1,4,6,75.1,67.8,,27.2,59.5,0.457,4.44,13.6,0.326,16.2,24.1,0.672,14.1,38.0,16.3,8.47,4.22,16.4,18.4
32,Campbell,27,11,16,0.407,-14.73,-7.25,8.0,8.0,7,4,4,10,65.6,70.6,,23.7,56.5,0.42,6.63,18.6,0.356,11.4,16.9,0.676,11.6,35.1,13.8,5.59,3.44,15.3,20.0
33,Canisius,29,17,12,0.586,3.98,-1.98,10.0,4.0,11,5,5,7,62.8,56.9,,22.5,54.8,0.411,5.9,16.6,0.355,11.9,17.7,0.673,12.1,34.4,13.9,6.07,2.9,12.7,16.1
34,Centenary (LA),27,9,18,0.333,-18.09,-8.09,6.0,10.0,8,6,1,12,73.7,81.2,,25.8,63.5,0.407,6.67,21.8,0.306,15.4,24.4,0.629,,37.0,12.7,8.26,1.7,14.9,18.4
35,Central Connecticut State,27,8,19,0.296,-12.03,-6.92,4.0,12.0,4,7,3,10,62.0,67.1,,23.0,54.0,0.427,3.52,13.5,0.261,12.4,18.6,0.665,12.9,34.0,12.1,8.89,1.89,16.2,19.0
36,Central Michigan,26,7,19,0.269,-10.21,-0.01,4.0,14.0,5,6,1,11,72.2,80.8,,24.0,54.8,0.438,6.62,17.8,0.372,17.6,24.5,0.716,11.8,37.0,13.3,4.08,4.27,19.4,20.5
37,Charleston Southern NCAA,30,17,13,0.567,-6.92,-6.56,7.0,7.0,8,4,7,7,71.7,70.1,40.7,24.6,57.7,0.427,6.63,19.0,0.349,15.8,22.7,0.696,11.6,35.9,15.5,7.53,3.03,14.3,21.4
38,Charlotte NCAA,31,22,9,0.71,10.83,5.25,10.0,4.0,10,4,9,3,71.5,65.9,40.0,24.8,59.3,0.418,5.87,17.2,0.342,16.1,21.8,0.737,14.3,38.1,14.2,6.81,3.81,12.8,16.1
39,Chattanooga NCAA,35,24,11,0.686,2.59,-5.22,11.0,3.0,14,2,5,6,76.6,65.2,40.4,26.9,58.1,0.463,6.2,18.6,0.334,16.5,24.0,0.69,15.3,38.6,15.2,8.23,2.37,14.1,17.5
40,Chicago State,27,4,23,0.148,-19.07,-2.22,4.0,12.0,1,9,3,13,69.0,85.9,,26.6,67.0,0.397,5.19,18.9,0.274,10.6,19.1,0.557,15.1,38.3,15.6,9.59,2.63,18.1,20.6
41,Cincinnati NCAA,34,26,8,0.765,20.71,5.51,12.0,2.0,13,3,8,2,80.7,65.5,40.0,28.3,57.0,0.496,5.41,16.3,0.332,18.7,27.2,0.687,15.1,39.9,15.4,7.76,2.94,15.4,21.1
42,Clemson NCAA,33,23,10,0.697,17.23,10.53,9.0,7.0,12,3,6,4,68.2,61.5,40.6,23.5,52.9,0.443,4.79,15.4,0.31,16.5,24.2,0.68,13.1,35.0,13.9,6.91,2.58,12.8,19.2
43,Cleveland State,28,9,19,0.321,-6.7,0.69,6.0,10.0,5,7,3,11,64.7,72.1,,21.5,53.1,0.405,5.61,16.2,0.346,16.0,24.3,0.659,13.0,32.9,12.3,7.86,2.39,16.7,22.0
44,Coastal Carolina,27,11,16,0.407,-12.31,-6.69,6.0,8.0,6,7,4,7,63.6,67.6,,23.6,56.9,0.414,5.33,17.2,0.31,11.1,18.3,0.608,13.8,36.4,11.9,6.22,1.41,15.6,18.7
45,Colgate,28,12,16,0.429,-6.94,-6.44,8.0,4.0,7,4,4,6,71.6,72.1,,26.4,57.9,0.457,4.68,14.2,0.329,14.1,23.7,0.594,14.0,41.6,14.9,6.43,7.75,17.7,18.0
46,College of Charleston NCAA,32,29,3,0.906,5.86,-6.84,16.0,0.0,16,0,10,1,78.3,65.9,,29.3,59.7,0.49,3.5,9.66,0.362,16.2,23.9,0.676,13.2,35.8,16.2,9.16,4.56,13.3,17.0
47,Colorado NCAA,32,22,10,0.688,9.69,6.19,11.0,5.0,14,1,5,6,73.1,69.6,40.5,25.7,60.9,0.422,4.59,12.7,0.362,17.1,25.1,0.681,13.4,39.0,14.7,8.06,5.53,13.8,20.1
48,Colorado State,29,20,9,0.69,5.11,1.69,10.0,6.0,14,3,6,5,75.2,69.7,40.3,26.0,54.8,0.475,6.62,17.2,0.385,16.5,24.0,0.686,11.1,36.9,17.6,7.17,4.52,15.6,16.7
49,Columbia,26,6,20,0.231,-13.78,-4.38,1.0,13.0,3,8,2,11,62.3,70.2,,21.2,49.7,0.426,8.38,24.2,0.347,11.6,18.3,0.631,7.81,27.9,12.2,6.15,2.42,13.6,19.3
50,Connecticut,33,18,15,0.545,12.99,8.09,7.0,11.0,13,7,4,5,65.8,60.9,40.8,23.5,56.5,0.416,5.48,15.4,0.356,13.2,20.4,0.65,13.8,39.0,13.1,7.55,3.85,16.1,17.9
51,Coppin State NCAA,31,22,9,0.71,-1.21,-7.79,15.0,3.0,9,1,7,6,79.1,72.5,,27.0,58.3,0.464,5.52,16.5,0.333,19.5,26.5,0.736,11.7,35.6,12.6,9.29,3.32,16.8,20.6
52,Cornell,26,15,11,0.577,-7.83,-6.91,7.0,7.0,8,4,5,7,64.5,63.4,40.0,23.6,51.6,0.458,5.15,14.3,0.359,12.1,17.6,0.687,10.3,34.6,16.0,7.12,4.5,15.9,16.8
53,Creighton,30,15,15,0.5,3.92,2.42,10.0,8.0,11,3,3,9,67.5,66.0,40.2,24.9,57.1,0.435,5.73,15.9,0.361,12.0,19.0,0.63,12.9,34.9,12.8,6.57,2.93,12.4,17.6
54,Dartmouth,26,18,8,0.692,-0.46,-7.78,10.0,4.0,8,3,8,5,68.8,61.0,40.2,24.7,53.7,0.459,5.35,15.2,0.353,14.1,20.1,0.702,9.42,33.5,14.8,8.81,4.31,14.3,18.2
55,Davidson,28,18,10,0.643,-0.03,-3.99,10.0,4.0,10,4,7,4,75.2,68.3,,26.7,57.9,0.461,6.64,18.3,0.363,15.2,21.1,0.72,12.6,34.6,17.2,8.89,2.46,14.8,18.8
56,Dayton,27,13,14,0.481,3.53,2.3,6.0,10.0,12,2,1,11,70.5,69.3,40.2,23.9,55.7,0.43,6.22,18.3,0.34,16.4,23.1,0.709,13.3,36.7,12.7,4.93,2.59,15.8,19.7
57,Delaware,31,15,16,0.484,-0.16,-2.95,8.0,10.0,10,5,3,10,75.0,70.7,40.2,26.2,59.5,0.441,5.52,17.4,0.318,17.0,22.7,0.749,13.1,38.3,14.5,8.71,1.74,17.1,19.7
58,Delaware State,27,7,20,0.259,-18.47,-7.1,7.0,11.0,5,4,2,15,67.1,78.5,,24.1,62.3,0.387,4.3,15.4,0.278,14.6,22.2,0.659,15.1,40.4,11.8,6.41,2.81,18.7,20.0
59,DePaul,26,3,23,0.115,-5.84,6.66,1.0,13.0,2,9,1,11,55.2,67.7,40.0,20.8,58.7,0.354,4.88,17.7,0.276,8.77,15.3,0.571,13.8,35.3,10.3,7.92,2.65,16.5,18.5
60,Detroit Mercy,29,16,13,0.552,1.91,-0.59,11.0,5.0,10,1,4,11,66.2,62.0,,22.4,53.8,0.418,5.28,14.8,0.356,16.0,21.9,0.73,13.1,37.0,12.4,5.62,3.03,13.0,18.0
61,Drake,28,2,26,0.071,-6.16,4.66,0.0,18.0,1,11,0,14,62.5,73.4,40.2,23.5,56.5,0.417,4.93,15.1,0.325,10.5,16.4,0.643,9.57,29.5,12.7,8.0,1.82,14.4,17.3
62,Drexel,31,22,9,0.71,3.67,-3.66,16.0,2.0,12,0,7,9,72.1,64.8,,23.9,54.1,0.442,7.13,19.9,0.358,17.2,24.1,0.716,10.5,38.2,14.4,3.97,1.52,13.8,18.4
63,Duke NCAA,33,24,9,0.727,22.52,9.06,12.0,4.0,15,2,7,4,79.7,66.2,40.3,27.1,58.7,0.462,8.42,21.6,0.389,17.0,24.3,0.7,12.6,33.8,14.3,8.48,3.97,12.8,18.9
64,Duquesne,27,9,18,0.333,2.02,6.14,5.0,11.0,8,7,1,10,73.3,77.4,,26.1,60.6,0.431,6.52,17.7,0.367,14.6,21.7,0.671,14.4,33.7,13.7,8.3,3.37,17.0,20.5
65,East Carolina,27,17,10,0.63,2.13,-2.22,9.0,7.0,10,2,7,6,68.1,63.1,,24.0,53.4,0.45,5.04,14.3,0.353,15.0,23.1,0.648,13.5,38.5,11.0,5.67,2.48,14.3,19.2
66,East Tennessee State,27,7,20,0.259,-19.41,-4.17,2.0,12.0,6,6,1,12,59.9,72.6,,22.5,53.1,0.424,4.41,13.6,0.325,10.4,16.6,0.626,11.4,31.9,12.9,6.33,1.48,18.1,20.0
67,Eastern Illinois,27,12,15,0.444,-12.5,-7.62,9.0,9.0,7,6,4,8,74.0,76.3,,26.9,60.2,0.446,5.3,16.4,0.323,15.0,21.6,0.693,13.5,36.5,17.3,7.56,1.96,15.5,18.7
68,Eastern Kentucky,26,8,18,0.308,-16.43,-7.19,6.0,12.0,8,4,0,12,68.3,77.1,40.0,25.4,58.5,0.434,4.38,12.8,0.341,13.2,21.0,0.625,13.7,37.4,13.5,6.54,2.54,18.3,20.6
69,Eastern Michigan,32,22,10,0.688,4.15,1.67,11.0,7.0,10,2,8,7,80.9,76.6,,30.5,61.6,0.495,4.47,13.2,0.34,15.5,21.8,0.711,12.5,34.9,14.6,8.41,2.72,14.1,18.8
70,Eastern Washington,26,7,19,0.269,-11.2,-3.64,3.0,13.0,5,8,1,11,68.8,75.0,,25.3,56.1,0.451,4.85,13.9,0.349,13.4,21.0,0.639,11.3,34.9,15.6,6.42,2.42,16.2,20.3
71,Evansville,31,17,14,0.548,2.74,3.9,11.0,7.0,12,4,5,6,63.4,64.5,40.0,21.9,50.3,0.435,6.23,17.1,0.363,13.4,18.0,0.747,9.16,29.9,13.6,5.58,2.13,15.0,19.6
72,Fairfield NCAA,30,11,19,0.367,-5.18,-2.38,2.0,12.0,4,7,4,10,66.4,69.2,,23.0,53.6,0.429,5.5,16.6,0.332,14.9,24.3,0.611,12.9,35.5,12.9,7.3,3.57,16.5,20.4
73,FDU,28,18,10,0.643,-7.05,-5.48,13.0,5.0,10,4,8,6,72.4,73.9,,25.0,57.3,0.436,6.36,19.0,0.335,16.0,24.7,0.647,14.2,38.3,13.5,7.89,3.61,17.0,18.9
74,Florida,30,13,17,0.433,5.54,5.23,5.0,11.0,8,6,4,6,74.0,72.7,40.3,25.4,56.5,0.45,8.47,22.7,0.374,14.7,21.0,0.702,11.2,34.9,13.5,7.47,3.7,16.4,19.6
75,Florida A&M,27,8,19,0.296,-17.92,-8.96,8.0,10.0,8,2,0,14,68.9,77.9,,25.7,60.0,0.428,3.89,13.3,0.293,13.7,21.9,0.626,13.7,40.8,12.4,7.19,5.96,21.0,21.6
76,Florida Atlantic,27,16,11,0.593,-7.46,-9.34,11.0,5.0,11,2,5,9,70.2,67.1,,25.3,53.8,0.471,2.7,8.19,0.33,16.8,25.3,0.666,12.6,39.1,11.4,8.19,4.19,18.7,20.3
77,Florida International,29,16,13,0.552,-4.65,-8.99,12.0,4.0,8,3,6,9,77.2,72.8,,26.0,58.4,0.445,9.34,24.9,0.375,15.8,24.1,0.657,11.0,34.7,14.3,10.3,3.21,15.9,21.2
78,Florida State,32,20,12,0.625,16.14,9.52,6.0,10.0,13,3,5,8,73.4,66.8,40.3,27.1,60.3,0.449,6.09,17.4,0.349,13.2,20.5,0.642,13.9,37.7,15.4,8.75,4.44,13.7,19.0
79,Fordham,27,6,21,0.222,-5.84,3.79,1.0,15.0,4,8,2,12,61.6,71.3,40.2,20.7,51.0,0.406,5.19,16.3,0.317,15.0,22.6,0.662,12.4,33.7,11.5,5.15,3.19,16.9,19.6
80,Fresno State,32,20,12,0.625,6.9,3.32,12.0,4.0,13,1,6,7,82.8,78.2,,29.3,64.7,0.453,7.97,23.8,0.335,16.2,23.5,0.687,13.9,38.2,16.8,9.0,4.91,15.3,21.3
81,Furman,27,10,17,0.37,-12.8,-6.36,4.0,10.0,7,6,3,10,66.0,70.0,40.4,23.8,58.5,0.407,5.41,18.1,0.299,13.0,20.1,0.648,14.4,39.3,13.3,5.67,3.37,15.0,17.6
82,George Mason,27,10,17,0.37,-5.54,-1.73,4.0,12.0,9,6,1,10,79.6,83.4,,29.3,70.1,0.418,6.22,20.7,0.3,14.7,21.9,0.671,15.3,41.8,13.1,10.4,2.78,15.6,19.4
83,George Washington,29,15,14,0.517,10.34,6.96,8.0,8.0,9,4,4,10,67.1,63.7,40.2,23.7,57.2,0.414,4.76,15.4,0.309,14.9,21.3,0.7,13.9,38.3,11.9,7.62,2.45,15.5,20.1
84,Georgetown NCAA,30,20,10,0.667,10.87,5.84,11.0,7.0,11,3,7,4,69.4,62.9,40.2,25.7,64.5,0.399,3.9,13.1,0.298,14.1,23.6,0.597,18.6,44.9,12.6,10.0,6.5,16.3,20.1
85,Georgia NCAA,33,24,9,0.727,13.09,7.03,10.0,6.0,12,2,5,5,72.0,65.9,,24.3,55.5,0.438,7.91,21.7,0.365,15.4,23.6,0.654,15.0,38.7,14.3,6.06,3.7,15.5,19.1
86,Georgia Southern,28,10,18,0.357,-20.61,-7.11,5.0,9.0,8,5,1,12,61.5,72.0,,21.1,51.7,0.408,5.96,18.4,0.324,13.3,20.8,0.642,13.1,35.1,13.0,5.39,1.96,19.3,21.8
87,Georgia State,27,10,17,0.37,-15.84,-11.36,6.0,10.0,7,5,3,11,68.3,71.5,,25.2,58.9,0.427,4.07,13.0,0.313,13.9,19.6,0.706,11.8,36.0,12.1,6.07,3.67,12.9,17.4
88,Georgia Tech,27,9,18,0.333,9.11,11.96,3.0,13.0,8,5,0,11,61.5,64.3,40.0,21.9,55.1,0.396,6.22,21.4,0.29,11.6,17.7,0.654,15.5,36.3,12.0,6.22,3.96,16.2,16.1
89,Gonzaga,27,15,12,0.556,0.23,-1.81,8.0,6.0,10,3,3,8,72.4,68.6,,26.8,58.1,0.461,5.11,14.3,0.357,13.8,19.7,0.699,13.0,36.6,15.3,6.85,3.19,14.0,20.1
90,Grambling,27,10,17,0.37,-18.06,-11.54,5.0,9.0,6,3,4,8,67.3,70.0,,25.0,57.3,0.436,4.22,13.9,0.303,13.0,21.7,0.601,12.9,33.5,12.1,8.37,1.78,15.3,20.3
91,Green Bay,28,14,14,0.5,0.89,-0.15,10.0,6.0,11,4,2,9,56.0,54.1,40.4,19.3,45.2,0.428,4.36,11.9,0.366,13.0,18.4,0.708,7.89,29.8,11.8,6.61,2.75,0.0,17.8
92,Hampton,27,8,19,0.296,-14.98,-9.94,7.0,11.0,5,8,2,10,67.3,72.3,,23.3,58.5,0.398,6.19,19.1,0.324,14.5,22.9,0.632,13.9,40.0,13.1,7.41,2.85,17.4,21.7
93,Hartford,28,17,11,0.607,-2.31,-5.17,11.0,7.0,7,4,9,6,73.4,70.5,,25.3,56.6,0.446,4.79,13.6,0.351,18.1,26.2,0.691,11.5,35.3,14.3,11.1,4.21,17.1,20.7
94,Harvard,26,17,9,0.654,-2.65,-7.97,10.0,4.0,8,4,9,4,69.7,62.9,,24.8,55.7,0.446,5.12,15.5,0.33,14.9,19.8,0.752,11.2,35.5,13.5,7.88,2.19,13.2,16.7
95,Hawaii,29,21,8,0.724,8.76,2.79,12.0,4.0,16,3,5,4,75.0,69.0,40.3,28.3,58.1,0.487,3.59,10.5,0.341,14.8,22.1,0.668,13.0,36.5,17.4,8.45,4.0,16.0,18.2
96,Hofstra,27,12,15,0.444,-5.48,-3.21,9.0,9.0,7,3,5,10,65.3,67.0,,23.0,54.5,0.422,3.22,11.9,0.272,16.1,23.5,0.685,12.0,34.2,11.6,7.63,2.33,16.2,22.0
97,Holy Cross,27,8,19,0.296,-14.54,-8.21,5.0,7.0,3,8,3,10,67.2,73.6,40.4,23.8,59.4,0.401,5.78,18.4,0.313,13.8,22.8,0.607,12.6,37.1,13.7,7.07,3.33,15.8,22.3
98,Houston,27,11,16,0.407,0.37,3.09,3.0,11.0,9,5,2,9,73.0,74.6,,27.1,55.5,0.488,5.19,13.9,0.372,13.6,20.7,0.659,12.0,36.7,14.9,6.93,2.67,19.9,19.0
99,Howard,27,7,20,0.259,-17.92,-7.65,7.0,11.0,5,6,2,12,71.7,81.6,,23.6,56.8,0.415,4.89,14.5,0.337,19.7,28.9,0.68,13.7,33.6,8.96,4.41,0.93,17.4,21.0
100,Idaho,30,13,17,0.433,-6.05,1.59,5.0,11.0,10,4,3,11,65.2,67.3,,24.3,53.4,0.455,4.1,12.8,0.32,12.6,17.5,0.719,10.7,31.0,12.0,6.37,2.23,14.3,17.3
101,Idaho State,27,14,13,0.519,-5.59,-5.88,9.0,7.0,10,3,3,8,73.7,71.9,,25.4,53.5,0.475,4.15,13.4,0.309,18.7,30.7,0.61,11.0,33.7,14.6,9.7,2.85,16.5,18.6
102,Illinois NCAA,32,22,10,0.688,15.68,7.83,11.0,7.0,12,2,5,6,76.5,68.7,40.3,26.5,59.9,0.442,7.44,19.8,0.377,16.1,21.6,0.744,12.4,33.6,16.1,7.78,1.97,13.6,20.7
103,Illinois State NCAA,30,24,6,0.8,10.81,2.28,14.0,4.0,11,1,9,4,74.1,65.7,,26.4,58.3,0.453,6.43,18.1,0.356,14.9,22.3,0.667,13.6,39.0,17.6,7.13,3.6,15.5,19.5
104,Illinois-Chicago,29,15,14,0.517,-1.53,-1.15,11.0,5.0,9,3,4,10,65.0,65.4,,23.3,55.0,0.424,4.48,12.9,0.347,13.8,21.1,0.656,13.0,35.2,12.8,7.07,2.24,13.7,17.1
105,Indiana NCAA,33,22,11,0.667,13.94,9.39,9.0,9.0,11,3,4,6,72.6,68.1,40.6,23.4,53.5,0.438,5.42,14.5,0.374,20.4,26.7,0.766,11.8,35.8,13.9,6.42,3.97,15.4,18.0
106,Indiana State,28,12,16,0.429,-3.14,1.26,6.0,12.0,7,6,4,9,69.5,73.9,40.0,24.0,58.5,0.411,5.36,18.0,0.298,16.1,23.2,0.695,14.9,39.6,12.8,7.18,3.04,16.0,18.5
107,Iona,30,22,8,0.733,3.52,-3.85,11.0,3.0,12,1,10,6,77.3,70.0,40.7,25.7,56.3,0.456,5.43,16.4,0.331,20.6,27.8,0.74,13.4,36.6,13.7,7.7,4.9,15.4,19.6
108,Iowa NCAA,32,22,10,0.688,16.84,8.9,12.0,6.0,14,2,6,5,72.3,63.7,40.0,25.4,53.5,0.475,5.75,14.5,0.397,15.8,22.5,0.701,13.6,38.5,14.7,7.53,4.06,15.6,15.6
109,Iowa State NCAA,31,22,9,0.71,13.43,6.3,10.0,6.0,14,3,5,4,67.5,60.4,40.3,24.1,53.1,0.453,4.81,12.0,0.401,14.6,22.2,0.656,11.8,35.5,15.5,5.71,5.16,14.2,14.2
110,Jackson State NCAA,30,14,16,0.467,-11.47,-7.44,9.0,5.0,8,3,2,12,71.3,74.9,,25.9,59.8,0.433,4.43,14.3,0.309,15.1,24.6,0.613,15.1,38.7,13.5,8.37,3.27,19.1,22.8
111,Jacksonville,28,5,23,0.179,-14.03,-1.24,4.0,14.0,3,9,1,13,74.1,86.9,40.7,26.3,62.1,0.423,5.54,15.8,0.35,16.0,25.3,0.634,14.7,37.8,11.2,7.96,2.96,18.4,21.3
112,Jacksonville State,27,10,17,0.37,-15.83,-12.51,9.0,7.0,6,8,4,7,71.9,74.7,,25.2,56.7,0.444,6.26,19.0,0.33,15.3,23.3,0.656,13.4,38.0,13.7,6.41,2.44,17.7,21.1
113,James Madison,29,16,13,0.552,-0.28,-0.78,8.0,8.0,9,6,5,6,70.0,68.8,,26.0,56.1,0.463,4.55,14.6,0.313,13.5,22.1,0.611,12.6,35.6,12.3,7.72,2.17,15.9,19.4
114,Kansas NCAA,36,34,2,0.944,26.6,7.94,15.0,1.0,15,0,10,1,84.9,66.1,40.4,30.1,61.7,0.488,5.33,14.1,0.379,19.4,28.0,0.693,15.4,42.6,16.6,9.75,6.17,15.9,18.7
115,Kansas City,27,10,17,0.37,-10.37,-3.25,7.0,9.0,5,9,5,7,70.6,75.5,40.9,26.7,59.6,0.447,5.33,15.6,0.341,11.9,17.8,0.667,13.5,37.7,14.8,7.59,3.15,18.0,17.5
116,Kansas State,27,10,17,0.37,1.75,7.6,3.0,13.0,9,6,1,10,64.2,69.6,40.4,22.9,59.3,0.386,3.59,12.5,0.288,14.9,22.3,0.667,14.2,38.9,13.0,6.78,4.74,15.3,18.6
