Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,7,19,0.269,-4.91,1.18,2.0,14.0,6,9,0,10,67.9,72.1,40.2,24.5,58.4,0.419,5.15,16.8,0.307,13.8,22.1,0.623,14.8,38.7,13.5,5.96,1.54,15.6,20.5
2,Akron,26,8,18,0.308,-1.18,0.98,6.0,12.0,6,6,2,11,70.5,71.9,40.8,26.0,61.0,0.427,4.65,15.5,0.301,13.8,19.8,0.696,11.0,33.4,15.7,8.46,3.0,13.7,18.4
3,Alabama,31,17,14,0.548,9.75,6.12,6.0,10.0,10,5,2,7,69.9,64.7,,24.2,59.3,0.408,7.97,21.6,0.368,13.6,18.6,0.731,14.4,39.5,11.7,6.42,3.26,1.84,17.3
4,Alabama State,29,8,21,0.276,-21.8,-8.34,5.0,9.0,5,5,3,14,65.5,79.9,,23.0,58.2,0.395,4.97,15.7,0.316,14.5,23.4,0.619,13.2,36.2,9.79,7.76,0.69,18.5,17.7
5,Alcorn State,28,11,17,0.393,-15.53,-10.16,8.0,6.0,7,5,3,11,72.2,76.4,40.4,25.4,58.2,0.437,4.18,12.9,0.323,17.1,26.6,0.643,13.8,40.5,15.0,6.86,3.82,18.9,21.0
6,American,27,11,16,0.407,-5.21,-0.44,7.0,9.0,8,3,2,12,67.8,71.1,,23.7,57.7,0.41,5.78,17.7,0.327,14.7,21.8,0.674,13.3,35.3,9.93,7.44,2.41,15.4,17.8
7,Appalachian State,28,14,14,0.5,-5.92,-4.92,8.0,6.0,9,2,3,10,71.1,69.8,,25.6,53.0,0.484,6.36,16.2,0.393,13.4,20.1,0.668,10.6,32.2,14.2,6.61,3.75,15.4,17.0
8,Arizona NCAA,34,25,9,0.735,21.66,11.04,11.0,7.0,13,1,3,6,83.8,73.3,,29.9,65.9,0.453,6.53,17.6,0.37,17.6,26.9,0.655,16.5,40.5,16.7,10.5,2.94,15.3,19.2
9,Arizona State,30,10,20,0.333,2.24,7.21,2.0,16.0,9,9,0,9,72.7,74.4,40.3,27.7,65.1,0.425,6.27,18.7,0.335,11.1,16.7,0.665,13.0,34.7,17.8,9.97,5.73,14.4,18.3
10,Arkansas,32,18,14,0.563,14.74,7.05,8.0,8.0,15,3,3,8,79.0,71.3,,28.7,64.9,0.442,8.56,23.0,0.372,13.0,19.1,0.679,13.3,36.1,15.9,9.94,3.88,15.4,19.9
11,Arkansas State,27,15,12,0.556,-5.48,-4.48,8.0,10.0,11,4,4,7,73.6,73.0,40.4,26.8,60.0,0.446,4.67,14.9,0.314,15.4,23.2,0.663,12.7,35.6,14.7,7.15,4.11,15.2,18.9
12,Army,26,10,16,0.385,-16.8,-8.68,4.0,8.0,7,6,2,8,70.0,74.7,,23.5,57.3,0.411,7.23,20.7,0.35,15.7,21.6,0.728,12.9,36.0,12.8,6.46,1.88,15.8,21.3
13,Auburn,31,16,15,0.516,5.42,5.42,6.0,10.0,11,4,3,8,66.3,65.1,,23.5,56.7,0.415,6.84,22.7,0.302,12.4,19.2,0.644,15.0,37.1,12.5,7.9,3.32,16.3,18.4
14,Austin Peay,31,17,14,0.548,-5.01,-7.32,12.0,6.0,12,2,3,8,77.4,73.5,40.8,27.1,58.5,0.464,7.35,20.0,0.368,15.7,23.5,0.67,11.7,35.9,13.7,7.26,3.9,13.8,16.7
15,Ball State,29,16,13,0.552,1.8,1.48,9.0,9.0,14,1,1,12,74.4,73.9,40.3,26.9,60.0,0.447,4.69,13.9,0.337,16.0,24.4,0.654,13.4,34.4,14.7,9.07,2.07,15.1,17.7
16,Baylor,30,18,12,0.6,4.4,2.99,6.0,10.0,14,3,2,7,71.6,69.2,,25.9,60.1,0.431,7.57,22.7,0.334,12.3,21.7,0.568,13.0,36.9,14.6,7.07,4.47,15.8,20.3
17,Bethune-Cookman,28,12,16,0.429,-12.1,-9.44,9.0,9.0,8,3,3,12,68.3,70.9,,23.6,56.0,0.422,6.39,19.2,0.333,14.6,21.8,0.669,11.0,31.1,12.0,7.79,3.18,14.3,19.8
