Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,10,16,0.385,-4.0,2.52,,2.0,12.0,,8,7,,1,9,,1981,2085,,,100.0,0.411,0.433,0.487,50.6,44.7,10.5,7.1,0.438,15.6,37.1,0.288
2,Akron,27,18,9,0.667,5.09,1.06,,12.0,6.0,,10,3,,8,6,,2031,1905,,69.3,107.5,0.462,0.293,0.556,48.2,57.1,11.5,6.3,0.505,16.6,33.2,0.347
3,Alabama,32,17,15,0.531,5.85,6.79,,6.0,10.0,,11,3,,2,10,,2144,2175,,67.6,96.9,0.346,0.221,0.509,51.1,49.0,10.5,9.4,0.469,20.3,37.9,0.246
4,Alabama A&M,27,10,17,0.37,,,,,,,6,4,,2,12,,2088,2279,,,,0.38,0.333,0.466,45.7,46.0,,7.4,0.428,,34.4,0.246
5,Alabama State,27,11,16,0.407,-15.25,-9.77,,8.0,8.0,,8,6,,3,10,,1815,1891,,71.2,94.0,0.47,0.265,0.496,52.0,47.8,12.6,5.7,0.455,22.2,40.1,0.303
6,Alcorn State NCAA,30,23,7,0.767,-2.76,-10.43,,14.0,2.0,,12,0,,10,6,,2274,2003,,76.2,99.4,0.406,0.303,0.501,54.7,50.8,14.4,9.7,0.467,20.3,43.4,0.261
7,American,28,7,21,0.25,-8.9,-1.55,,2.0,14.0,,3,10,,3,10,,1805,1951,,71.4,89.1,0.334,0.236,0.46,52.7,48.6,11.6,8.8,0.427,21.1,39.5,0.213
8,Appalachian State,29,21,8,0.724,-0.5,-5.35,,13.0,3.0,,12,2,,7,5,,2168,1916,,70.4,103.5,0.43,0.223,0.542,52.1,59.9,14.7,9.1,0.508,18.6,35.9,0.288
9,Arizona NCAA,29,22,7,0.759,15.31,8.35,,13.0,5.0,,14,0,,5,6,,2383,2181,,75.3,108.6,0.482,0.233,0.553,55.4,51.1,9.7,7.6,0.508,18.4,42.7,0.342
10,Arizona State,30,14,16,0.467,9.06,8.27,,6.0,12.0,,9,7,,4,7,,2236,2167,,71.4,101.8,0.356,0.292,0.525,51.3,63.7,11.3,6.5,0.49,17.8,34.6,0.248
