Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,35,26,9,0.743,15.19,3.34,,10.0,6.0,,17.0,1.0,,6,5,,69.0,56.0,,40.0,23.3,47.5,0.49,9.03,22.5,0.401,13.4,17.7,0.755,6.6,27.7,15.2,6.69,1.63,10.3,15.0
2,Akron,33,26,7,0.788,10.9,-1.9,,13.0,3.0,,13.0,1.0,,10,4,,75.3,61.0,,40.3,27.3,56.3,0.485,7.42,18.9,0.393,13.3,19.9,0.67,12.1,35.1,15.2,8.09,4.27,12.5,18.5
3,Alabama,32,20,12,0.625,10.81,6.24,,7.0,9.0,,14.0,2.0,,2,9,,74.0,69.5,,40.3,26.4,57.8,0.456,6.53,17.6,0.371,14.8,20.8,0.708,13.7,38.8,13.1,5.66,5.31,13.8,14.4
4,Alabama A&M,30,10,20,0.333,-23.55,-12.38,,4.0,14.0,,9.0,5.0,,0,13,,61.9,68.4,,40.2,21.8,56.3,0.386,5.0,18.5,0.27,13.3,21.1,0.632,11.5,35.7,10.8,7.47,7.87,18.0,20.0
5,Alabama State,30,10,20,0.333,-17.9,-11.54,,8.0,10.0,,7.0,5.0,,3,11,,60.9,66.9,,40.2,20.0,55.0,0.364,5.9,19.3,0.305,14.9,23.0,0.648,13.1,34.4,9.43,6.1,2.77,14.0,20.2
6,Albany (NY) NCAA,33,23,10,0.697,-1.6,-4.75,,13.0,3.0,,11.0,2.0,,11,7,,67.9,65.1,,40.3,24.2,53.4,0.453,6.88,18.4,0.374,12.7,17.5,0.722,11.0,33.7,13.2,5.79,2.48,13.2,19.2
7,Alcorn State,30,11,19,0.367,-22.48,-13.23,,10.0,8.0,,8.0,3.0,,3,12,,67.1,75.5,,,23.5,56.9,0.413,4.87,16.9,0.287,15.2,22.6,0.673,12.7,35.9,9.43,6.53,2.73,18.7,24.0
8,American,30,16,14,0.533,-2.68,-4.38,,7.0,7.0,,10.0,3.0,,6,11,,64.8,62.2,,,22.6,52.8,0.428,5.73,16.7,0.343,13.9,19.1,0.729,10.4,34.6,13.5,5.77,2.37,13.8,18.8
9,Appalachian State,33,25,8,0.758,4.68,-1.19,,15.0,3.0,,12.0,1.0,,9,6,,76.0,67.8,,40.5,27.7,57.8,0.479,7.64,21.0,0.364,13.0,18.8,0.688,11.7,34.7,15.6,8.64,3.67,14.8,18.0
10,Arizona NCAA,31,20,11,0.645,16.24,10.76,,11.0,7.0,,11.0,5.0,,7,4,,78.0,72.5,,40.3,27.3,57.1,0.478,5.55,16.3,0.341,17.8,23.8,0.75,12.3,37.4,16.5,6.1,3.32,13.8,13.7
11,Arizona State,30,8,22,0.267,3.31,7.95,,2.0,16.0,,7.0,11.0,,1,10,,58.5,61.8,,40.2,21.1,51.2,0.412,6.53,20.5,0.318,9.77,14.9,0.655,11.8,32.5,13.1,6.03,2.0,14.5,17.9
12,Arkansas NCAA,35,21,14,0.6,13.77,8.75,,7.0,9.0,,13.0,3.0,,2,8,,71.1,66.0,,40.1,25.2,54.6,0.461,6.06,17.5,0.346,14.7,20.9,0.703,11.2,35.2,14.9,6.86,6.31,15.2,17.5
13,Arkansas State,33,18,15,0.545,-6.47,-5.63,,11.0,7.0,,11.0,2.0,,5,10,,72.5,72.0,,40.2,25.2,55.2,0.457,7.3,18.4,0.396,14.8,21.8,0.681,10.7,35.6,13.8,5.94,3.73,15.4,19.8
14,Arkansas-Pine Bluff,31,12,19,0.387,-17.21,-10.86,,9.0,9.0,,7.0,3.0,,4,15,,60.1,65.2,,40.3,22.3,56.5,0.394,3.71,13.7,0.271,11.8,18.9,0.625,11.8,37.5,9.68,6.39,4.23,15.7,18.6
15,Army,31,15,16,0.484,-9.06,-4.52,,4.0,10.0,,10.0,4.0,,3,12,,61.2,61.0,,40.3,21.4,49.5,0.433,6.03,15.3,0.395,12.3,17.6,0.697,9.03,31.3,13.3,7.13,2.84,16.2,19.1
16,Auburn,32,17,15,0.531,6.77,7.47,,7.0,9.0,,15.0,5.0,,2,7,,73.1,72.1,,40.2,26.6,58.6,0.454,7.34,21.9,0.335,12.6,20.0,0.631,12.3,36.4,16.6,8.44,4.06,16.4,19.2
17,Austin Peay,33,21,12,0.636,-3.45,-5.09,,16.0,4.0,,13.0,2.0,,7,9,,70.0,67.0,,40.5,24.2,54.4,0.444,6.27,18.0,0.349,15.4,22.6,0.682,11.8,33.2,13.3,7.73,2.91,13.2,17.6
18,Ball State,31,9,22,0.29,-4.47,1.03,,5.0,11.0,,7.0,7.0,,2,11,,59.6,63.7,,40.2,20.8,54.1,0.385,4.03,14.8,0.272,14.0,20.1,0.695,12.6,32.6,10.3,7.81,2.39,13.5,20.8
19,Baylor,31,15,16,0.484,5.42,3.88,,4.0,12.0,,13.0,5.0,,0,9,,75.3,73.0,,40.3,26.6,57.8,0.46,8.13,22.4,0.363,13.9,20.7,0.672,12.8,36.2,14.0,5.94,3.74,14.5,20.2
