Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,8,20,0.286,-5.07,2.58,,4.0,10.0,,6,8,,2,10,,67.5,73.1,,40.7,23.4,59.8,0.391,6.57,21.1,0.312,14.2,21.8,0.651,14.7,36.0,12.0,8.68,1.89,14.6,21.0
2,Akron,28,17,11,0.607,3.44,1.32,,11.0,7.0,,11,3,,6,8,,75.9,71.8,,,25.2,56.2,0.448,4.68,14.5,0.323,20.9,27.4,0.763,11.3,35.0,15.4,8.07,3.18,13.9,18.0
3,Alabama,29,13,16,0.448,7.44,7.62,,6.0,10.0,,11,3,,0,10,,72.2,72.4,,,24.7,57.4,0.429,6.41,18.6,0.344,16.5,23.2,0.71,14.2,41.8,10.8,6.34,4.14,,
4,Alabama A&M,28,18,10,0.643,-12.27,-12.07,,14.0,4.0,,11,2,,6,8,,75.9,70.9,,40.2,27.3,68.9,0.396,6.0,19.6,0.305,15.4,23.6,0.651,18.9,42.7,13.8,13.1,3.54,18.2,19.6
5,Alabama State,28,13,15,0.464,-16.56,-12.35,,10.0,8.0,,8,6,,5,7,,66.7,69.0,,40.2,23.1,55.4,0.418,5.14,15.9,0.323,15.3,24.0,0.638,13.1,37.3,12.2,8.5,2.96,18.9,16.9
6,Albany (NY),28,11,17,0.393,-15.51,-9.59,,,,,7,4,,4,12,,65.3,68.6,,40.2,23.7,55.2,0.429,8.43,23.2,0.364,9.5,13.8,0.691,8.89,30.7,14.4,8.36,3.96,16.7,17.6
7,Alcorn State,29,19,10,0.655,-9.89,-11.6,,15.0,3.0,,11,0,,6,9,,74.5,70.2,,,26.4,59.6,0.444,4.66,15.7,0.297,15.8,22.6,0.7,15.9,40.6,14.1,10.3,2.45,18.9,19.1
8,American,29,11,18,0.379,-6.13,-3.42,,5.0,11.0,,9,4,,1,13,,65.7,67.7,,40.9,24.6,61.3,0.402,4.07,14.2,0.287,12.3,19.5,0.633,14.4,38.0,13.0,9.45,4.07,16.4,19.3
9,Appalachian State NCAA,32,23,9,0.719,2.49,-3.75,,13.0,3.0,,11,0,,9,7,,79.1,69.6,,40.2,28.6,58.8,0.486,6.25,16.1,0.388,15.6,22.0,0.709,11.7,36.0,16.7,10.2,3.97,15.8,19.6
10,Arizona NCAA,34,27,7,0.794,18.96,9.7,,15.0,3.0,,16,1,,7,4,,76.4,67.2,,40.1,26.6,58.1,0.457,4.56,14.2,0.322,18.7,25.6,0.73,12.1,38.4,15.8,7.5,5.65,15.0,14.6
11,Arizona State,32,19,13,0.594,12.11,8.75,,10.0,8.0,,14,3,,5,8,,79.3,74.8,,40.8,28.9,66.5,0.434,5.06,15.0,0.337,16.5,22.7,0.729,15.7,38.6,16.1,8.56,2.72,15.2,24.3
12,Arkansas NCAA,34,19,15,0.559,12.37,7.76,,7.0,9.0,,11,6,,2,7,,74.4,69.8,,,27.4,63.8,0.429,8.59,24.5,0.351,11.0,18.3,0.603,13.3,34.1,13.5,11.1,3.53,14.5,20.7
13,Arkansas State,28,10,18,0.357,-4.73,-0.48,,7.0,9.0,,6,6,,3,10,,71.6,75.8,,40.4,25.5,58.5,0.436,6.82,20.3,0.336,13.8,19.5,0.704,11.0,34.0,15.1,7.68,2.36,15.2,19.7
14,Arkansas-Pine Bluff,27,6,21,0.222,-24.28,-10.04,,5.0,13.0,,4,7,,2,14,,67.7,80.1,,,24.7,58.1,0.425,3.52,13.3,0.265,14.8,24.7,0.598,13.1,38.6,12.1,10.3,3.37,21.9,19.8
15,Army,28,5,23,0.179,-19.89,-6.43,,2.0,10.0,,4,9,,1,13,,52.9,64.1,,40.2,19.1,52.7,0.363,4.71,15.3,0.308,9.93,16.0,0.619,11.0,32.3,9.5,7.93,2.21,18.4,21.4
