Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
73,East Carolina,35,23,12,0.657,2.57,0.82,9.0,7.0,17,4,6,7,76.5,71.0,40.4,26.3,61.2,0.43,5.4,16.5,0.328,12.9,19.3,0.669,13.3,37.6,15.5,6.37,3.34,13.6,18.8
74,East Tennessee State,32,10,22,0.313,-11.53,-2.11,8.0,10.0,5,8,5,11,62.3,71.4,40.2,25.2,55.0,0.458,8.72,23.7,0.368,12.2,17.8,0.685,11.3,36.8,16.5,7.22,3.44,14.2,16.6
75,Eastern Illinois,32,11,21,0.344,-8.92,-5.08,6.0,10.0,5,9,4,11,60.4,64.2,40.2,22.1,47.9,0.461,7.53,19.3,0.389,12.5,18.1,0.69,8.69,30.3,13.6,6.13,3.91,13.2,16.1
76,Eastern Kentucky,35,25,10,0.714,1.7,-3.88,12.0,4.0,15,1,9,8,73.9,65.8,40.3,22.4,49.5,0.453,5.29,16.9,0.314,15.7,21.5,0.731,11.1,33.3,13.2,6.4,3.2,17.5,17.2
77,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,7.0,9.0,13,5,2,12,56.6,59.1,40.1,20.2,51.0,0.397,6.74,22.5,0.299,11.9,18.2,0.655,12.5,34.5,14.7,7.53,2.41,14.3,16.1
78,Eastern Washington,31,10,21,0.323,-10.87,-5.58,7.0,13.0,7,7,2,13,69.2,74.5,40.6,26.4,61.3,0.43,6.16,17.5,0.351,15.6,22.2,0.702,13.5,40.1,16.2,7.29,3.94,11.0,17.6
79,Elon,33,21,12,0.636,-3.55,-5.16,13.0,5.0,12,3,8,8,68.9,65.0,40.5,22.6,55.3,0.408,6.12,16.8,0.364,13.7,19.8,0.692,10.5,35.9,11.0,6.48,2.18,13.4,17.4
80,Evansville,36,21,15,0.583,5.26,2.91,10.0,8.0,15,3,5,11,69.2,65.9,40.4,23.6,52.6,0.447,6.11,17.4,0.35,12.7,18.5,0.687,9.53,33.8,12.9,5.69,3.72,14.4,17.6
81,Fairfield,35,19,16,0.543,-0.53,-1.99,9.0,9.0,6,5,8,10,60.6,59.2,40.3,19.9,49.2,0.405,3.83,12.0,0.32,15.5,22.4,0.693,10.7,32.6,8.49,7.06,3.63,13.5,15.6
82,FDU,31,7,24,0.226,-17.99,-4.64,2.0,16.0,2,10,3,14,65.6,79.0,40.3,28.4,60.7,0.467,7.13,19.6,0.363,15.1,21.7,0.694,13.7,38.6,16.7,8.48,3.0,12.2,17.3
83,Florida NCAA,37,29,8,0.784,23.88,6.85,14.0,4.0,15,0,7,5,71.4,54.4,40.0,19.6,51.3,0.382,5.22,16.8,0.31,9.97,15.3,0.651,9.68,30.2,9.97,5.86,2.59,14.1,16.0
84,Florida A&M,31,8,23,0.258,-16.11,-6.17,5.0,11.0,6,4,1,17,65.0,72.1,40.6,25.3,56.5,0.448,5.84,16.6,0.351,15.6,23.3,0.669,13.2,40.1,13.4,7.55,4.23,16.3,16.3
85,Florida Atlantic,32,14,18,0.438,-5.84,-2.45,9.0,11.0,11,4,3,13,65.4,67.6,40.6,24.0,58.5,0.411,5.03,16.8,0.3,14.5,21.2,0.686,12.8,36.0,11.1,7.56,3.78,11.5,17.2
86,Florida Gulf Coast NCAA,37,26,11,0.703,3.01,-1.82,13.0,5.0,15,1,6,9,72.9,66.7,40.4,23.4,57.6,0.406,6.76,21.8,0.309,13.2,19.1,0.688,12.1,35.5,13.1,7.22,3.14,15.7,17.7
87,Florida International,32,18,14,0.563,-2.05,-2.08,11.0,9.0,10,3,6,10,69.1,69.0,40.0,24.5,54.3,0.451,6.44,19.9,0.323,13.6,20.1,0.675,12.2,36.4,14.4,6.63,3.94,17.8,17.8
88,Florida State,34,18,16,0.529,5.71,7.26,9.0,9.0,10,8,3,7,67.0,68.6,40.0,24.3,55.5,0.437,6.62,18.0,0.368,13.4,19.3,0.692,12.4,33.6,13.0,7.18,3.03,13.7,19.1
89,Fordham,31,7,24,0.226,-6.88,4.6,3.0,13.0,4,7,1,15,64.4,75.9,40.0,25.5,56.9,0.448,7.03,20.0,0.352,17.8,25.5,0.699,11.4,35.4,15.0,8.0,3.9,11.2,17.4
90,Fresno State,30,11,19,0.367,3.19,6.44,5.0,11.0,6,8,5,10,59.9,61.0,40.3,20.4,49.5,0.412,4.4,15.1,0.291,15.8,23.3,0.676,11.2,35.9,10.6,4.8,3.77,13.3,16.7
91,Furman,31,7,24,0.226,-17.42,-5.25,3.0,15.0,5,9,1,14,60.3,70.3,40.0,26.0,56.4,0.461,6.55,17.2,0.38,11.8,16.6,0.71,11.1,34.7,14.9,7.35,2.45,11.5,17.2
92,Gardner-Webb,34,21,13,0.618,-3.17,-5.88,11.0,5.0,12,3,6,9,65.8,60.8,40.7,21.9,51.7,0.424,5.53,16.9,0.328,11.4,17.7,0.643,10.2,32.2,11.2,6.79,2.88,15.6,17.3
93,George Mason,38,22,16,0.579,2.03,-0.15,10.0,8.0,10,7,8,6,68.1,65.9,40.4,21.6,52.4,0.413,6.26,18.8,0.333,16.4,23.3,0.702,11.7,33.6,11.6,5.84,3.61,14.5,18.7
94,George Washington,30,13,17,0.433,4.24,3.51,7.0,9.0,7,7,5,9,66.3,65.5,40.2,23.5,55.8,0.421,5.87,16.3,0.36,12.7,18.2,0.695,10.8,32.4,11.6,9.53,4.47,14.5,18.7
95,Georgetown NCAA,32,25,7,0.781,15.86,7.61,14.0,4.0,16,1,6,3,64.7,56.4,40.6,19.5,51.5,0.378,5.38,17.5,0.307,12.1,18.2,0.667,10.7,32.0,11.0,6.31,3.28,14.2,18.3
96,Georgia,32,15,17,0.469,5.39,6.17,9.0,9.0,12,6,3,8,60.8,61.6,40.6,20.7,53.3,0.388,6.56,20.0,0.329,13.7,20.2,0.681,10.9,32.9,10.1,7.63,3.13,11.7,19.3
97,Georgia Southern,33,14,19,0.424,-9.62,-4.98,7.0,11.0,7,6,5,11,62.1,65.1,40.5,22.9,52.2,0.439,5.67,17.8,0.319,13.6,19.6,0.694,11.2,34.0,11.6,6.52,3.12,13.4,16.5
98,Georgia State,31,15,16,0.484,-2.01,-2.38,10.0,8.0,9,7,6,9,68.2,66.9,40.5,22.8,52.4,0.436,7.71,21.0,0.367,13.5,19.2,0.707,10.5,33.7,13.7,5.32,3.94,13.6,17.4
99,Georgia Tech,31,16,15,0.516,6.62,4.69,6.0,12.0,11,6,3,7,64.3,62.4,40.2,22.2,55.3,0.401,5.87,18.2,0.323,12.2,18.3,0.666,10.1,34.5,12.4,6.16,4.23,12.6,15.5
100,Gonzaga NCAA,35,32,3,0.914,20.44,4.14,16.0,0.0,15,1,10,1,77.0,59.9,40.0,21.0,54.5,0.385,6.97,21.1,0.33,10.9,16.0,0.679,10.7,29.9,10.0,6.2,3.2,13.7,19.6
101,Grambling,28,0,28,0.0,-35.87,-9.19,0.0,18.0,0,9,0,18,49.7,76.4,40.0,27.6,60.1,0.459,7.61,20.1,0.378,13.6,21.0,0.648,13.6,38.3,15.6,10.2,3.75,9.68,13.6
102,Green Bay,34,18,16,0.529,1.66,-0.28,10.0,6.0,12,3,4,12,66.1,63.0,40.3,21.8,53.0,0.411,6.44,18.9,0.342,13.0,17.6,0.736,8.91,30.6,12.1,7.21,3.12,11.8,18.3
103,Hampton,31,14,17,0.452,-9.32,-7.8,11.0,5.0,7,7,7,8,62.5,64.0,40.6,21.6,55.5,0.39,5.39,17.6,0.306,15.4,23.6,0.651,12.5,37.1,10.8,7.1,4.16,15.6,18.5
104,Hartford,31,17,14,0.548,-5.83,-4.7,10.0,6.0,10,5,7,8,60.1,61.2,40.0,21.3,48.4,0.44,5.16,15.1,0.342,13.5,20.1,0.672,9.45,33.7,10.0,6.9,3.03,16.0,16.7
105,Harvard NCAA,30,20,10,0.667,3.96,0.17,11.0,3.0,13,1,6,8,68.3,64.1,40.5,23.6,53.4,0.442,5.0,15.1,0.331,12.0,16.5,0.726,10.1,30.8,11.5,6.3,3.13,13.6,19.5
106,Hawaii,32,17,15,0.531,-3.37,-2.54,10.0,8.0,13,7,4,7,73.0,72.0,40.2,25.3,59.8,0.422,8.22,22.3,0.368,13.3,19.0,0.7,10.8,33.0,13.9,7.38,2.88,12.0,18.2
107,High Point,31,17,14,0.548,-4.64,-7.23,12.0,4.0,10,5,6,8,71.6,66.2,40.3,23.0,54.8,0.419,5.77,17.8,0.324,14.5,21.8,0.665,11.2,34.5,11.7,5.94,3.16,13.8,17.5
108,Hofstra,32,7,25,0.219,-10.74,-1.9,4.0,14.0,6,9,1,14,58.5,66.6,40.3,23.6,54.4,0.434,5.5,17.9,0.307,13.9,19.7,0.709,11.4,35.9,13.2,7.97,4.91,13.2,19.0
109,Holy Cross,30,12,18,0.4,-6.12,-2.96,4.0,10.0,7,5,4,12,61.1,64.3,40.2,23.0,54.9,0.42,6.33,19.9,0.318,11.9,17.1,0.697,10.2,33.4,13.0,5.67,3.47,9.83,15.0
110,Houston,33,20,13,0.606,-0.3,-3.77,7.0,9.0,14,4,5,8,78.1,73.3,41.1,26.4,61.2,0.431,6.48,20.3,0.319,14.1,20.6,0.681,12.2,35.6,14.4,6.64,3.48,13.3,19.1
111,Houston Christian,31,14,17,0.452,-15.25,-8.1,3.0,5.0,7,5,3,12,63.9,67.1,40.6,23.4,55.3,0.424,4.52,14.5,0.31,15.7,22.6,0.696,11.3,35.1,11.3,9.32,3.97,16.3,19.4
112,Howard,31,7,24,0.226,-14.41,-5.34,4.0,12.0,5,7,2,13,52.1,60.3,40.0,20.8,50.8,0.41,5.9,17.7,0.333,12.7,18.7,0.678,11.2,33.9,11.0,6.61,3.13,14.0,16.4
113,Idaho,30,12,18,0.4,-2.23,0.29,7.0,11.0,6,8,6,8,68.3,69.3,40.3,25.3,56.4,0.448,6.97,19.6,0.355,11.8,17.3,0.683,9.77,29.5,11.9,6.7,2.87,9.0,16.3
114,Idaho State,30,6,24,0.2,-13.08,-4.94,5.0,15.0,5,7,1,14,57.0,64.3,40.3,22.6,50.8,0.446,7.3,19.5,0.374,11.7,17.1,0.684,10.8,34.4,13.3,5.6,3.07,12.8,16.8
115,Illinois NCAA,36,23,13,0.639,13.18,10.04,8.0,10.0,12,4,6,6,68.5,64.8,40.1,22.5,53.1,0.424,6.44,18.9,0.342,13.3,19.0,0.702,10.9,34.9,12.0,5.53,3.06,14.2,16.4
116,Illinois State,33,18,15,0.545,9.61,3.7,8.0,10.0,11,5,5,8,74.5,68.6,40.3,24.1,56.9,0.424,6.82,20.4,0.334,13.6,19.3,0.702,11.3,36.1,13.1,6.27,2.48,14.7,17.8
117,Illinois-Chicago,34,18,16,0.529,-1.79,-0.69,7.0,9.0,12,4,4,10,62.8,62.8,40.4,21.8,53.7,0.406,6.06,18.3,0.332,13.1,18.4,0.714,10.6,35.0,12.0,5.56,3.47,12.7,17.0
118,Indiana NCAA,36,29,7,0.806,24.92,8.39,14.0,4.0,17,2,7,2,78.6,62.1,40.3,22.6,58.0,0.39,5.78,19.0,0.304,11.1,15.6,0.707,11.9,30.9,9.81,6.36,4.17,14.1,20.4
119,Indiana State,33,18,15,0.545,5.08,5.64,9.0,9.0,11,3,4,10,65.4,65.6,40.6,22.7,54.6,0.415,5.52,16.9,0.326,14.7,21.2,0.696,10.5,34.3,11.6,6.85,2.18,12.1,19.2
120,Iona NCAA,34,20,14,0.588,4.06,0.0,11.0,7.0,11,1,5,9,80.4,76.3,41.0,27.6,61.3,0.45,8.0,21.4,0.375,13.1,19.7,0.668,12.3,36.1,15.5,5.53,4.32,14.0,17.2
121,Iowa,38,25,13,0.658,14.22,6.93,9.0,9.0,18,2,3,8,70.1,62.8,40.4,22.4,57.1,0.392,5.58,18.9,0.295,12.5,17.8,0.705,11.4,34.4,11.6,6.95,4.18,13.2,19.5
122,Iowa State NCAA,35,23,12,0.657,14.5,6.13,11.0,7.0,16,1,4,7,79.4,71.0,40.6,25.4,59.3,0.429,6.14,19.8,0.311,14.0,19.4,0.723,10.5,33.7,13.7,6.6,2.89,13.2,17.8
123,IU Indy,32,6,26,0.188,-15.92,-2.79,1.0,15.0,3,8,1,13,65.5,76.6,40.6,28.2,57.9,0.486,7.0,18.3,0.382,13.3,17.7,0.751,10.7,36.2,15.2,6.88,2.69,11.6,14.7
