Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
33,Centenary (LA),27,9,18,0.333,-14.66,-7.35,,4.0,8.0,,7,6,,1,11,,2272,2361,,,,0.363,0.33,0.51,46.9,53.6,,4.7,0.476,16.8,,0.243
34,Central Connecticut State,27,8,19,0.296,-21.32,-8.93,,,,,6,7,,1,12,,2057,2262,,,,0.373,0.216,0.502,46.8,57.4,,5.1,0.463,19.3,,0.254
35,Central Michigan,26,8,18,0.308,-11.82,-2.36,,4.0,14.0,,5,6,,3,9,,1918,2114,,,,0.368,0.25,0.507,48.0,50.0,,9.0,0.478,18.5,,0.235
36,Charleston Southern,27,9,18,0.333,-18.53,-9.01,,5.0,11.0,,7,8,,2,10,,1951,2043,,,,0.332,0.231,0.532,51.7,52.0,,2.1,0.487,19.3,,0.257
37,Charlotte,28,15,13,0.536,5.37,2.83,,6.0,6.0,,8,4,,5,7,,2037,1954,,,,0.435,0.218,0.507,53.9,59.6,,8.2,0.473,18.6,,0.277
38,Chattanooga NCAA,33,26,7,0.788,6.63,-3.06,,16.0,2.0,,14,1,,8,3,,2820,2385,,,,0.384,0.299,0.579,52.3,55.2,,7.9,0.54,15.4,,0.289
39,Chicago State,27,4,23,0.148,-21.96,-1.19,,,,,3,6,,1,17,,1906,2573,,,,0.324,0.186,0.457,44.3,45.5,,4.1,0.424,18.0,,0.207
40,Cincinnati NCAA,32,27,5,0.844,22.62,6.62,,8.0,2.0,,14,0,,8,3,,2383,1871,,,,0.347,0.258,0.535,53.2,57.0,,7.3,0.512,16.9,,0.222
41,Clemson,30,17,13,0.567,10.05,7.55,,5.0,11.0,,11,5,,4,7,,2376,2301,,,,0.349,0.298,0.549,50.1,58.2,,13.1,0.523,18.5,,0.233
42,Cleveland State,28,22,6,0.786,-0.08,-5.51,,15.0,1.0,,11,1,,10,4,,2138,1986,,,,0.43,0.249,0.553,50.3,61.1,,6.6,0.521,18.5,,0.291
43,Coastal Carolina NCAA,32,22,10,0.688,-3.91,-7.88,,12.0,4.0,,11,2,,8,7,,2488,2268,,,,0.387,0.258,0.563,50.5,53.8,,8.4,0.531,16.9,,0.272
44,Colgate,28,18,10,0.643,-5.96,-9.6,,9.0,5.0,,11,4,,6,6,,2150,2048,,,,0.415,0.286,0.526,50.0,52.0,,8.8,0.483,16.9,,0.293
45,College of Charleston,27,19,8,0.704,-4.08,-8.3,,,,,15,1,,4,7,,1848,1631,,,,0.571,0.206,0.54,51.3,62.0,,8.7,0.488,17.3,,0.395
46,Colorado,27,10,17,0.37,6.48,7.62,,2.0,12.0,,9,5,,0,10,,2003,2034,,,,0.463,0.218,0.531,50.8,54.6,,12.7,0.499,21.8,,0.297
47,Colorado State,29,17,12,0.586,3.33,2.22,,9.0,9.0,,14,2,,3,9,,2172,2074,,,,0.428,0.291,0.557,51.3,66.1,,6.3,0.517,15.9,,0.308
48,Columbia,26,16,10,0.615,-3.01,-6.65,,10.0,4.0,,8,3,,5,6,,1889,1737,,,,0.542,0.195,0.569,50.4,58.0,,10.9,0.525,18.5,,0.381
49,Connecticut,28,15,13,0.536,11.69,8.05,,9.0,9.0,,10,6,,5,5,,2113,2011,,,,0.343,0.24,0.517,51.1,52.0,,11.8,0.48,17.6,,0.243
50,Coppin State NCAA,30,22,8,0.733,-3.73,-11.06,,16.0,0.0,,10,1,,9,6,,2214,1994,,,,0.411,0.335,0.503,50.6,47.4,,8.1,0.458,16.7,,0.289
51,Cornell,26,16,10,0.615,-1.24,-1.72,,9.0,5.0,,10,2,,5,8,,1827,1780,,,,0.365,0.19,0.513,50.9,47.1,,6.7,0.465,16.6,,0.274
52,Creighton,26,8,18,0.308,-3.03,2.01,,6.0,12.0,,8,5,,0,13,,1667,1798,,,,0.425,0.253,0.543,48.3,67.4,,4.6,0.492,23.4,,0.32
53,Dartmouth,26,11,15,0.423,-7.56,-5.32,,5.0,9.0,,6,5,,4,10,,1768,1808,,,,0.407,0.285,0.539,48.9,58.8,,9.1,0.512,21.1,,0.263
54,Davidson,28,14,14,0.5,-4.5,-2.78,,10.0,8.0,,10,5,,3,8,,2078,2040,,,,0.373,0.24,0.542,53.2,61.7,,5.9,0.514,19.5,,0.249
55,Dayton,30,4,26,0.133,-5.32,5.33,,3.0,11.0,,3,12,,1,11,,1844,2150,,,,0.254,0.434,0.494,46.7,57.1,,5.0,0.47,18.1,,0.168
56,Delaware NCAA,30,22,8,0.733,-0.63,-5.63,,10.0,4.0,,11,1,,9,5,,2244,2070,,,,0.474,0.195,0.519,54.1,49.0,,9.5,0.471,18.0,,0.331
57,Delaware State,29,13,16,0.448,-17.32,-12.03,,6.0,10.0,,6,6,,4,6,,2138,2273,,,,0.383,0.275,0.484,50.7,49.0,,8.6,0.458,21.9,,0.229
58,DePaul,31,16,15,0.516,5.55,6.81,,3.0,7.0,,11,4,,3,7,,2291,2326,,,,0.339,0.242,0.539,52.5,56.1,,6.0,0.507,19.4,,0.236
59,Detroit Mercy,27,15,12,0.556,1.73,0.81,,7.0,7.0,,10,2,,4,9,,2116,2056,,,,0.381,0.288,0.529,51.2,54.8,,5.1,0.504,15.9,,0.24
60,Drake,28,14,14,0.5,0.89,2.33,,9.0,9.0,,10,4,,3,9,,2065,2086,,,,0.351,0.283,0.539,48.5,44.4,,5.8,0.501,17.1,,0.257
61,Drexel,29,22,7,0.759,-2.39,-8.49,,12.0,2.0,,11,3,,10,4,,2121,1944,,,,0.478,0.217,0.536,53.1,60.3,,5.3,0.497,16.7,,0.321
62,Duke NCAA,32,24,8,0.75,25.98,10.76,,10.0,6.0,,14,2,,5,4,,2766,2279,,,,0.43,0.237,0.589,49.9,53.5,,9.7,0.554,16.6,,0.31
63,Duquesne,28,13,15,0.464,1.54,1.15,,5.0,9.0,,8,4,,3,9,,2096,2085,,,,0.448,0.264,0.527,50.7,62.5,,11.0,0.502,20.9,,0.274
64,East Carolina NCAA,30,13,17,0.433,-2.02,0.94,,4.0,10.0,,6,6,,3,10,,2037,2089,,,,0.386,0.274,0.498,50.9,47.7,,5.9,0.465,17.3,,0.248
65,East Tennessee State,29,19,10,0.655,-0.39,-3.31,,12.0,6.0,,12,1,,4,8,,2413,2254,,,,0.332,0.299,0.525,51.9,44.3,,7.1,0.499,16.6,,0.218
66,Eastern Illinois,27,10,17,0.37,-11.12,-3.62,,7.0,9.0,,9,4,,1,11,,1802,1973,,,,0.409,0.22,0.541,51.1,56.6,,6.4,0.511,23.6,,0.27
67,Eastern Kentucky,27,15,12,0.556,-3.57,-5.81,,11.0,5.0,,10,2,,4,9,,2054,1960,,,,0.381,0.279,0.557,48.4,53.7,,8.0,0.521,16.9,,0.274
68,Eastern Michigan,30,13,17,0.433,-5.09,-2.99,,8.0,10.0,,7,6,,4,7,,2074,2099,,,,0.362,0.265,0.505,50.6,49.5,,10.7,0.472,17.6,,0.24
69,Eastern Washington,26,6,20,0.231,-12.17,-3.17,,3.0,11.0,,5,6,,0,11,,1695,1911,,,,0.389,0.268,0.505,47.2,48.9,,6.7,0.477,18.7,,0.242
70,Evansville NCAA,30,23,7,0.767,8.84,-0.88,,12.0,2.0,,11,2,,9,4,,2251,1960,,,,0.465,0.269,0.583,51.2,63.2,,7.1,0.539,18.1,,0.347
71,Fairfield,27,14,13,0.519,-5.21,-3.84,,7.0,7.0,,7,3,,6,9,,1790,1827,,,,0.402,0.248,0.503,50.5,45.5,,6.7,0.47,19.9,,0.258
72,FDU,28,11,17,0.393,-12.11,-8.15,,8.0,10.0,,8,5,,3,12,,1896,1963,,,,0.434,0.275,0.513,52.1,45.6,,5.6,0.481,20.1,,0.274
73,Florida,28,16,12,0.571,10.73,7.73,,9.0,7.0,,8,3,,6,6,,2058,1975,,,,0.31,0.227,0.521,49.4,52.7,,9.3,0.499,17.1,,0.197
74,Florida A&M,28,10,18,0.357,-19.92,-10.63,,8.0,8.0,,6,6,,3,9,,2098,2309,,,,0.362,0.178,0.524,50.2,38.9,,4.8,0.506,17.8,,0.217
75,Florida International,30,20,10,0.667,-5.84,-7.44,,9.0,3.0,,10,3,,8,4,,2049,1959,,,,0.454,0.201,0.542,52.5,56.6,,8.4,0.519,20.1,,0.281
76,Florida State NCAA,35,25,10,0.714,18.07,11.44,,12.0,4.0,,13,2,,7,4,,3020,2788,,,,0.349,0.244,0.56,50.6,51.0,,11.6,0.535,17.0,,0.235
77,Fordham,31,15,16,0.484,-7.93,-3.97,,9.0,5.0,,11,4,,4,10,,2028,2131,,,,0.499,0.229,0.526,50.2,60.9,,9.7,0.487,20.3,,0.327
78,Fresno State,28,13,15,0.464,-3.05,2.06,,8.0,10.0,,10,5,,3,9,,1868,2011,,,,0.412,0.31,0.535,49.5,67.4,,9.6,0.51,19.8,,0.26
79,Furman,28,11,17,0.393,-6.17,-3.54,,8.0,10.0,,6,6,,4,10,,2093,2142,,,,0.381,0.293,0.552,50.6,66.4,,4.7,0.511,19.7,,0.281
