Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,7,19,0.269,-4.91,1.18,,2.0,14.0,,6,9,,0,10,,1766,1875,,69.5,97.2,0.379,0.287,0.493,52.3,54.9,8.5,3.9,0.463,18.5,38.4,0.236
2,Akron,26,8,18,0.308,-1.18,0.98,,6.0,12.0,,6,6,,2,11,,1833,1870,,71.4,96.9,0.324,0.254,0.501,46.4,60.1,11.6,7.1,0.465,16.3,29.5,0.226
3,Alabama,31,17,14,0.548,9.75,6.12,,6.0,10.0,,10,5,,2,7,,2166,2006,,61.2,113.6,0.313,0.365,0.513,52.1,48.5,10.4,8.4,0.475,2.6,38.4,0.229
4,Alabama State,29,8,21,0.276,-21.8,-8.34,,5.0,9.0,,5,5,,3,14,,1899,2318,,73.6,87.4,0.403,0.27,0.472,47.9,42.6,10.4,1.5,0.438,21.0,33.6,0.249
5,Alcorn State,28,11,17,0.393,-15.53,-10.16,,8.0,6.0,,7,5,,3,11,,2021,2140,,75.7,94.5,0.458,0.222,0.509,50.4,58.8,9.0,8.5,0.473,21.0,36.3,0.294
6,American,27,11,16,0.407,-5.21,-0.44,,7.0,9.0,,8,3,,2,12,,1831,1920,,68.8,96.4,0.378,0.306,0.498,48.0,41.9,10.6,5.4,0.461,18.5,34.9,0.255
7,Appalachian State,28,14,14,0.5,-5.92,-4.92,,8.0,6.0,,9,2,,3,10,,1990,1954,,66.2,106.0,0.379,0.305,0.568,49.5,55.3,9.9,9.1,0.543,19.8,34.5,0.253
8,Arizona NCAA,34,25,9,0.735,21.66,11.04,,11.0,7.0,,13,1,,3,6,,2850,2491,,76.3,108.3,0.407,0.268,0.533,51.5,55.9,13.6,6.7,0.502,16.3,41.0,0.267
9,Arizona State,30,10,20,0.333,2.24,7.21,,2.0,16.0,,9,9,,0,9,,2181,2233,,73.5,98.1,0.257,0.288,0.498,45.3,64.2,13.4,13.9,0.473,16.4,32.6,0.171
10,Arkansas,32,18,14,0.563,14.74,7.05,,8.0,8.0,,15,3,,3,8,,2527,2281,,75.3,104.1,0.294,0.354,0.534,47.5,55.4,13.1,9.4,0.508,17.3,34.8,0.2
