Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,29,8,21,0.276,-3.56,1.99,,3.0,11.0,,6,9,,1,11,,1667,1828,,58.0,98.8,0.383,0.546,0.564,43.1,67.5,12.5,6.5,0.533,20.7,23.0,0.267
2,Akron,28,12,16,0.429,-3.09,1.66,,9.0,9.0,,8,5,,4,9,,1901,2034,,66.3,101.9,0.494,0.322,0.568,46.3,61.8,8.6,7.6,0.522,21.0,30.3,0.359
3,Alabama,36,25,11,0.694,14.04,6.29,,8.0,8.0,,18,1,,2,7,,2761,2482,,70.9,106.7,0.406,0.323,0.526,54.7,46.0,9.9,11.9,0.486,17.3,41.5,0.283
4,Alabama A&M,28,17,11,0.607,-13.45,-11.93,,13.0,5.0,,11,2,,5,9,,2056,2089,,77.8,93.1,0.348,0.282,0.464,49.2,52.2,15.3,7.1,0.432,17.6,38.7,0.218
5,Alabama State NCAA,31,22,9,0.71,-8.99,-13.74,,15.0,3.0,,11,2,,8,5,,2135,1980,,68.7,98.7,0.406,0.295,0.522,49.5,54.2,12.0,6.9,0.489,20.0,34.0,0.267
6,Albany (NY),28,6,22,0.214,-18.86,-8.66,,,,,4,9,,1,12,,1928,2169,,71.1,94.4,0.303,0.267,0.509,46.0,44.4,11.0,6.5,0.48,18.4,27.4,0.204
7,Alcorn State,30,15,15,0.5,-12.2,-10.9,,13.0,5.0,,8,2,,6,10,,2245,2283,,,98.5,0.417,0.266,0.523,51.5,46.7,10.0,7.5,0.482,21.2,38.1,0.289
8,American,27,7,20,0.259,-10.33,-2.81,,3.0,13.0,,6,7,,1,13,,1579,1782,,65.4,89.0,0.329,0.26,0.464,51.7,49.2,7.7,11.6,0.443,20.2,35.4,0.188
9,Appalachian State,31,11,20,0.355,-12.13,-4.24,,7.0,9.0,,6,8,,5,9,,2005,2186,,68.2,94.5,0.334,0.255,0.505,53.6,59.8,9.1,6.7,0.472,21.6,38.1,0.225
10,Arizona NCAA,36,28,8,0.778,26.85,12.56,,15.0,3.0,,13,2,,7,3,,2926,2386,,72.6,111.5,0.441,0.255,0.568,54.5,57.6,10.8,10.7,0.522,17.5,40.0,0.33
11,Arizona State,29,13,16,0.448,11.1,9.0,,5.0,13.0,,10,7,,2,8,,2121,2060,,72.3,100.8,0.388,0.203,0.51,54.1,58.8,8.7,11.3,0.473,18.0,39.1,0.261
12,Arkansas NCAA,31,20,11,0.645,17.25,6.15,,10.0,6.0,,16,2,,3,7,,2476,2132,,74.2,106.8,0.321,0.372,0.54,46.3,54.0,15.7,10.6,0.511,16.4,34.6,0.222
13,Arkansas State,30,17,13,0.567,-4.21,-2.75,,10.0,6.0,,9,4,,6,8,,2189,2168,,,103.6,0.337,0.304,0.536,50.0,51.9,7.3,11.6,0.505,17.8,33.6,0.234
14,Arkansas-Pine Bluff,27,2,25,0.074,-31.46,-8.35,,2.0,16.0,,2,8,,0,17,,1660,2284,,77.3,79.1,0.327,0.248,0.432,45.1,44.0,10.0,7.4,0.403,21.5,30.3,0.193
15,Army,28,9,19,0.321,-15.73,-7.65,,3.0,9.0,,7,7,,2,11,,2015,2201,,73.4,96.3,0.503,0.279,0.541,46.7,48.0,8.1,4.6,0.482,21.1,28.9,0.377
16,Auburn,32,18,14,0.563,11.51,7.16,,7.0,9.0,,14,5,,2,7,,2477,2338,,71.3,105.3,0.335,0.314,0.523,50.5,54.0,11.3,12.2,0.497,16.0,37.6,0.218
17,Austin Peay,32,22,10,0.688,-0.18,-3.28,,10.0,6.0,,11,1,,6,8,,2510,2397,,67.9,113.7,0.347,0.276,0.584,53.1,50.5,8.6,11.0,0.558,17.7,39.4,0.244
18,Ball State,30,18,12,0.6,3.12,0.3,,11.0,7.0,,9,6,,7,5,,2092,1993,,65.3,106.4,0.293,0.275,0.529,53.8,48.6,7.8,8.9,0.507,16.9,39.1,0.191
