Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
224,San Diego,28,14,14,0.5,-1.29,0.56,5.0,9.0,9,3,3,10,70.5,70.7,,24.3,51.4,0.474,5.64,15.0,0.376,16.2,22.3,0.726,8.71,31.6,14.5,6.68,2.21,15.8,16.1
225,San Diego State,28,13,15,0.464,-1.04,3.44,5.0,9.0,7,7,5,6,69.3,73.2,,23.6,57.2,0.413,6.25,20.7,0.302,15.8,23.9,0.66,12.8,35.7,11.6,7.89,2.57,17.0,17.9
226,San Francisco NCAA,30,19,11,0.633,7.8,1.31,7.0,7.0,10,3,6,6,73.2,66.3,,27.2,58.3,0.467,5.97,17.3,0.346,12.9,18.4,0.701,14.0,35.8,15.6,8.6,2.73,15.4,20.0
227,San Jose State,26,3,23,0.115,-11.12,4.73,1.0,13.0,3,10,0,13,59.7,76.7,,22.0,58.8,0.374,4.19,13.4,0.312,11.5,17.0,0.679,12.4,34.1,13.0,4.42,2.42,15.3,17.1
228,Santa Clara,28,18,10,0.643,5.55,2.26,8.0,6.0,10,4,6,5,73.2,68.0,,25.2,60.6,0.416,6.04,17.4,0.346,16.8,23.9,0.702,14.6,38.0,13.9,8.29,2.57,13.9,20.8
229,Seton Hall,30,15,15,0.5,6.24,7.73,9.0,9.0,10,4,5,7,67.6,68.7,40.7,23.7,59.6,0.398,7.8,24.3,0.321,12.3,17.4,0.707,13.1,36.0,13.2,7.6,2.4,13.7,17.4
230,Siena,29,17,12,0.586,0.29,-2.95,10.0,8.0,12,3,4,7,83.3,80.1,,27.6,63.0,0.438,8.31,21.9,0.379,19.8,24.7,0.803,13.3,40.0,16.9,10.6,3.62,16.7,23.7
231,South Alabama NCAA,28,21,7,0.75,7.57,-2.93,14.0,4.0,10,2,8,4,65.0,54.5,,23.8,49.0,0.485,4.61,11.6,0.398,12.9,20.0,0.646,11.6,34.0,15.1,6.75,2.96,15.6,16.3
232,South Carolina NCAA,31,23,8,0.742,12.51,8.77,11.0,5.0,13,1,5,5,71.3,67.4,,23.8,53.8,0.443,5.74,17.2,0.333,17.9,25.9,0.692,12.3,37.5,12.6,5.9,3.77,15.1,15.7
233,South Carolina State NCAA,30,22,8,0.733,-5.65,-10.23,16.0,2.0,10,2,9,5,74.3,70.0,,25.5,55.2,0.462,5.8,14.5,0.399,17.5,25.5,0.686,13.1,36.3,10.6,7.23,4.33,17.4,19.8
234,South Florida,30,17,13,0.567,2.69,3.16,7.0,9.0,9,6,6,5,65.8,66.3,40.3,22.4,57.0,0.393,5.27,18.3,0.288,15.7,24.0,0.656,14.6,36.5,12.7,9.9,3.0,14.9,21.6
