Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,30,16,14,0.533,0.44,0.19,,8.0,8.0,,12,4,,3,7,,58.7,57.2,,40.3,19.0,42.8,0.444,7.13,18.9,0.377,13.5,19.4,0.696,5.23,26.5,12.2,6.43,1.8,12.7,17.0
2,Akron,35,24,11,0.686,6.24,0.33,,11.0,5.0,,13,3,,7,6,,70.8,63.8,,40.4,23.8,53.9,0.441,8.4,21.8,0.386,14.9,21.2,0.703,11.2,31.3,13.3,7.17,2.74,12.8,19.5
3,Alabama,33,17,16,0.515,8.12,5.7,,5.0,11.0,,13,5,,1,9,,75.3,72.8,,40.6,27.8,60.9,0.456,7.03,19.4,0.363,12.7,20.4,0.62,13.6,38.2,15.6,7.45,4.48,13.0,16.8
4,Alabama A&M,29,14,15,0.483,-16.14,-12.97,,11.0,7.0,,9,3,,5,9,,65.9,67.3,,40.2,21.8,56.7,0.384,5.97,18.0,0.332,16.4,23.9,0.684,13.0,36.6,9.9,7.38,5.86,16.6,19.0
5,Alabama State,31,20,11,0.645,-7.73,-12.7,,15.0,3.0,,11,2,,8,8,,71.0,65.0,,,26.3,57.5,0.457,6.19,17.7,0.35,12.3,19.2,0.64,12.4,38.5,14.7,5.68,4.06,13.3,19.4
6,Albany (NY),30,15,15,0.5,-4.05,-5.92,,10.0,6.0,,8,5,,7,9,,68.3,66.4,,40.7,24.1,55.0,0.438,5.73,16.6,0.345,14.4,19.8,0.726,12.4,37.5,12.3,5.33,2.43,14.3,20.5
7,Alcorn State,31,7,24,0.226,-23.12,-11.47,,6.0,12.0,,5,6,,2,14,,67.7,78.9,,40.6,23.7,57.5,0.413,5.9,17.1,0.345,14.4,20.8,0.689,11.6,32.9,9.65,6.61,1.52,17.2,21.9
8,American NCAA,33,21,12,0.636,-1.87,-4.0,,10.0,4.0,,11,4,,10,7,,64.8,62.1,,40.0,21.2,48.1,0.44,7.88,19.3,0.408,14.7,19.8,0.739,9.73,32.2,11.8,4.61,2.64,13.9,17.8
9,Appalachian State,31,18,13,0.581,-0.71,-2.77,,13.0,7.0,,9,4,,7,7,,71.4,69.3,,40.2,25.2,53.0,0.474,7.48,19.5,0.385,13.6,19.6,0.694,9.81,35.1,13.5,6.1,4.68,15.2,17.2
10,Arizona NCAA,34,19,15,0.559,14.55,10.22,,8.0,10.0,,11,6,,6,7,,71.9,66.9,,40.4,24.8,51.9,0.478,6.5,16.6,0.39,15.8,21.1,0.749,8.26,30.9,15.5,5.56,3.53,12.2,16.4
11,Arizona State,34,21,13,0.618,10.31,6.28,,9.0,9.0,,15,5,,4,6,,66.8,61.9,,40.7,22.6,48.7,0.464,7.18,20.2,0.355,14.4,19.5,0.739,8.12,30.3,14.4,6.94,3.21,12.6,16.1
12,Arkansas NCAA,35,23,12,0.657,12.48,6.73,,9.0,7.0,,15,1,,2,7,,74.1,68.3,,40.1,26.7,57.2,0.468,5.91,17.3,0.341,14.7,21.7,0.678,12.7,36.4,14.4,6.89,5.2,15.2,18.9
13,Arkansas State,30,10,20,0.333,-7.75,-2.02,,5.0,13.0,,9,6,,1,14,,70.6,72.8,,40.2,25.4,55.8,0.455,6.97,17.6,0.397,12.8,17.9,0.718,11.0,31.1,12.5,6.6,2.13,13.8,17.7
14,Arkansas-Pine Bluff,31,13,18,0.419,-17.8,-12.56,,8.0,10.0,,5,6,,7,11,,60.3,64.5,,40.2,22.2,55.5,0.4,5.32,17.0,0.314,10.6,17.2,0.614,10.8,35.4,11.3,5.1,4.84,14.2,18.5
15,Army,30,14,16,0.467,-8.62,-5.04,,6.0,8.0,,7,7,,7,9,,59.0,62.1,,40.3,22.0,50.7,0.433,4.73,15.1,0.313,10.3,15.2,0.68,8.6,29.8,13.9,8.63,2.03,15.9,19.6
16,Auburn,30,14,16,0.467,2.31,4.7,,4.0,12.0,,8,7,,4,7,,71.4,72.8,,40.0,25.9,56.6,0.458,7.63,22.5,0.34,11.9,17.8,0.669,10.8,32.4,15.1,8.63,2.47,13.6,16.4
17,Austin Peay NCAA,35,24,11,0.686,-2.21,-5.24,,16.0,4.0,,13,1,,9,8,,74.0,70.8,,40.7,24.4,54.8,0.446,7.8,20.4,0.382,17.3,24.3,0.714,10.3,31.6,14.3,9.57,2.14,12.6,17.6
18,Ball State,30,6,24,0.2,-5.61,0.5,,5.0,11.0,,5,10,,1,13,,57.8,63.9,,40.3,20.8,51.9,0.4,4.17,13.9,0.299,12.1,18.5,0.653,10.2,31.2,10.4,6.2,1.67,12.2,17.2
19,Baylor NCAA,32,21,11,0.656,11.46,5.75,,9.0,7.0,,12,4,,6,4,,81.3,74.9,,41.3,28.1,61.8,0.454,8.59,22.7,0.378,16.5,22.2,0.743,12.0,37.4,12.1,7.41,4.31,12.6,20.8
20,Belmont NCAA,34,25,9,0.735,-0.12,-3.44,,14.0,2.0,,14,1,,9,5,,79.8,73.4,,40.6,27.6,61.1,0.451,10.5,28.8,0.365,14.1,20.3,0.698,12.5,36.7,17.3,8.53,1.91,14.6,18.4
21,Bethune-Cookman,32,11,21,0.344,-15.97,-10.89,,5.0,11.0,,6,9,,4,10,,58.2,61.8,,40.9,20.3,45.9,0.441,3.91,11.9,0.329,13.7,20.6,0.667,9.41,29.5,10.3,7.0,2.44,15.8,17.5
22,Binghamton,30,14,16,0.467,-6.84,-6.0,,9.0,7.0,,9,6,,5,10,,65.9,66.7,,40.2,23.8,54.9,0.434,5.7,17.0,0.335,12.6,17.2,0.732,11.7,32.4,12.0,7.2,2.57,13.6,19.4
23,Boise State NCAA,34,25,9,0.735,1.6,-2.07,,12.0,4.0,,11,5,,12,3,,81.4,75.5,,40.9,29.2,57.5,0.508,7.97,20.3,0.393,14.9,22.6,0.661,9.85,35.8,17.8,6.32,2.35,15.7,17.4
24,Boston College,31,14,17,0.452,6.46,7.75,,4.0,12.0,,11,8,,2,7,,71.1,72.4,,40.3,25.0,55.0,0.455,5.94,16.5,0.36,15.1,21.8,0.69,11.9,35.6,14.8,6.0,6.1,15.5,16.8
25,Boston University,31,14,17,0.452,-6.69,-4.91,,9.0,7.0,,7,6,,6,10,,63.0,64.8,,40.2,21.8,54.0,0.403,7.48,22.5,0.332,12.0,17.7,0.679,10.8,32.4,13.2,7.06,2.48,14.1,20.1
26,Bowling Green State,30,13,17,0.433,-5.09,-0.63,,7.0,9.0,,8,5,,4,10,,63.5,67.9,,40.3,23.2,52.8,0.439,4.97,15.7,0.316,12.1,18.5,0.655,11.2,34.2,12.5,5.53,5.03,15.1,18.3
27,Bradley,38,21,17,0.553,6.23,4.25,,9.0,9.0,,13,6,,7,9,,73.8,71.7,,40.4,24.8,56.1,0.441,9.11,24.3,0.374,15.2,20.4,0.744,10.7,33.3,15.9,7.82,2.45,14.1,19.6
28,Brigham Young NCAA,35,27,8,0.771,11.82,1.33,,14.0,2.0,,16,0,,8,5,,73.7,63.2,,40.1,25.9,56.3,0.46,8.14,21.8,0.373,13.8,21.1,0.655,10.4,38.6,16.8,5.91,3.86,14.1,17.7
29,Brown,29,19,10,0.655,-0.65,-4.65,,11.0,3.0,,9,3,,10,7,,68.9,64.9,,40.5,22.3,46.9,0.475,7.83,19.2,0.408,16.5,22.1,0.746,6.83,29.3,14.2,6.97,2.41,13.0,15.6
30,Bucknell,31,12,19,0.387,-6.88,-3.88,,6.0,8.0,,7,6,,4,12,,62.1,65.3,,40.8,21.4,50.3,0.425,6.84,20.0,0.342,12.5,18.5,0.678,9.65,32.2,12.8,6.26,2.77,16.2,20.1
31,Buffalo,30,10,20,0.333,-3.9,0.61,,3.0,13.0,,7,6,,1,12,,71.5,75.0,,40.8,26.1,63.2,0.413,5.7,17.9,0.319,13.7,20.0,0.684,15.0,38.4,13.5,8.0,2.9,16.8,22.8
32,Butler NCAA,34,30,4,0.882,13.0,2.64,,16.0,2.0,,14,1,,11,2,,68.8,58.4,,40.4,22.8,50.9,0.449,9.38,24.7,0.38,13.8,18.7,0.737,9.06,29.9,13.1,6.5,2.44,10.4,17.3
