Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,8,18,0.308,-6.61,2.39,,3.0,15.0,,7,8,,1,9,,1813,1923,,,,0.423,0.282,0.507,47.8,45.8,,11.0,0.459,15.6,,0.299
2,Akron,26,8,18,0.308,-8.15,-2.23,,2.0,16.0,,7,8,,1,10,,1601,1727,,,,0.338,0.238,0.466,49.4,56.5,,4.7,0.436,19.7,,0.21
3,Alabama NCAA,30,20,10,0.667,10.28,6.15,,12.0,4.0,,13,1,,4,6,,2208,2084,,,,0.411,0.266,0.525,52.5,49.8,,12.2,0.492,19.5,,0.27
4,Alabama State,29,19,10,0.655,-8.28,-12.04,,10.0,4.0,,10,2,,6,6,,2444,2329,,,,0.409,0.16,0.528,53.0,43.9,,4.8,0.495,15.8,,0.273
5,Alcorn State,27,3,24,0.111,-24.72,-8.76,,3.0,11.0,,3,8,,0,14,,2015,2410,,,,0.301,0.244,0.491,42.4,38.7,,3.7,0.464,18.4,,0.193
6,American,27,8,19,0.296,-9.64,-2.23,,5.0,9.0,,6,5,,1,11,,2049,2249,,,,0.365,0.24,0.497,48.4,52.3,,6.0,0.464,16.8,,0.239
7,Appalachian State,27,16,11,0.593,-2.42,-2.69,,12.0,6.0,,12,1,,4,9,,2070,2055,,,,0.381,0.279,0.548,46.6,51.7,,9.8,0.519,16.8,,0.256
8,Arizona NCAA,35,29,6,0.829,23.76,8.9,,14.0,4.0,,14,2,,8,2,,3124,2604,,,,0.386,0.344,0.577,51.9,52.4,,6.3,0.545,15.1,,0.275
9,Arizona State,28,15,13,0.536,9.61,7.86,,10.0,8.0,,11,4,,4,6,,2158,2109,,,,0.381,0.363,0.528,48.7,51.0,,6.6,0.499,17.2,,0.25
10,Arkansas NCAA,34,31,3,0.912,23.97,7.64,,14.0,2.0,,16,0,,7,2,,3176,2569,,,,0.353,0.329,0.576,50.7,59.5,,8.6,0.552,16.3,,0.24
11,Arkansas State,27,15,12,0.556,-0.26,-2.37,,10.0,8.0,,10,2,,4,8,,1839,1782,,,,0.387,0.353,0.492,48.9,59.7,,7.9,0.455,18.5,,0.254
12,Army,27,7,20,0.259,-17.49,-7.6,,4.0,10.0,,6,5,,1,13,,2095,2310,,,,0.458,0.294,0.524,50.2,48.1,,3.3,0.482,18.4,,0.312
13,Auburn,28,11,17,0.393,8.05,7.27,,3.0,13.0,,7,8,,2,7,,2288,2266,,,,0.361,0.284,0.578,52.6,53.5,,5.0,0.56,19.8,,0.236
14,Austin Peay,27,11,16,0.407,-8.76,-4.41,,10.0,6.0,,9,3,,2,12,,2156,2209,,,,0.43,0.219,0.528,51.7,49.0,,8.4,0.496,18.7,,0.278
15,Ball State,28,16,12,0.571,1.29,-0.52,,11.0,7.0,,10,5,,6,6,,2081,2022,,,,0.338,0.219,0.557,51.7,57.7,,4.9,0.531,19.7,,0.231
16,Baylor,27,16,11,0.593,0.76,-1.02,,7.0,7.0,,11,3,,5,7,,2308,2260,,,,0.401,0.287,0.508,54.1,55.8,,8.7,0.468,16.8,,0.274
17,Bethune-Cookman,27,9,18,0.333,-17.55,-8.51,,8.0,8.0,,4,4,,4,12,,1916,2160,,,,0.405,0.277,0.469,48.0,43.6,,5.5,0.433,20.1,,0.253
18,Boise State NCAA,30,17,13,0.567,2.1,0.21,,7.0,7.0,,15,3,,1,8,,2174,2071,,,,0.364,0.179,0.521,50.4,61.3,,11.5,0.504,18.9,,0.215
19,Boston College NCAA,34,23,11,0.676,16.78,9.81,,11.0,7.0,,13,2,,6,5,,2658,2381,,,,0.392,0.289,0.559,51.1,56.8,,4.4,0.529,16.3,,0.267
20,Boston University,27,11,16,0.407,-9.23,-7.0,,4.0,10.0,,7,5,,4,10,,2013,2076,,,,0.416,0.257,0.543,51.6,59.0,,12.8,0.518,20.8,,0.263
21,Bowling Green State,28,18,10,0.643,4.04,0.04,,12.0,6.0,,12,2,,5,7,,2033,1883,,,,0.431,0.235,0.572,51.9,54.2,,6.5,0.54,18.4,,0.299
22,Bradley,31,23,8,0.742,2.69,-1.11,,14.0,4.0,,17,0,,5,7,,2140,2008,,,,0.436,0.262,0.536,50.8,57.0,,6.2,0.508,19.5,,0.277
23,Brigham Young,32,22,10,0.688,7.59,3.46,,12.0,6.0,,14,2,,5,6,,2540,2382,,,,0.495,0.25,0.578,52.4,55.0,,8.6,0.532,17.7,,0.364
24,Brown,26,12,14,0.462,-12.44,-5.75,,6.0,8.0,,7,4,,5,10,,1684,1858,,,,0.347,0.282,0.493,48.1,58.8,,6.3,0.456,18.9,,0.236
25,Bucknell,27,10,17,0.37,-9.47,-8.9,,6.0,8.0,,7,5,,2,10,,2243,2218,,,,0.38,0.265,0.531,50.7,43.1,,9.1,0.487,17.9,,0.279
26,Buffalo,28,10,18,0.357,-13.9,-7.68,,3.0,2.0,,5,7,,3,10,,1972,2131,,,,0.322,0.123,0.464,47.7,46.3,,9.0,0.442,18.1,,0.186
