Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,10.0,10.0,8,6,5,10,72.1,73.5,40.4,26.1,56.6,0.462,5.85,18.0,0.325,15.4,22.5,0.685,10.1,36.8,12.4,6.68,3.32,14.6,18.9
2,Air Force,31,9,22,0.29,-4.77,1.43,2.0,16.0,4,12,5,8,66.2,72.4,40.3,25.0,52.6,0.475,7.06,19.3,0.366,15.4,20.5,0.747,9.58,32.8,12.5,5.74,3.1,11.2,16.0
3,Akron NCAA,35,24,11,0.686,2.77,-2.08,13.0,5.0,13,1,7,6,73.6,66.2,40.1,24.4,56.7,0.43,6.4,21.1,0.304,11.0,16.0,0.688,8.83,32.4,11.2,5.86,2.49,11.5,17.1
4,Alabama NCAA,37,25,12,0.676,20.69,11.8,13.0,5.0,14,2,5,5,90.1,81.2,40.3,27.8,63.5,0.437,7.49,23.6,0.317,18.2,24.6,0.738,12.1,35.8,12.8,7.38,4.41,11.3,20.0
5,Alabama A&M,35,12,23,0.343,-14.35,-7.52,9.0,9.0,7,5,4,15,69.0,75.8,40.1,24.5,57.4,0.426,7.46,21.2,0.352,19.4,25.9,0.749,11.9,35.9,13.2,9.46,3.26,14.1,20.0
6,Alabama State,32,13,19,0.406,-11.73,-6.87,8.0,10.0,7,5,3,13,68.6,69.4,40.7,22.5,54.7,0.412,7.66,22.7,0.337,16.7,23.0,0.726,9.91,39.4,12.0,6.13,4.75,14.6,16.1
7,Albany (NY),32,13,19,0.406,-6.6,-5.22,5.0,11.0,8,5,5,13,78.7,78.8,40.2,28.3,60.8,0.467,5.22,18.0,0.29,16.9,23.3,0.726,10.1,36.0,13.1,7.34,4.66,13.0,15.6
8,Alcorn State,32,14,18,0.438,-11.58,-5.61,13.0,5.0,7,3,7,14,71.9,77.4,40.2,26.3,56.8,0.463,9.72,25.9,0.376,15.1,20.8,0.727,9.88,32.1,15.6,6.34,4.03,11.8,17.9
9,American,32,16,16,0.5,-8.96,-8.79,10.0,8.0,8,7,8,9,68.8,68.0,40.3,24.3,53.3,0.455,8.5,22.9,0.371,11.0,15.9,0.693,7.97,30.6,12.6,5.0,2.44,10.8,16.1
10,Appalachian State,34,27,7,0.794,6.04,-2.34,16.0,2.0,15,0,8,5,78.4,67.1,40.9,25.4,65.4,0.389,6.65,21.5,0.309,9.62,13.9,0.693,11.6,36.4,10.3,6.88,2.47,10.5,16.4
11,Arizona NCAA,36,27,9,0.75,24.54,9.45,15.0,5.0,15,1,7,4,87.1,72.1,40.7,26.4,62.6,0.421,7.81,23.7,0.329,11.5,16.2,0.712,8.97,32.6,13.8,6.94,3.67,13.4,19.0
12,Arizona State,32,14,18,0.438,4.58,9.55,8.0,12.0,10,5,3,8,69.0,74.0,40.2,26.6,59.0,0.45,7.84,23.1,0.339,13.0,18.4,0.708,10.6,40.6,15.3,5.81,2.66,13.7,16.7
13,Arkansas,33,16,17,0.485,6.12,8.15,6.0,12.0,12,6,2,7,77.8,79.8,40.6,27.5,61.8,0.446,7.15,21.1,0.339,17.5,24.1,0.727,11.1,36.4,13.0,6.45,2.91,11.1,20.8
14,Arkansas State,37,20,17,0.541,0.28,-1.53,11.0,7.0,10,3,5,11,78.8,77.0,40.1,27.6,60.4,0.458,5.73,16.3,0.352,16.0,21.0,0.761,10.2,35.2,11.2,6.97,4.27,9.97,16.5
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.6,8.0,10.0,8,6,5,12,80.1,81.8,40.0,29.5,64.9,0.455,7.55,24.8,0.305,15.2,21.2,0.718,12.1,38.3,16.5,7.16,3.35,11.7,18.1
16,Army,32,10,22,0.313,-14.67,-8.93,6.0,12.0,6,11,4,11,60.3,64.3,40.5,22.9,53.5,0.429,6.91,21.2,0.325,11.6,16.4,0.703,8.31,33.9,12.9,7.0,2.97,10.9,14.9
17,Auburn NCAA,35,27,8,0.771,22.46,7.66,13.0,5.0,15,1,5,5,83.1,68.3,40.0,22.4,58.0,0.386,5.86,19.4,0.302,17.7,24.1,0.734,11.5,34.5,9.57,6.66,3.23,12.8,19.0
18,Austin Peay,35,19,16,0.543,-6.13,-4.85,10.0,6.0,14,3,4,12,74.8,73.2,40.7,26.0,56.2,0.463,6.57,20.4,0.323,14.6,20.6,0.709,10.3,35.5,12.1,4.31,3.4,11.4,15.9
19,Ball State,31,15,16,0.484,-6.68,-5.93,7.0,11.0,9,7,6,8,73.5,71.0,40.5,26.2,58.7,0.445,7.1,20.7,0.342,11.5,16.3,0.709,9.61,33.7,12.4,6.32,3.06,11.9,19.1
20,Baylor NCAA,35,24,11,0.686,19.5,10.71,11.0,7.0,15,2,4,5,80.4,71.1,40.9,25.8,56.8,0.455,6.8,20.2,0.336,12.7,17.2,0.735,8.8,29.2,13.7,6.97,3.43,11.8,19.0
