Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Air Force,29,13,16,0.448,-0.45,2.14,3.0,11.0,9,7,2,7,61.6,62.0,40.3,20.9,51.0,0.41,6.86,21.4,0.32,13.3,18.9,0.706,10.3,34.2,12.7,6.52,2.59,14.0,17.9
2,Akron,34,22,12,0.647,6.33,0.72,13.0,3.0,13,2,8,8,72.2,65.9,40.3,23.8,56.6,0.42,5.09,16.9,0.301,13.2,19.1,0.691,11.8,33.3,12.4,6.41,3.41,14.0,18.7
3,Alabama NCAA,33,21,12,0.636,13.76,7.18,9.0,7.0,12,3,4,6,64.7,58.1,40.3,20.2,51.8,0.389,4.97,17.2,0.289,12.8,19.8,0.645,11.3,32.5,10.4,5.48,3.58,13.4,16.3
4,Alabama A&M,28,7,21,0.25,-19.33,-10.79,5.0,13.0,6,5,1,15,63.0,70.1,40.4,23.8,53.3,0.447,4.75,13.6,0.35,17.8,27.0,0.657,11.4,36.4,10.7,8.11,4.11,14.4,17.9
5,Alabama State,31,12,19,0.387,-15.79,-9.96,9.0,9.0,7,4,4,14,59.4,64.4,40.8,22.9,52.5,0.436,4.77,15.9,0.3,13.8,21.1,0.655,11.1,37.3,13.2,7.74,4.0,15.6,18.7
6,Albany (NY),34,19,15,0.559,-3.92,-6.92,9.0,7.0,10,4,6,10,72.1,69.1,40.1,25.8,56.2,0.46,7.12,19.1,0.372,10.4,15.7,0.661,10.9,32.6,14.0,5.59,3.15,13.1,18.3
7,Alcorn State,32,10,22,0.313,-19.57,-10.61,6.0,12.0,7,5,2,14,60.2,67.1,39.1,23.3,54.2,0.43,5.28,16.0,0.33,15.2,23.4,0.65,12.6,35.9,11.3,7.75,4.16,14.3,17.3
8,American,32,20,12,0.625,-3.12,-5.24,10.0,4.0,13,2,7,10,64.3,62.2,40.2,22.2,54.0,0.411,5.66,18.2,0.31,12.1,17.7,0.686,10.4,34.1,11.4,5.81,2.75,11.0,17.9
9,Appalachian State,31,13,18,0.419,-6.93,-3.28,7.0,11.0,9,5,3,11,68.4,70.2,40.2,25.1,57.6,0.435,5.06,16.2,0.313,15.0,22.4,0.67,11.5,35.4,12.2,6.87,2.52,11.6,18.2
10,Arizona,35,23,12,0.657,10.91,4.62,12.0,6.0,14,4,6,4,69.0,62.7,40.3,22.8,56.3,0.406,4.86,17.0,0.285,12.2,18.4,0.666,10.9,33.5,11.5,5.66,3.09,11.9,19.1
11,Arizona State,31,10,21,0.323,-1.01,4.31,6.0,12.0,7,10,2,7,61.0,66.3,40.0,22.6,52.5,0.431,6.81,18.5,0.368,14.3,20.1,0.711,9.9,30.0,13.6,7.42,2.58,11.3,17.8
12,Arkansas,32,18,14,0.563,5.76,3.63,6.0,10.0,17,3,1,9,71.8,69.7,40.0,24.8,57.1,0.434,5.94,18.3,0.325,14.2,21.0,0.676,13.0,37.6,12.5,5.56,4.78,16.2,18.5
13,Arkansas State,34,14,20,0.412,-3.18,-0.52,6.0,10.0,10,5,2,14,64.6,65.9,40.3,24.6,54.3,0.454,6.26,16.0,0.392,10.3,14.9,0.689,9.62,31.4,11.7,6.82,3.85,13.0,18.5
14,Arkansas-Pine Bluff,33,11,22,0.333,-16.77,-8.34,9.0,9.0,6,3,3,15,61.0,69.4,40.2,24.0,54.2,0.443,6.97,18.7,0.373,14.5,22.9,0.634,12.2,36.2,13.2,7.55,3.42,14.3,18.3
15,Army,30,12,18,0.4,-11.26,-7.16,5.0,9.0,9,6,3,11,67.6,69.7,40.5,24.5,55.2,0.444,7.23,21.3,0.34,13.4,19.7,0.68,10.2,35.9,13.3,6.5,2.87,15.9,19.6
