Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian NCAA,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,75.7,60.4,40.0,20.7,51.3,0.404,5.55,17.9,0.31,13.4,19.8,0.681,9.07,34.0,10.3,6.52,3.79,19.9,20.0
2,Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,58.7,71.9,40.0,26.2,52.4,0.5,7.76,21.2,0.366,11.8,17.2,0.688,10.3,34.6,14.7,6.0,2.12,13.9,16.7
3,Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,78.2,72.2,40.4,27.0,62.4,0.433,6.57,21.1,0.311,11.6,16.3,0.712,11.0,36.4,12.1,5.61,2.22,11.9,18.3
4,Alabama NCAA,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,79.7,70.1,40.2,25.4,62.2,0.408,6.21,21.3,0.291,13.2,19.1,0.689,11.5,38.0,11.2,7.91,4.88,15.3,18.2
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,63.3,67.2,40.7,23.3,59.4,0.393,5.6,19.8,0.283,14.9,22.2,0.673,11.5,38.8,12.5,8.07,2.67,12.8,16.7
6,Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,64.2,71.6,40.0,25.3,57.9,0.438,6.0,18.4,0.325,14.9,21.4,0.696,10.4,37.6,12.6,7.72,4.17,14.9,21.6
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,69.4,68.7,40.0,25.1,55.9,0.45,7.13,20.6,0.345,11.3,16.4,0.691,8.69,32.6,12.3,5.63,4.0,14.6,18.4
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,66.1,75.6,40.0,25.4,52.2,0.487,7.05,20.4,0.346,17.7,26.2,0.678,9.21,34.9,14.7,6.74,4.16,15.7,17.8
9,American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,69.1,73.6,42.0,26.8,58.4,0.459,5.0,17.2,0.291,15.0,22.4,0.67,10.6,35.1,11.7,8.5,2.5,12.5,15.6
10,Appalachian State NCAA,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,70.3,64.1,40.9,23.8,56.8,0.418,6.97,21.4,0.325,9.66,13.6,0.711,9.28,35.2,11.9,5.66,4.31,14.0,17.5
11,Arizona,26,17,9,0.654,15.02,8.18,11.0,9.0,12.0,4.0,5.0,5.0,75.4,68.6,40.4,24.3,56.5,0.429,7.08,20.7,0.341,13.0,18.3,0.706,8.46,31.2,11.2,5.38,2.77,12.4,20.2
