Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,15,5,13,3,7,8,75.9,65.3,40.6,21.5,49.8,0.432,4.97,16.7,0.298,17.2,23.5,0.734,8.74,33.4,9.58,6.81,3.68,19.9,19.9
2,Air Force,32,12,20,0.375,-0.37,3.02,5,13,8,7,3,9,73.1,74.6,40.0,26.2,56.5,0.464,10.3,27.6,0.375,11.8,16.6,0.711,7.25,32.5,14.4,6.25,2.75,11.4,18.9
3,Akron,31,24,7,0.774,7.15,-0.4,14,4,15,2,8,4,75.7,66.5,40.0,24.3,60.8,0.4,6.23,20.5,0.303,11.6,17.4,0.669,11.5,36.7,10.3,6.03,2.74,13.2,19.9
4,Alabama,31,16,15,0.516,11.12,8.12,8,10,10,5,4,8,82.0,79.0,40.6,27.4,64.6,0.425,7.0,22.4,0.312,17.2,23.2,0.741,12.3,39.8,11.9,8.48,4.0,14.0,20.3
5,Alabama A&M,30,8,22,0.267,-18.88,-8.85,5,13,6,5,2,16,61.5,71.5,40.2,25.9,56.8,0.456,6.43,19.8,0.324,13.2,20.0,0.662,9.17,38.2,13.3,6.6,4.37,12.7,17.7
6,Alabama State,32,8,24,0.25,-16.15,-6.53,7,11,4,5,2,16,61.4,71.0,40.0,25.4,55.7,0.456,6.31,19.2,0.33,14.0,21.3,0.654,9.66,36.3,12.8,7.44,3.59,14.3,19.5
7,Albany (NY),32,14,18,0.438,-8.78,-5.91,7,9,7,7,5,11,66.5,68.4,40.2,24.6,58.6,0.42,7.84,22.9,0.343,11.3,16.3,0.694,8.97,34.5,13.4,7.69,3.41,12.8,17.9
8,Alcorn State,30,15,15,0.5,-14.64,-9.64,11,7,11,2,4,13,75.0,73.2,40.3,26.5,59.0,0.449,6.67,20.2,0.33,13.5,21.1,0.642,9.87,35.3,14.0,7.4,2.97,13.8,17.0
9,American,30,16,14,0.533,-4.37,-6.5,12,6,10,4,6,10,71.6,69.5,40.2,24.8,55.6,0.447,5.6,17.5,0.319,14.2,20.4,0.698,9.87,34.6,11.9,5.97,3.2,13.7,15.7
10,Appalachian State,33,18,15,0.545,-0.81,-0.01,11,9,10,5,7,9,68.4,67.3,40.2,24.6,57.2,0.431,7.3,22.6,0.323,10.8,15.0,0.719,9.76,35.3,13.5,6.82,2.61,14.4,19.5
11,Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,76.4,65.3,40.3,22.1,56.2,0.394,6.59,21.2,0.312,14.5,19.8,0.733,9.25,33.8,11.3,4.84,3.09,14.5,19.2
12,Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,73.8,70.5,40.0,24.8,57.9,0.428,7.32,22.1,0.331,13.5,19.8,0.681,10.3,38.1,12.5,6.55,3.84,16.4,18.4
13,Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,75.8,69.6,40.6,24.2,56.5,0.428,5.13,18.8,0.272,16.2,23.1,0.701,11.0,38.3,10.1,5.0,2.97,16.0,21.5
14,Arkansas State,32,16,16,0.5,-2.92,-0.72,8,12,10,7,6,9,70.7,71.9,40.3,24.6,53.9,0.456,6.5,18.9,0.344,16.2,22.4,0.725,9.38,33.8,13.7,6.03,2.09,14.0,20.9
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,3,15,2,8,2,18,53.8,68.3,40.2,22.7,52.6,0.432,6.07,19.6,0.309,16.8,24.8,0.679,9.7,32.7,12.9,9.63,2.53,14.2,17.4
16,Army,30,15,15,0.5,-9.1,-6.68,10,8,9,6,6,9,70.9,72.0,40.3,26.7,60.7,0.44,8.9,25.3,0.352,9.73,14.5,0.67,9.03,35.8,13.7,6.3,3.37,11.9,14.7
17,Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,78.0,70.4,41.0,24.5,59.4,0.413,7.0,21.5,0.325,14.4,20.1,0.717,10.3,35.2,11.2,6.68,3.13,13.5,21.2
18,Austin Peay,33,21,12,0.636,-0.98,-4.14,14,4,14,0,5,10,76.3,71.5,40.2,26.1,55.8,0.468,6.85,19.0,0.361,12.5,18.0,0.692,9.18,33.1,13.6,6.09,2.42,14.9,19.5
19,Ball State,31,18,13,0.581,4.12,-1.65,11,7,11,4,5,7,69.5,62.5,40.0,22.8,57.0,0.401,5.87,19.1,0.307,11.0,16.0,0.685,8.87,34.7,9.84,6.35,2.65,13.6,16.4
20,Baylor,30,26,4,0.867,20.13,9.13,15,3,14,1,8,2,71.1,60.1,40.2,21.4,53.9,0.397,5.87,18.9,0.311,11.4,16.6,0.687,10.2,33.4,11.3,5.8,4.87,15.2,18.3
21,Belmont,33,26,7,0.788,4.3,-6.23,15,3,13,1,11,5,79.6,67.9,40.0,25.6,61.6,0.416,7.03,21.3,0.33,9.61,15.0,0.64,10.2,36.7,12.1,5.79,2.94,14.3,14.5
