Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
280,Virginia NCAA,34,25,9,0.735,20.64,10.02,,12.0,4.0,,14,3,,6,4,,77.4,66.8,,40.9,27.1,60.9,0.444,6.82,18.9,0.362,16.5,22.9,0.719,,40.8,14.4,5.94,4.18,13.1,18.2
281,Virginia Commonwealth,30,16,14,0.533,3.68,3.43,,3.0,9.0,,10,4,,4,9,,69.9,69.2,,40.3,26.2,56.4,0.464,5.67,15.8,0.359,11.9,20.8,0.574,,37.8,15.8,8.13,3.83,18.7,18.4
282,VMI,27,10,17,0.37,-15.34,-3.89,,6.0,8.0,,8,5,,2,11,,79.8,87.8,,,27.9,68.7,0.405,9.15,27.1,0.337,14.9,21.7,0.689,,39.7,13.5,9.63,2.74,18.0,23.3
283,Virginia Tech,35,25,10,0.714,13.59,5.39,,6.0,6.0,,14,1,,7,5,,75.4,67.2,,,27.2,57.3,0.475,4.57,12.8,0.357,16.5,23.7,0.693,,37.8,14.1,6.69,3.2,12.6,16.1
284,Wagner,27,10,17,0.37,-14.71,-7.27,,9.0,9.0,,6,4,,4,12,,73.3,80.8,,,26.0,60.2,0.433,7.15,19.0,0.375,14.1,21.1,0.67,,35.1,12.8,6.93,2.85,16.9,19.8
285,Wake Forest NCAA,32,26,6,0.813,19.5,10.91,,12.0,4.0,,12,1,,9,3,,71.4,62.8,,40.2,24.8,53.0,0.468,6.97,19.2,0.363,14.8,19.4,0.764,,35.8,13.2,5.34,5.63,13.6,14.1
286,Washington,27,9,18,0.333,6.45,10.3,,5.0,13.0,,7,7,,2,11,,66.9,70.7,,40.6,25.0,59.9,0.417,5.11,16.9,0.303,11.7,17.8,0.66,,33.5,15.2,10.0,2.04,18.1,19.5
287,Washington State,30,18,12,0.6,13.05,8.59,,10.0,8.0,,13,2,,5,9,,83.5,77.3,,,30.1,58.1,0.517,5.8,14.7,0.394,17.6,24.3,0.723,,36.5,17.0,7.3,3.27,17.9,19.4
288,Weber State NCAA,30,21,9,0.7,8.35,3.42,,11.0,3.0,,13,1,,5,5,,77.3,70.5,,,27.7,60.0,0.461,5.6,16.3,0.344,16.4,22.6,0.724,,38.9,14.2,7.17,2.87,13.0,18.0
289,West Virginia,26,13,13,0.5,4.58,6.58,,7.0,9.0,,9,4,,3,7,,77.3,77.3,,40.2,28.5,63.2,0.452,5.12,16.7,0.307,15.1,22.4,0.674,,37.6,13.7,8.62,4.0,15.9,20.3
290,Western Carolina,28,14,14,0.5,-8.48,-2.82,,8.0,6.0,,9,3,,3,10,,75.1,77.3,,,27.6,60.9,0.453,6.0,17.3,0.346,14.0,19.0,0.735,,37.8,14.0,7.0,3.89,17.0,19.6
291,Western Illinois,28,20,8,0.714,-4.34,-9.58,,13.0,5.0,,12,2,,8,6,,77.8,72.0,,40.7,28.2,61.6,0.458,6.36,18.0,0.354,15.0,22.5,0.664,,39.8,16.1,8.25,3.54,15.7,18.6
292,Western Kentucky NCAA,31,27,4,0.871,7.8,-2.43,,17.0,1.0,,12,0,,12,3,,80.4,69.4,,40.5,29.5,62.2,0.475,5.55,15.3,0.363,15.8,23.6,0.667,,39.5,15.5,8.61,4.13,15.7,19.1
293,Western Michigan,27,14,13,0.519,1.2,0.94,,9.0,9.0,,8,4,,5,9,,68.6,68.4,,40.0,25.7,57.1,0.451,4.52,13.0,0.349,12.6,19.4,0.652,,34.6,11.2,7.56,3.74,15.3,18.3
294,Wichita State,27,13,14,0.481,-0.09,2.26,,6.0,12.0,,10,4,,3,9,,64.4,65.9,,40.6,23.4,55.8,0.419,5.04,15.5,0.325,12.7,19.0,0.667,,37.7,12.2,4.78,2.56,13.8,18.6
295,William & Mary,27,8,19,0.296,-7.71,-2.71,,6.0,8.0,,4,7,,4,10,,70.2,75.2,,40.0,25.2,60.2,0.418,4.81,16.1,0.299,15.0,23.7,0.634,,39.3,12.3,5.81,5.67,14.9,19.4
296,Winthrop,27,7,20,0.259,-15.29,-4.71,,4.0,12.0,,5,7,,2,12,,71.8,81.9,,,25.5,61.3,0.417,7.85,22.2,0.353,12.9,19.0,0.678,,33.9,15.8,8.04,2.37,15.9,19.4
297,Wisconsin,27,13,14,0.481,8.3,6.97,,7.0,11.0,,11,4,,2,10,,73.0,71.6,,,24.9,59.7,0.417,6.89,20.8,0.332,16.3,25.4,0.64,,39.3,12.7,6.37,3.81,16.6,22.5
298,Wright State,30,13,17,0.433,-4.18,-1.35,,6.0,8.0,,10,9,,3,8,,72.2,74.3,,40.0,25.2,55.5,0.454,4.8,14.6,0.328,17.0,24.8,0.684,,33.8,14.4,8.87,2.5,18.5,20.4
299,Wyoming,28,13,15,0.464,6.69,6.77,,9.0,9.0,,9,5,,3,9,,67.0,65.1,,40.2,22.4,51.9,0.432,5.64,18.0,0.314,16.6,24.2,0.684,,34.4,12.6,6.93,6.32,14.6,20.7
300,Xavier NCAA,28,23,5,0.821,10.17,-0.83,,14.0,0.0,,14,1,,9,3,,83.9,71.9,,,28.4,61.4,0.463,5.79,17.0,0.34,21.2,29.5,0.72,,39.6,16.5,8.5,2.11,16.3,19.1
301,Yale,26,9,17,0.346,-16.77,-9.73,,5.0,9.0,,6,5,,2,9,,64.8,69.8,,40.4,23.7,54.0,0.439,3.23,11.3,0.286,14.1,20.1,0.7,,34.0,10.2,7.08,2.35,15.7,20.0
302,Youngstown State,28,18,10,0.643,-8.27,-10.5,,10.0,8.0,,11,3,,6,7,,69.7,65.8,,40.0,25.7,58.3,0.441,5.39,14.8,0.365,12.9,19.6,0.656,,39.1,13.8,6.82,2.07,14.6,17.9
