Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,8,20,0.286,-5.07,2.58,,4.0,10.0,,6,8,,2,10,,1889,2046,,68.7,96.5,0.365,0.353,0.481,49.7,51.4,12.4,4.8,0.446,17.2,35.8,0.237
2,Akron,28,17,11,0.607,3.44,1.32,,11.0,7.0,,11,3,,6,8,,2126,2009,,71.3,105.5,0.487,0.258,0.548,49.4,61.1,11.2,7.2,0.49,16.7,33.0,0.372
3,Alabama,29,13,16,0.448,7.44,7.62,,6.0,10.0,,11,3,,0,10,,2094,2099,,,,0.404,0.324,0.528,53.6,43.6,,10.6,0.485,,38.9,0.287
4,Alabama A&M,28,18,10,0.643,-12.27,-12.07,,14.0,4.0,,11,2,,6,8,,2126,1984,,77.3,97.7,0.343,0.285,0.474,49.6,50.5,16.8,9.1,0.44,18.5,41.2,0.223
5,Alabama State,28,13,15,0.464,-16.56,-12.35,,10.0,8.0,,8,6,,5,7,,1867,1932,,72.2,91.9,0.433,0.288,0.499,49.6,52.6,11.7,6.7,0.464,22.1,35.5,0.277
6,Albany (NY),28,11,17,0.393,-15.51,-9.59,,,,,7,4,,4,12,,1828,1920,,69.0,94.2,0.249,0.42,0.529,43.5,60.6,12.1,9.3,0.506,21.3,26.0,0.172
7,Alcorn State,29,19,10,0.655,-9.89,-11.6,,15.0,3.0,,11,0,,6,9,,2161,2037,,,100.3,0.379,0.263,0.53,52.2,53.5,13.9,5.5,0.483,21.2,40.4,0.265
8,American,29,11,18,0.379,-6.13,-3.42,,5.0,11.0,,9,4,,1,13,,1904,1962,,70.8,90.8,0.318,0.231,0.465,48.9,52.7,13.1,9.8,0.435,18.9,35.7,0.201
9,Appalachian State NCAA,32,23,9,0.719,2.49,-3.75,,13.0,3.0,,11,0,,9,7,,2530,2228,,73.2,107.6,0.375,0.274,0.571,50.6,58.4,13.8,9.9,0.539,18.6,34.3,0.266
10,Arizona NCAA,34,27,7,0.794,18.96,9.7,,15.0,3.0,,16,1,,7,4,,2599,2284,,73.0,104.4,0.441,0.244,0.544,51.8,59.4,10.2,12.9,0.497,17.6,35.4,0.322
