Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,5,23,0.179,-5.62,5.05,,1.0,17.0,,5,10,,0,10,,1880,2089,,,,0.35,0.246,0.479,50.0,55.8,,6.9,0.448,17.0,,0.22
2,Akron,26,3,23,0.115,-11.16,2.52,,0.0,18.0,,2,11,,1,12,,1631,1949,,,,0.375,0.256,0.491,44.3,53.4,,5.5,0.449,18.3,,0.26
3,Alabama,32,19,13,0.594,6.99,6.11,,9.0,7.0,,12,2,,7,6,,2303,2275,,,,0.277,0.355,0.516,49.3,48.4,,13.7,0.492,16.5,,0.183
4,Alabama State,27,9,18,0.333,-23.42,-12.79,,5.0,9.0,,5,8,,4,6,,1995,2226,,,,0.362,0.29,0.508,41.1,40.5,,3.9,0.478,14.2,,0.233
5,Alcorn State,25,10,15,0.4,-18.2,-9.2,,7.0,7.0,,7,4,,3,10,,1942,2088,,,,0.355,0.248,0.512,49.8,49.1,,7.7,0.482,19.9,,0.234
6,American,27,12,15,0.444,-2.04,-1.27,,8.0,8.0,,8,5,,3,9,,2019,1978,,,,0.431,0.275,0.522,47.6,46.4,,7.0,0.474,16.5,,0.307
7,Appalachian State,28,8,20,0.286,-14.16,-1.12,,3.0,11.0,,7,6,,0,11,,2007,2308,,,,0.385,0.294,0.545,45.7,57.4,,6.3,0.514,20.8,,0.262
8,Arizona NCAA,33,26,7,0.788,18.14,8.42,,13.0,5.0,,13,3,,8,3,,2693,2372,,,,0.402,0.298,0.571,52.3,60.5,,8.2,0.547,18.7,,0.265
9,Arizona State,27,11,16,0.407,1.55,5.89,,6.0,12.0,,8,8,,3,7,,1980,2115,,,,0.324,0.309,0.501,47.2,56.7,,8.6,0.474,17.6,,0.208
10,Arkansas NCAA,33,20,13,0.606,11.66,8.08,,9.0,7.0,,14,5,,3,6,,2560,2442,,,,0.356,0.273,0.511,49.1,52.9,,10.7,0.486,18.2,,0.222
11,Arkansas State,27,9,18,0.333,-6.57,-0.11,,7.0,11.0,,7,6,,2,11,,1866,2030,,,,0.397,0.27,0.511,45.8,49.3,,6.9,0.486,20.1,,0.243
12,Army,27,7,20,0.259,-21.66,-10.62,,2.0,10.0,,6,6,,0,14,,1792,1983,,,,0.347,0.289,0.48,50.3,54.3,,4.5,0.444,19.2,,0.23
13,Auburn,32,19,13,0.594,6.07,4.17,,6.0,10.0,,9,5,,5,7,,2378,2283,,,,0.367,0.431,0.542,50.5,59.2,,6.4,0.513,20.1,,0.248
14,Austin Peay NCAA,30,19,11,0.633,-0.4,-4.19,,10.0,6.0,,9,3,,7,7,,2377,2224,,,,0.308,0.304,0.561,46.9,59.1,,8.9,0.538,15.5,,0.211
15,Ball State,28,16,12,0.571,2.98,1.83,,11.0,7.0,,10,3,,5,8,,2066,2034,,,,0.339,0.297,0.516,48.8,53.4,,6.4,0.484,16.2,,0.232
16,Baylor,27,9,18,0.333,-2.7,1.14,,4.0,10.0,,7,7,,1,9,,2008,2065,,,,0.388,0.301,0.497,48.9,51.3,,10.3,0.465,17.4,,0.245
17,Bethune-Cookman,27,12,15,0.444,-17.85,-12.93,,8.0,8.0,,9,3,,2,11,,1820,1847,,,,0.37,0.34,0.495,47.0,55.2,,7.4,0.456,18.1,,0.254
18,Boise State,28,15,13,0.536,-3.07,-2.22,,10.0,4.0,,9,4,,5,6,,1805,1827,,,,0.352,0.395,0.536,45.9,60.4,,4.6,0.5,20.0,,0.25
