Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,32,16,16,0.5,2.71,3.31,,6.0,10.0,,12,5,,3.0,11.0,,64.8,65.1,,40.5,22.6,47.9,0.471,6.63,17.6,0.377,13.1,18.5,0.705,5.84,28.7,15.4,6.25,2.59,12.1,17.6
2,Akron NCAA,36,23,13,0.639,2.15,-1.02,,9.0,7.0,,14,2,,5.0,9.0,,70.1,65.7,,40.7,24.8,57.6,0.43,7.86,21.8,0.361,12.7,18.0,0.704,10.1,34.4,14.4,6.67,3.58,12.0,19.2
3,Alabama,37,25,12,0.676,11.7,4.27,,12.0,4.0,,19,0,,4.0,6.0,,66.8,59.4,,40.3,25.1,55.8,0.45,4.11,13.8,0.298,12.5,17.6,0.707,12.4,36.2,12.3,9.49,5.14,13.9,18.2
4,Alabama A&M,28,13,15,0.464,-15.19,-11.75,,10.0,8.0,,9,4,,4.0,10.0,,64.6,66.8,,40.2,22.6,57.1,0.396,4.46,15.5,0.288,14.9,23.9,0.624,12.4,37.8,12.1,8.32,5.39,15.9,20.1
5,Alabama State NCAA,35,17,18,0.486,-13.37,-10.31,,11.0,7.0,,10,3,,4.0,14.0,,61.3,63.8,,40.3,20.8,52.6,0.395,4.71,16.7,0.283,15.0,24.9,0.603,13.1,36.3,11.5,7.29,4.66,15.7,22.2
6,Albany (NY),32,16,16,0.5,-7.05,-5.96,,9.0,7.0,,7,6,,7.0,8.0,,62.9,64.0,,40.8,22.6,53.3,0.424,7.44,19.7,0.378,10.2,15.8,0.645,11.8,36.1,11.6,4.69,2.81,12.8,15.8
7,Alcorn State,28,4,24,0.143,-23.02,-8.02,,4.0,14.0,,2,7,,2.0,17.0,,65.6,80.6,,40.2,21.9,59.4,0.369,4.14,12.8,0.323,17.6,27.9,0.633,10.5,35.4,9.11,7.79,3.68,16.9,21.8
8,American,31,22,9,0.71,-3.13,-5.64,,11.0,3.0,,10,3,,10.0,5.0,,66.2,63.6,,40.6,23.1,51.7,0.447,6.06,18.0,0.338,13.9,19.4,0.718,9.29,33.7,13.9,4.1,2.77,11.2,18.0
9,Appalachian State,31,16,15,0.516,-4.81,-2.95,,10.0,8.0,,9,3,,6.0,8.0,,73.1,73.2,,40.2,25.5,56.1,0.455,6.32,18.8,0.337,15.8,22.4,0.705,10.4,34.4,10.5,5.77,2.87,13.0,17.5
10,Arizona NCAA,38,30,8,0.789,16.54,7.99,,14.0,4.0,,17,0,,7.0,4.0,,76.4,67.9,,40.5,25.5,54.3,0.469,7.79,19.6,0.397,17.7,23.7,0.746,10.7,34.7,14.1,5.18,2.58,12.7,18.6
11,Arizona State,31,12,19,0.387,4.3,7.2,,4.0,14.0,,8,7,,2.0,10.0,,64.0,66.9,,40.2,23.2,54.0,0.43,7.74,22.1,0.351,9.84,15.7,0.628,9.35,32.0,14.9,6.32,3.71,12.2,18.5
12,Arkansas,31,18,13,0.581,6.28,2.34,,7.0,9.0,,15,3,,2.0,7.0,,70.7,66.7,,40.6,24.4,55.9,0.436,6.58,18.2,0.362,15.3,22.0,0.695,10.7,34.3,12.0,7.26,5.87,13.3,18.1
