Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian NCAA,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,73.6,63.6,40.3,22.1,51.1,0.434,5.62,17.0,0.33,13.6,18.9,0.722,8.68,32.3,10.5,5.65,2.71,16.5,17.4
2,Air Force,32,14,18,0.438,-4.28,0.24,8,10,9,6,3,9,68.1,71.7,40.6,25.7,56.9,0.451,9.34,26.3,0.356,11.0,16.3,0.679,8.06,33.5,13.8,7.22,2.72,12.1,17.2
3,Akron,33,17,16,0.515,4.86,1.09,8,10,14,3,1,10,68.8,63.8,40.2,23.0,58.2,0.396,6.52,22.2,0.293,11.3,17.2,0.654,11.2,39.2,10.4,5.67,2.7,13.2,17.5
4,Alabama,34,18,16,0.529,9.45,9.01,8,10,10,6,4,8,72.0,71.6,40.1,26.2,60.2,0.435,6.56,19.7,0.333,12.6,17.8,0.711,10.3,34.9,11.3,6.5,4.24,11.8,18.9
5,Alabama A&M,32,5,27,0.156,-19.23,-8.38,4,14,4,7,0,18,60.6,71.4,40.5,25.3,54.1,0.469,7.34,20.8,0.353,13.4,21.0,0.637,10.4,36.2,13.6,7.69,3.41,14.3,14.5
6,Alabama State,31,12,19,0.387,-15.6,-7.84,9,9,8,3,3,13,67.3,72.1,40.3,25.4,55.9,0.455,7.0,20.6,0.34,14.3,20.2,0.707,10.5,36.8,13.7,7.23,3.32,15.2,20.0
7,Albany (NY),32,12,20,0.375,-9.38,-6.7,7,9,6,8,6,10,67.2,69.3,40.6,25.2,56.2,0.449,7.91,22.0,0.36,10.9,16.7,0.655,9.41,34.1,14.4,6.44,3.69,12.7,17.4
8,Alcorn State,31,10,21,0.323,-22.08,-8.97,6,12,10,3,0,17,64.4,70.8,40.2,25.2,56.3,0.448,6.61,21.2,0.312,13.7,20.0,0.687,9.87,34.9,15.8,7.9,2.68,13.4,16.0
9,American,30,15,15,0.5,-4.19,-7.23,9,9,8,7,6,8,72.0,69.0,40.7,24.9,57.0,0.437,5.07,17.3,0.292,14.1,19.8,0.713,9.57,33.3,12.5,6.37,3.27,12.2,17.5
10,Appalachian State,32,11,21,0.344,-3.73,0.1,6,12,9,5,2,12,79.9,79.3,40.3,28.6,61.3,0.467,7.56,20.6,0.367,14.5,20.6,0.706,10.3,37.2,13.1,7.03,3.13,13.4,19.9
11,Arizona,32,17,15,0.531,8.32,6.32,8,10,12,5,4,7,70.9,68.9,40.3,24.6,54.9,0.448,6.66,20.3,0.329,13.1,19.2,0.68,8.66,34.2,11.8,5.41,3.84,14.1,19.4
12,Arizona State NCAA,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,77.6,73.4,40.6,24.4,59.0,0.413,8.59,25.7,0.334,16.1,22.8,0.705,10.1,35.8,13.2,6.5,3.32,14.0,21.6
13,Arkansas,34,18,16,0.529,11.75,8.78,8,10,12,6,5,8,75.3,72.3,40.3,24.0,56.7,0.424,7.94,23.9,0.333,16.3,23.6,0.689,12.5,38.3,13.0,6.24,3.32,16.3,21.4
14,Arkansas State,32,13,19,0.406,-7.1,-1.23,7,11,10,4,2,13,73.7,77.3,40.9,25.7,58.2,0.442,7.5,21.4,0.35,18.4,24.8,0.742,10.3,35.7,13.1,6.0,3.53,12.5,19.8
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.43,-8.18,10,8,8,2,4,17,65.9,70.9,40.6,24.3,53.5,0.455,6.28,17.7,0.355,15.9,23.6,0.675,9.94,34.1,13.6,7.5,3.31,13.8,19.0
16,Army,32,13,19,0.406,-7.57,-4.73,8,10,10,4,3,13,70.9,72.0,40.0,26.3,57.9,0.455,8.31,23.6,0.352,11.0,16.3,0.679,7.69,36.7,13.9,6.72,4.22,13.6,15.7
17,Auburn NCAA,40,30,10,0.75,20.84,10.92,11,7,15,2,4,6,79.7,68.8,40.4,23.5,53.8,0.437,8.07,23.4,0.345,13.7,19.4,0.707,10.6,35.3,12.3,5.65,3.6,17.1,17.3
18,Austin Peay,33,22,11,0.667,0.59,-4.41,13,5,10,2,8,7,82.2,73.1,40.5,26.2,58.0,0.451,7.27,21.9,0.332,13.5,19.5,0.693,10.2,34.4,13.6,5.67,3.24,15.8,19.7
19,Ball State,33,16,17,0.485,3.39,1.21,6,12,7,7,8,7,75.1,71.6,40.6,25.8,62.2,0.415,6.91,21.7,0.318,13.1,18.6,0.705,11.1,35.4,11.7,6.79,3.33,12.9,19.4
20,Baylor NCAA,34,20,14,0.588,13.38,9.26,10,8,13,5,5,6,71.8,67.7,40.1,23.4,55.0,0.425,7.24,21.0,0.345,13.7,20.1,0.683,9.94,31.9,13.0,5.94,4.29,12.4,18.0
21,Belmont NCAA,33,27,6,0.818,9.12,-2.6,16,2,13,1,12,3,86.9,73.9,40.3,27.1,63.9,0.424,7.67,22.5,0.341,12.0,17.2,0.696,9.52,35.3,12.2,6.06,3.52,12.2,16.7
22,Bethune-Cookman,31,14,17,0.452,-11.98,-9.74,9,7,11,4,3,12,73.9,72.4,40.3,25.4,61.3,0.413,6.61,21.9,0.302,15.1,22.2,0.681,12.0,37.7,14.2,7.13,4.06,15.4,19.3
23,Binghamton,33,10,23,0.303,-13.92,-4.69,5,11,5,11,5,12,65.2,72.0,40.0,26.6,59.9,0.444,9.06,23.4,0.387,9.79,14.8,0.663,11.2,38.3,16.4,6.85,2.88,11.5,15.5
24,Boise State,33,13,20,0.394,3.61,1.08,7,11,8,7,3,10,71.6,68.6,40.3,24.1,53.6,0.45,7.36,21.6,0.341,13.0,17.6,0.741,7.48,31.1,12.5,4.85,2.73,12.5,16.9
25,Boston College,31,14,17,0.452,5.83,7.76,5,13,10,8,2,8,70.8,72.8,40.6,25.7,61.3,0.419,7.94,24.8,0.319,13.4,18.0,0.744,12.0,38.6,13.9,5.84,3.1,11.6,17.9
26,Boston University,33,15,18,0.455,-6.61,-5.39,7,11,7,7,8,10,72.3,72.3,40.2,26.0,55.2,0.471,7.52,21.9,0.343,12.8,17.5,0.731,7.76,31.2,13.6,6.03,3.21,12.5,16.3
27,Bowling Green State,34,22,12,0.647,4.24,0.86,12,6,14,2,5,8,78.5,73.4,40.3,25.9,60.7,0.426,9.03,26.4,0.342,12.7,18.3,0.694,9.09,35.7,12.1,6.53,2.91,13.0,19.9
28,Bradley NCAA,35,20,15,0.571,-0.08,-0.9,9,9,10,6,5,8,66.5,65.3,40.1,22.3,54.1,0.412,7.03,21.5,0.327,13.7,19.0,0.724,8.94,33.2,11.9,5.6,2.57,12.4,18.5
29,Brigham Young,32,19,13,0.594,6.15,3.31,11,5,13,3,5,8,79.0,76.1,40.5,26.3,59.8,0.44,8.0,21.8,0.366,15.6,21.2,0.736,9.78,36.3,13.4,5.72,2.69,12.8,20.6
30,Brown,32,20,12,0.625,-0.62,-3.29,7,7,13,3,7,9,73.6,68.9,40.3,24.6,59.1,0.417,7.31,24.2,0.302,12.3,17.9,0.689,9.63,36.2,12.2,6.66,3.13,15.2,20.5
31,Bryant,30,10,20,0.333,-15.19,-7.66,7,11,8,6,2,13,69.6,77.1,40.0,27.0,56.8,0.475,8.4,21.7,0.388,14.8,20.1,0.735,9.9,36.0,14.8,5.87,3.87,12.9,19.0
32,Bucknell,33,21,12,0.636,0.59,-2.93,13,5,12,3,7,8,76.8,73.3,40.2,26.3,60.5,0.435,6.97,20.9,0.333,13.8,19.6,0.702,9.94,35.2,13.1,6.82,2.91,11.9,18.5
33,Buffalo NCAA,36,32,4,0.889,15.56,2.62,16,2,14,0,12,3,84.4,70.8,40.1,25.4,60.6,0.42,6.56,22.0,0.298,13.4,19.1,0.702,10.1,37.0,10.3,5.33,3.11,15.4,19.6
34,Butler,33,16,17,0.485,9.22,8.1,7,11,12,4,2,10,71.9,70.8,40.3,24.7,54.1,0.457,7.61,21.3,0.357,13.8,19.6,0.704,8.82,34.3,12.3,5.3,3.58,12.8,16.0
35,Cal Poly,29,6,23,0.207,-13.95,-3.54,2,14,4,8,1,14,66.6,75.3,40.9,26.6,57.6,0.461,7.03,19.1,0.368,15.1,21.6,0.702,10.5,38.2,14.4,5.34,3.52,10.8,17.0
36,Cal State Bakersfield,34,18,16,0.529,-5.12,-2.63,7,9,9,4,7,10,70.9,70.9,40.4,22.0,50.6,0.436,7.68,21.0,0.366,19.2,26.1,0.735,8.88,32.8,12.4,5.12,2.82,13.9,18.3
37,Cal State Fullerton,34,16,18,0.471,-3.29,-1.14,10,6,9,4,4,11,71.7,71.0,40.7,25.4,59.7,0.426,6.26,19.9,0.315,13.9,20.3,0.685,9.65,35.6,12.3,5.47,2.56,12.1,19.1
