Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,9,19,0.321,-0.95,3.23,,3.0,11.0,,5,6,,2,12,,57.3,61.5,,41.4,19.0,41.1,0.463,7.43,19.9,0.373,11.8,16.6,0.712,5.5,21.9,11.7,8.14,1.39,13.9,19.9
2,Akron,31,10,21,0.323,-4.83,0.37,,5.0,13.0,,6,6,,3,9,,69.5,74.3,,40.3,22.9,51.0,0.448,5.87,15.8,0.371,17.9,23.6,0.758,9.52,30.1,13.4,5.81,2.48,14.5,18.4
3,Alabama NCAA,35,27,8,0.771,16.93,7.67,,12.0,4.0,,17,0,,4,4,,75.9,66.7,,,26.0,59.2,0.439,6.2,20.1,0.309,17.7,24.1,0.736,14.5,39.1,13.1,7.34,3.23,14.0,18.7
4,Alabama A&M,29,19,10,0.655,-11.32,-15.8,,12.0,6.0,,12,2,,7,7,,79.9,73.2,,40.0,28.1,69.3,0.405,7.31,23.5,0.311,16.5,24.5,0.672,17.4,42.0,14.7,13.6,4.0,17.4,21.9
5,Alabama State,32,19,13,0.594,-13.25,-14.14,,12.0,6.0,,12,2,,5,9,,65.5,64.6,,40.3,22.3,52.5,0.425,5.69,16.7,0.341,15.1,23.6,0.64,12.2,36.5,9.81,6.78,2.78,16.8,16.4
6,Albany (NY),28,8,20,0.286,-16.99,-8.85,,5.0,11.0,,5,7,,3,12,,56.9,65.0,,40.2,21.2,54.9,0.386,5.82,17.8,0.328,8.64,12.9,0.67,11.1,32.3,10.2,6.96,2.96,14.5,18.1
7,Alcorn State NCAA,31,21,10,0.677,-11.27,-14.17,,16.0,2.0,,11,0,,8,9,,79.8,76.6,,,29.0,62.4,0.465,5.58,14.8,0.378,16.1,25.1,0.644,14.6,40.1,16.0,8.32,4.03,17.4,18.3
8,American,30,18,12,0.6,-4.99,-6.19,,10.0,4.0,,8,6,,8,6,,65.9,64.7,,40.5,22.7,50.2,0.451,7.17,20.1,0.356,13.4,18.5,0.726,9.07,32.8,13.7,6.7,2.6,16.1,17.8
9,Appalachian State,28,10,18,0.357,-7.52,-0.64,,5.0,11.0,,7,6,,3,11,,76.4,79.0,,40.2,26.6,60.7,0.438,6.07,17.2,0.353,17.1,25.1,0.683,13.1,37.4,15.2,8.61,2.75,17.1,19.9
10,Arizona NCAA,34,24,10,0.706,16.91,12.47,,12.0,6.0,,13,4,,6,5,,82.1,77.7,,40.3,27.5,60.0,0.459,7.59,20.2,0.376,19.6,26.8,0.731,12.6,37.8,15.5,6.09,3.03,14.1,17.9
11,Arizona State,29,14,15,0.483,9.79,6.79,,7.0,11.0,,12,5,,2,10,,76.9,73.9,,40.2,28.0,61.5,0.455,4.97,14.9,0.334,15.9,24.2,0.656,14.3,36.9,16.4,7.17,2.66,15.1,23.7
12,Arkansas,29,14,15,0.483,12.27,10.14,,6.0,10.0,,11,5,,3,7,,74.9,72.7,,40.2,26.7,61.3,0.436,8.0,23.9,0.334,13.4,20.6,0.651,11.0,32.1,15.3,10.6,3.41,14.2,22.4
13,Arkansas State,31,15,16,0.484,2.13,-1.98,,5.0,9.0,,9,4,,3,9,,72.9,67.0,,40.6,26.6,58.5,0.455,6.13,17.4,0.352,13.5,18.5,0.725,13.0,37.2,13.2,7.42,5.35,14.8,16.9
