Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,12,16,0.429,1.71,1.46,,3.0,11.0,,9,4,,3,10,,57.3,57.0,,40.0,19.1,39.8,0.481,7.82,20.8,0.376,11.1,17.1,0.651,4.18,21.0,13.0,5.96,1.79,11.4,18.8
2,Akron,28,14,14,0.5,-0.8,-1.43,,9.0,9.0,,10,5,,4,9,,78.6,77.0,,41.4,27.2,55.8,0.487,5.43,16.0,0.34,18.8,25.8,0.73,9.79,29.6,15.3,7.46,2.46,12.5,19.7
3,Alabama NCAA,29,17,12,0.586,13.36,9.4,,7.0,9.0,,13,2,,1,8,,69.0,65.1,,40.2,24.0,57.0,0.42,6.31,19.6,0.322,14.8,20.8,0.713,13.4,37.2,12.1,6.45,3.86,13.1,18.2
4,Alabama A&M,27,8,19,0.296,-16.71,-11.83,,4.0,14.0,,6,7,,2,12,,72.7,76.7,,40.7,24.8,62.2,0.399,7.67,20.9,0.368,15.4,21.7,0.707,13.6,36.9,14.9,9.41,2.19,18.7,20.3
5,Alabama State,29,14,15,0.483,-10.33,-10.0,,11.0,7.0,,9,4,,5,9,,64.1,63.7,,,23.6,55.2,0.428,6.17,17.6,0.35,10.7,16.5,0.649,12.2,36.0,11.7,8.24,3.17,16.8,18.2
6,Albany (NY),28,7,21,0.25,-14.87,-5.09,,3.0,13.0,,5,9,,2,11,,65.9,75.7,,41.1,24.0,57.5,0.418,7.93,22.2,0.357,9.93,13.5,0.734,8.25,28.6,11.9,6.86,2.04,12.6,15.9
7,Alcorn State,33,14,19,0.424,-12.39,-8.36,,10.0,8.0,,7,3,,5,12,,69.1,73.1,,,24.9,58.8,0.424,5.21,16.4,0.317,14.0,20.9,0.67,13.1,36.3,13.8,8.18,3.52,18.5,19.7
8,American,30,16,14,0.533,-1.38,-5.85,,9.0,5.0,,11,1,,3,13,,66.4,61.9,,,23.2,53.5,0.433,8.77,23.1,0.38,11.3,16.5,0.681,10.0,33.0,14.1,6.4,1.7,13.1,18.2
9,Appalachian State,29,19,10,0.655,-1.92,-3.46,,11.0,5.0,,12,2,,6,7,,83.9,79.6,,40.7,29.1,65.0,0.448,7.14,22.1,0.323,18.6,26.0,0.716,13.6,39.2,15.8,10.3,4.62,16.4,18.5
10,Arizona NCAA,32,28,4,0.875,23.42,8.95,,17.0,1.0,,14,1,,11,1,,85.2,70.7,,40.6,30.4,66.0,0.461,7.13,20.2,0.353,17.2,24.3,0.709,15.0,42.9,17.8,8.56,4.25,14.6,17.5
11,Arizona State NCAA,32,20,12,0.625,15.02,9.27,,11.0,7.0,,12,3,,4,6,,77.0,70.5,,40.3,27.7,57.4,0.482,4.09,12.6,0.324,17.5,26.0,0.674,13.6,36.3,15.8,5.41,4.34,13.7,19.6
12,Arkansas,28,9,19,0.321,4.67,9.57,,4.0,12.0,,8,8,,1,9,,61.6,66.5,,40.0,21.8,55.6,0.393,6.07,19.6,0.31,11.9,19.6,0.609,14.5,38.0,9.82,6.46,3.54,16.7,21.0
13,Arkansas State,28,13,15,0.464,-0.05,-1.36,,6.0,8.0,,9,5,,3,9,,74.0,68.5,,40.2,24.6,55.3,0.444,8.61,21.8,0.394,16.3,21.9,0.743,11.1,31.7,12.7,7.64,1.68,13.2,21.3
14,Arkansas-Pine Bluff,28,4,24,0.143,-24.22,-4.54,,4.0,14.0,,2,8,,2,16,,54.5,74.2,,,19.3,54.2,0.355,4.75,16.9,0.282,11.3,17.6,0.64,9.96,31.0,10.1,7.93,2.68,19.0,20.1
15,Army,27,5,22,0.185,-19.72,-5.92,,0.0,14.0,,4,9,,1,12,,54.9,65.5,,40.0,20.0,47.8,0.418,6.07,16.7,0.363,8.89,13.0,0.682,7.81,29.9,11.9,6.04,1.74,17.1,18.9
16,Auburn NCAA,34,22,12,0.647,12.68,8.35,,8.0,8.0,,13,4,,4,5,,70.8,65.7,,,25.9,55.6,0.465,5.82,16.9,0.346,13.3,20.1,0.66,12.3,35.3,13.4,7.91,5.18,15.9,16.5
17,Austin Peay NCAA,31,23,8,0.742,-0.84,-1.98,,13.0,3.0,,14,0,,6,7,,71.1,67.8,,40.6,24.5,53.2,0.46,6.19,17.8,0.347,16.0,23.2,0.69,10.9,35.0,13.7,7.26,4.61,15.4,18.3
18,Ball State,30,13,17,0.433,-0.57,2.17,,8.0,10.0,,9,5,,2,12,,73.3,76.0,,,25.9,60.5,0.429,5.37,16.7,0.322,16.1,22.1,0.726,13.2,34.9,10.5,5.2,2.2,12.8,22.9
19,Baylor,28,14,14,0.5,6.05,5.44,,5.0,11.0,,10,6,,2,7,,69.0,68.4,,40.2,23.6,58.0,0.407,9.07,26.5,0.342,12.7,17.5,0.725,11.7,34.9,14.2,8.32,2.96,13.3,15.8
20,Belmont,29,17,12,0.586,-2.3,-4.05,,12.0,4.0,,8,3,,7,8,,72.7,70.0,,40.5,25.8,55.0,0.468,8.17,22.3,0.366,13.0,18.7,0.696,10.7,34.5,17.0,9.21,1.79,16.9,18.1
21,Bethune-Cookman,30,8,22,0.267,-19.13,-10.93,,5.0,13.0,,4,7,,3,14,,64.7,72.9,,40.3,23.1,55.9,0.413,5.7,15.9,0.358,12.8,18.5,0.693,12.3,32.7,11.0,8.27,1.8,15.9,19.4
22,Binghamton,27,14,13,0.519,-4.76,-5.13,,9.0,7.0,,9,2,,4,11,,66.6,66.2,,40.2,24.0,57.2,0.42,7.67,21.9,0.35,10.8,16.0,0.676,11.7,35.9,12.7,6.44,6.52,15.1,18.3
23,Birmingham-Southern,28,19,9,0.679,,,,,,,12,2,,7,7,,69.9,65.3,,,,,,,,,,,,,,,,,,
24,Boise State,29,13,16,0.448,-0.97,0.07,,7.0,11.0,,9,7,,4,8,,65.4,66.3,,40.7,23.0,56.1,0.41,5.14,17.7,0.291,14.3,20.6,0.698,11.1,33.0,11.6,6.45,3.76,14.2,19.3
25,Boston College,31,19,12,0.613,10.3,7.24,,10.0,6.0,,9,6,,9,3,,79.4,76.4,,,28.0,59.6,0.47,5.97,17.3,0.346,17.4,25.2,0.691,13.6,36.0,16.8,6.84,2.84,13.4,18.9
26,Boston University,31,20,11,0.645,1.1,-3.42,,13.0,3.0,,10,3,,8,8,,67.7,63.2,,40.3,23.5,54.8,0.428,6.58,19.4,0.339,14.2,19.1,0.742,10.9,35.5,13.5,5.68,3.45,13.4,20.2
27,Bowling Green State,29,13,16,0.448,-2.2,1.95,,8.0,10.0,,8,4,,4,10,,67.7,69.4,,40.2,21.7,49.2,0.441,6.38,17.4,0.366,17.9,24.3,0.737,9.1,31.3,13.0,7.93,2.62,16.6,22.1
28,Bradley,30,12,18,0.4,1.12,1.19,,8.0,10.0,,7,7,,3,10,,73.5,72.3,,,25.2,57.0,0.442,6.5,17.9,0.364,16.6,23.6,0.703,11.0,34.2,13.1,7.7,1.63,14.2,20.5
29,Brigham Young NCAA,32,23,9,0.719,13.64,5.29,,11.0,3.0,,13,1,,6,5,,71.8,63.5,,40.2,23.9,51.7,0.463,6.06,16.2,0.375,18.0,23.8,0.755,11.0,35.4,13.4,6.94,2.56,13.6,21.5
30,Brown,29,17,12,0.586,-2.33,-3.6,,12.0,2.0,,7,3,,10,7,,73.9,72.7,,40.3,24.7,53.4,0.461,6.45,17.7,0.365,18.2,24.4,0.744,9.66,32.7,14.5,7.72,3.66,15.6,17.7
31,Bucknell,29,14,15,0.483,-6.61,-4.97,,7.0,7.0,,7,4,,4,9,,58.2,58.8,,40.0,19.2,47.4,0.406,5.9,17.3,0.341,13.8,21.8,0.633,9.97,32.1,11.9,6.14,2.31,16.0,17.6
32,Buffalo,28,5,23,0.179,-7.96,-0.56,,2.0,16.0,,5,8,,0,15,,64.8,72.2,,40.0,23.3,57.9,0.402,5.39,18.5,0.292,12.9,19.1,0.672,13.6,36.2,12.6,6.43,2.07,14.5,22.8
33,Butler NCAA,33,27,6,0.818,9.11,2.24,,14.0,2.0,,13,0,,10,5,,67.5,60.2,,40.6,23.8,50.2,0.475,8.3,21.2,0.392,11.6,16.2,0.719,7.91,28.0,12.7,6.27,1.79,10.7,16.0
34,Cal Poly,30,16,14,0.533,-2.37,-1.51,,10.0,8.0,,7,6,,6,6,,68.2,68.6,,,23.9,55.9,0.427,6.33,20.0,0.317,14.1,19.7,0.716,11.7,35.1,12.5,7.0,4.07,16.0,19.6
35,Cal State Fullerton,29,10,19,0.345,-6.72,-2.99,,8.0,10.0,,6,6,,4,10,,62.9,66.7,,,22.8,51.8,0.439,4.76,13.8,0.346,12.7,19.5,0.648,12.3,31.4,11.7,5.93,1.52,13.2,18.0
36,Cal State Northridge,29,14,15,0.483,-2.27,-2.2,,8.0,10.0,,9,4,,4,10,,71.5,69.3,,40.9,25.2,55.9,0.45,6.17,17.6,0.352,15.0,21.3,0.703,13.2,35.2,13.4,9.14,1.93,16.9,22.6
37,California NCAA,31,22,9,0.71,11.78,7.58,,13.0,5.0,,13,1,,7,4,,74.2,70.0,,,27.3,58.7,0.466,6.39,17.1,0.374,13.2,19.4,0.681,11.3,35.3,15.7,6.55,2.81,14.0,17.2
38,Campbell,27,5,22,0.185,-19.8,-6.51,,1.0,15.0,,5,8,,0,13,,65.0,77.7,,,23.0,52.4,0.438,6.37,18.3,0.349,12.7,18.2,0.699,7.93,27.7,14.6,6.37,2.74,15.9,16.6
