Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,69.3,71.5,40.7,24.4,53.7,0.455,7.24,20.0,0.361,15.4,23.1,0.666,10.1,35.1,13.6,6.14,3.03,14.7,17.3
2,Air Force,33,12,21,0.364,-3.06,1.0,4,14,11,7,0,11,73.1,75.1,40.5,26.1,57.1,0.457,9.7,26.7,0.364,13.2,18.6,0.71,8.33,34.4,15.6,6.03,3.42,12.3,20.7
3,Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,77.0,70.8,40.0,25.4,57.2,0.444,6.92,19.0,0.365,13.2,18.7,0.706,9.64,33.0,11.4,5.83,2.0,11.5,18.6
4,Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,68.5,64.7,40.6,22.0,54.4,0.405,6.15,18.5,0.333,14.6,21.7,0.671,9.68,33.5,9.56,6.32,2.94,13.5,19.5
5,Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,61.9,77.8,40.5,28.3,59.4,0.476,7.38,20.3,0.364,13.8,20.2,0.681,12.3,36.4,14.1,6.86,3.45,9.24,18.3
6,Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,65.9,74.4,40.6,25.7,58.0,0.444,6.32,18.5,0.343,16.5,24.4,0.679,11.7,37.7,12.6,7.42,3.0,12.7,18.3
7,Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,71.3,65.7,40.0,23.1,53.5,0.431,7.89,23.1,0.341,11.7,16.5,0.708,7.49,28.8,12.6,5.63,4.11,11.4,18.0
8,Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,69.4,68.0,40.2,24.0,57.4,0.418,5.66,18.5,0.306,14.3,22.1,0.648,11.6,36.7,13.3,6.88,2.56,13.1,17.3
9,American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,61.5,68.3,40.2,23.9,50.9,0.469,5.73,15.6,0.368,14.8,21.1,0.704,8.6,33.2,12.8,6.6,2.8,13.2,16.4
10,Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,73.6,76.0,40.2,26.3,57.3,0.459,6.47,17.2,0.376,17.0,24.7,0.686,9.47,36.6,13.1,6.0,3.5,12.7,20.7
11,Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,76.6,65.9,40.0,24.1,57.3,0.421,6.46,20.9,0.31,11.2,16.4,0.684,9.16,29.9,12.9,4.73,2.95,11.7,19.7
