Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,8,18,0.308,-6.61,2.39,,3.0,15.0,,7,8,,1,9,,69.7,74.0,,,23.6,57.3,0.412,5.46,16.2,0.338,17.1,24.2,0.706,,34.2,10.8,6.46,4.27,12.7,19.6
2,Akron,26,8,18,0.308,-8.15,-2.23,,2.0,16.0,,7,8,,1,10,,61.6,66.4,,40.2,22.8,56.9,0.401,4.0,13.5,0.295,12.0,19.2,0.622,,33.2,12.9,8.19,1.65,16.2,21.4
3,Alabama NCAA,30,20,10,0.667,10.28,6.15,,12.0,4.0,,13,1,,4,6,,73.6,69.5,,40.0,26.2,58.7,0.447,5.27,15.6,0.338,15.9,24.1,0.658,,39.6,13.1,7.93,5.17,16.9,19.4
4,Alabama State,29,19,10,0.655,-8.28,-12.04,,10.0,4.0,,10,2,,6,6,,84.3,80.3,,,31.2,66.8,0.467,3.66,10.7,0.342,18.2,27.3,0.666,,43.5,13.7,7.62,2.45,15.0,18.0
5,Alcorn State,27,3,24,0.111,-24.72,-8.76,,3.0,11.0,,3,8,,0,14,,74.6,89.3,,,27.9,66.6,0.42,5.96,16.2,0.368,12.8,20.0,0.641,,34.6,10.8,7.7,1.78,17.1,19.4
6,American,27,8,19,0.296,-9.64,-2.23,,5.0,9.0,,6,5,,1,11,,75.9,83.3,,40.4,27.3,65.1,0.42,5.67,15.6,0.363,15.6,23.7,0.655,,38.0,14.3,8.26,2.81,15.4,19.6
7,Appalachian State,27,16,11,0.593,-2.42,-2.69,,12.0,6.0,,12,1,,4,9,,76.7,76.1,,40.0,27.7,59.2,0.468,6.11,16.5,0.37,15.1,22.6,0.672,,34.0,14.3,6.67,4.44,14.1,17.4
8,Arizona NCAA,35,29,6,0.829,23.76,8.9,,14.0,4.0,,14,2,,8,2,,89.3,74.4,,40.1,31.7,65.4,0.484,7.97,22.5,0.355,18.0,25.3,0.712,,41.5,16.6,8.14,2.91,13.7,18.2
9,Arizona State,28,15,13,0.536,9.61,7.86,,10.0,8.0,,11,4,,4,6,,77.1,75.3,,40.4,27.1,61.8,0.439,7.43,22.4,0.331,15.4,23.5,0.656,,36.4,13.8,8.5,2.89,15.1,18.9
10,Arkansas NCAA,34,31,3,0.912,23.97,7.64,,14.0,2.0,,16,0,,7,2,,93.4,75.6,,40.3,33.9,69.5,0.488,8.85,22.9,0.387,16.7,24.5,0.68,,41.6,20.2,10.4,3.79,15.9,20.8
