region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Virginia,1,70,Coastal Carolina,16,59,Virginia
East,First Round,Memphis,8,71,George Washington,9,66,Memphis
East,First Round,Cincinnati,5,57,Harvard,12,61,Harvard
East,First Round,Michigan State,4,93,Delaware,13,78,Michigan State
East,First Round,UNC,6,79,Providence,11,77,UNC
East,First Round,Iowa State,3,93,North Carolina Central,14,75,Iowa State
East,First Round,UConn,7,89,St. Joseph's,10,81,UConn
East,First Round,Villanova,2,73,Milwaukee,15,53,Villanova
East,Second Round,Virginia,1,78,Memphis,8,60,Virginia
East,Second Round,Harvard,12,73,Michigan State,4,80,Michigan State
East,Second Round,UNC,6,83,Iowa State,3,85,Iowa State
East,Second Round,UConn,7,77,Villanova,2,65,UConn
East,Sweet Sixteen,Virginia,1,59,Michigan State,4,61,Michigan State
East,Sweet Sixteen,Iowa State,3,76,UConn,7,81,UConn
East,Elite Eight,Michigan State,4,54,UConn,7,60,UConn
Midwest,First Round,Wichita State,1,64,Cal Poly,16,37,Wichita State
Midwest,First Round,Kentucky,8,56,Kansas State,9,49,Kentucky
Midwest,First Round,Saint Louis,5,83,NC State,12,80,Saint Louis
Midwest,First Round,Louisville,4,71,Manhattan,13,64,Louisville
Midwest,First Round,UMass,6,67,Tennessee,11,86,Tennessee
Midwest,First Round,Duke,3,71,Mercer,14,78,Mercer
Midwest,First Round,Texas,7,87,Arizona State,10,85,Texas
Midwest,First Round,Michigan,2,57,Wofford,15,40,Michigan
Midwest,Second Round,Wichita State,1,76,Kentucky,8,78,Kentucky
Midwest,Second Round,Saint Louis,5,51,Louisville,4,66,Louisville
Midwest,Second Round,Tennessee,11,83,Mercer,14,63,Tennessee
Midwest,Second Round,Texas,7,65,Michigan,2,79,Michigan
Midwest,Sweet Sixteen,Kentucky,8,74,Louisville,4,69,Kentucky
Midwest,Sweet Sixteen,Tennessee,11,71,Michigan,2,73,Michigan
Midwest,Elite Eight,Kentucky,8,75,Michigan,2,72,Kentucky
South,First Round,Florida,1,67,Albany (NY),16,55,Florida
South,First Round,Colorado,8,48,Pitt,9,77,Pitt
South,First Round,VCU,5,75,Stephen F. Austin,12,77,Stephen F. Austin
South,First Round,UCLA,4,76,Tulsa,13,59,UCLA
South,First Round,Ohio State,6,59,Dayton,11,60,Dayton
South,First Round,Syracuse,3,77,Western Michigan,14,53,Syracuse
South,First Round,New Mexico,7,53,Stanford,10,58,Stanford
South,First Round,Kansas,2,80,Eastern Kentucky,15,69,Kansas
South,Second Round,Florida,1,61,Pitt,9,45,Florida
South,Second Round,Stephen F. Austin,12,60,UCLA,4,77,UCLA
South,Second Round,Dayton,11,55,Syracuse,3,53,Dayton
South,Second Round,Stanford,10,60,Kansas,2,57,Stanford
South,Sweet Sixteen,Florida,1,79,UCLA,4,68,Florida
South,Sweet Sixteen,Dayton,11,82,Stanford,10,72,Dayton
South,Elite Eight,Florida,1,62,Dayton,11,52,Florida
West,First Round,Arizona,1,68,Weber State,16,59,Arizona
West,First Round,Gonzaga,8,85,Oklahoma State,9,77,Gonzaga
West,First Round,Oklahoma,5,75,North Dakota State,12,80,North Dakota State
West,First Round,San Diego State,4,73,New Mexico State,13,69,San Diego State
West,First Round,Baylor,6,74,Nebraska,11,60,Baylor
West,First Round,Creighton,3,76,Louisiana,14,66,Creighton
West,First Round,Oregon,7,87,BYU,10,68,Oregon
West,First Round,Wisconsin,2,75,American,15,35,Wisconsin
West,Second Round,Arizona,1,84,Gonzaga,8,61,Arizona
West,Second Round,North Dakota State,12,44,San Diego State,4,63,San Diego State
West,Second Round,Baylor,6,85,Creighton,3,55,Baylor
West,Second Round,Oregon,7,77,Wisconsin,2,85,Wisconsin
West,Sweet Sixteen,Arizona,1,70,San Diego State,4,64,Arizona
West,Sweet Sixteen,Baylor,6,52,Wisconsin,2,69,Wisconsin
West,Elite Eight,Arizona,1,63,Wisconsin,2,64,Wisconsin
National,Final Four,UConn,7,63,Florida,1,53,UConn
National,Final Four,Wisconsin,2,73,Kentucky,8,74,Kentucky
National,Championship,UConn,7,60,Kentucky,8,54,UConn
