region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,UNC,1,83,Florida Gulf Coast,16,67,UNC
East,First Round,USC,8,69,Providence,9,70,Providence
East,First Round,Indiana,5,99,Chattanooga,12,74,Indiana
East,First Round,Kentucky,4,85,Stony Brook,13,57,Kentucky
East,First Round,Notre Dame,6,70,Michigan,11,63,Notre Dame
East,First Round,West Virginia,3,56,Stephen F. Austin,14,70,Stephen F. Austin
East,First Round,Wisconsin,7,47,Pitt,10,43,Wisconsin
East,First Round,Xavier,2,71,Weber State,15,53,Xavier
East,Second Round,UNC,1,85,Providence,9,66,UNC
East,Second Round,Indiana,5,73,Kentucky,4,67,Indiana
East,Second Round,Notre Dame,6,76,Stephen F. Austin,14,75,Notre Dame
East,Second Round,Wisconsin,7,66,Xavier,2,63,Wisconsin
East,Sweet Sixteen,UNC,1,101,Indiana,5,86,UNC
East,Sweet Sixteen,Notre Dame,6,61,Wisconsin,7,56,Notre Dame
East,Elite Eight,UNC,1,88,Notre Dame,6,74,UNC
Midwest,First Round,Virginia,1,81,Hampton,16,45,Virginia
Midwest,First Round,Texas Tech,8,61,Butler,9,71,Butler
Midwest,First Round,Purdue,5,83,Little Rock,12,85,Little Rock
Midwest,First Round,Iowa State,4,94,Iona,13,81,Iowa State
Midwest,First Round,Seton Hall,6,52,Gonzaga,11,68,Gonzaga
Midwest,First Round,Utah,3,80,Fresno State,14,69,Utah
Midwest,First Round,Dayton,7,51,Syracuse,10,70,Syracuse
Midwest,First Round,Michigan State,2,81,Middle Tennessee,15,90,Middle Tennessee
Midwest,Second Round,Virginia,1,77,Butler,9,69,Virginia
Midwest,Second Round,Little Rock,12,61,Iowa State,4,78,Iowa State
Midwest,Second Round,Gonzaga,11,82,Utah,3,59,Gonzaga
Midwest,Second Round,Syracuse,10,75,Middle Tennessee,15,50,Syracuse
Midwest,Sweet Sixteen,Virginia,1,84,Iowa State,4,71,Virginia
Midwest,Sweet Sixteen,Gonzaga,11,60,Syracuse,10,63,Syracuse
Midwest,Elite Eight,Virginia,1,62,Syracuse,10,68,Syracuse
South,First Round,Kansas,1,105,Austin Peay,16,79,Kansas
South,First Round,Colorado,8,67,UConn,9,74,UConn
South,First Round,Maryland,5,79,South Dakota State,12,74,Maryland
South,First Round,California,4,66,Hawaii,13,77,Hawaii
South,First Round,Arizona,6,55,Wichita State,11,65,Wichita State
South,First Round,Miami (FL),3,79,Buffalo,14,72,Miami (FL)
South,First Round,Iowa,7,72,Temple,10,70,Iowa
South,First Round,Villanova,2,86,UNC Asheville,15,56,Villanova
South,Second Round,Kansas,1,73,UConn,9,61,Kansas
South,Second Round,Maryland,5,73,Hawaii,13,60,Maryland
South,Second Round,Wichita State,11,57,Miami (FL),3,65,Miami (FL)
South,Second Round,Iowa,7,68,Villanova,2,87,Villanova
South,Sweet Sixteen,Kansas,1,79,Maryland,5,63,Kansas
South,Sweet Sixteen,Miami (FL),3,69,Villanova,2,92,Villanova
South,Elite Eight,Kansas,1,59,Villanova,2,64,Villanova
West,First Round,Oregon,1,91,Holy Cross,16,52,Oregon
West,First Round,St. Joseph's,8,78,Cincinnati,9,76,St. Joseph's
West,First Round,Baylor,5,75,Yale,12,79,Yale
West,First Round,Duke,4,93,UNC Wilmington,13,85,Duke
West,First Round,Texas,6,72,Northern Iowa,11,75,Northern Iowa
West,First Round,Texas A&M,3,92,Green Bay,14,65,Texas A&M
West,First Round,Oregon State,7,67,VCU,10,75,VCU
West,First Round,Oklahoma,2,82,Cal State Bakersfield,15,68,Oklahoma
West,Second Round,Oregon,1,69,St. Joseph's,8,64,Oregon
West,Second Round,Yale,12,64,Duke,4,71,Duke
West,Second Round,Northern Iowa,11,88,Texas A&M,3,92,Texas A&M
West,Second Round,VCU,10,81,Oklahoma,2,85,Oklahoma
West,Sweet Sixteen,Oregon,1,82,Duke,4,68,Oregon
West,Sweet Sixteen,Texas A&M,3,63,Oklahoma,2,77,Oklahoma
West,Elite Eight,Oregon,1,68,Oklahoma,2,80,Oklahoma
National,Final Four,Villanova,2,95,Oklahoma,2,51,Villanova
National,Final Four,Syracuse,10,66,UNC,1,83,UNC
National,Championship,Villanova,2,77,UNC,1,74,Villanova
