region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Wake Forest,1,79,North Carolina A&T,16,47,Wake Forest
East,First Round,Minnesota,8,61,Saint Louis,9,64,Saint Louis
East,First Round,Alabama,5,91,Penn,12,85,Alabama
East,First Round,Oklahoma State,4,73,Drexel,13,49,Oklahoma State
East,First Round,Tulsa,6,68,Illinois,11,62,Tulsa
East,First Round,Villanova,3,81,Old Dominion,14,89,Old Dominion
East,First Round,Charlotte,7,68,Stanford,10,70,Stanford
East,First Round,UMass,2,68,St. Peter's,15,51,UMass
East,Second Round,Wake Forest,1,64,Saint Louis,9,59,Wake Forest
East,Second Round,Alabama,5,52,Oklahoma State,4,66,Oklahoma State
East,Second Round,Tulsa,6,64,Old Dominion,14,52,Tulsa
East,Second Round,Stanford,10,53,UMass,2,75,UMass
East,Sweet Sixteen,Wake Forest,1,66,Oklahoma State,4,71,Oklahoma State
East,Sweet Sixteen,Tulsa,6,51,UMass,2,76,UMass
East,Elite Eight,Oklahoma State,4,68,UMass,2,54,Oklahoma State
Midwest,First Round,Kansas,1,82,Colgate,16,68,Kansas
Midwest,First Round,Western Kentucky,8,82,Michigan,9,76,Western Kentucky
Midwest,First Round,Arizona,5,62,Miami (OH),12,71,Miami (OH)
Midwest,First Round,Virginia,4,96,Nicholls State,13,72,Virginia
Midwest,First Round,Memphis,6,77,Louisville,11,56,Memphis
Midwest,First Round,Purdue,3,49,Green Bay,14,48,Purdue
Midwest,First Round,Syracuse,7,96,Southern Illinois,10,92,Syracuse
Midwest,First Round,Arkansas,2,79,Texas Southern,15,78,Arkansas
Midwest,Second Round,Kansas,1,75,Western Kentucky,8,70,Kansas
Midwest,Second Round,Miami (OH),12,54,Virginia,4,60,Virginia
Midwest,Second Round,Memphis,6,75,Purdue,3,73,Memphis
Midwest,Second Round,Syracuse,7,94,Arkansas,2,96,Arkansas
Midwest,Sweet Sixteen,Kansas,1,58,Virginia,4,67,Virginia
Midwest,Sweet Sixteen,Memphis,6,91,Arkansas,2,96,Arkansas
Midwest,Elite Eight,Virginia,4,61,Arkansas,2,68,Arkansas
West,First Round,UCLA,1,92,Florida International,16,56,UCLA
West,First Round,Missouri,8,65,Indiana,9,60,Missouri
West,First Round,Mississippi State,5,75,Santa Clara,12,67,Mississippi State
West,First Round,Utah,4,76,Long Beach State,13,64,Utah
West,First Round,Oregon,6,73,Texas,11,90,Texas
West,First Round,Maryland,3,87,Gonzaga,14,63,Maryland
West,First Round,Cincinnati,7,77,Temple,10,71,Cincinnati
West,First Round,UConn,2,100,Chattanooga,15,71,UConn
West,Second Round,UCLA,1,75,Missouri,8,74,UCLA
West,Second Round,Mississippi State,5,78,Utah,4,64,Mississippi State
West,Second Round,Texas,11,68,Maryland,3,82,Maryland
West,Second Round,Cincinnati,7,91,UConn,2,96,UConn
West,Sweet Sixteen,UCLA,1,86,Mississippi State,5,67,UCLA
West,Sweet Sixteen,Maryland,3,89,UConn,2,99,UConn
West,Elite Eight,UCLA,1,102,UConn,2,96,UCLA
National,Final Four,UCLA,1,74,Oklahoma State,4,61,UCLA
National,Final Four,UNC,2,68,Arkansas,2,75,Arkansas
National,Championship,UCLA,1,89,Arkansas,2,78,UCLA
