region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Indiana,1,83,James Madison,16,62,Indiana
East,First Round,NC State,8,72,Temple,9,76,Temple
East,First Round,UNLV,5,61,California,12,64,California
East,First Round,Syracuse,4,81,Montana,13,34,Syracuse
East,First Round,Butler,6,68,Bucknell,11,56,Butler
East,First Round,Marquette,3,59,Davidson,14,58,Marquette
East,First Round,Illinois,7,57,Colorado,10,49,Illinois
East,First Round,Miami (FL),2,78,Pacific,15,49,Miami (FL)
East,Second Round,Indiana,1,58,Temple,9,52,Indiana
East,Second Round,California,12,60,Syracuse,4,66,Syracuse
East,Second Round,Butler,6,72,Marquette,3,74,Marquette
East,Second Round,Illinois,7,59,Miami (FL),2,63,Miami (FL)
East,Sweet Sixteen,Indiana,1,50,Syracuse,4,61,Syracuse
East,Sweet Sixteen,Marquette,3,71,Miami (FL),2,61,Marquette
East,Elite Eight,Syracuse,4,55,Marquette,3,39,Syracuse
Midwest,First Round,Louisville,1,79,North Carolina A&T,16,48,Louisville
Midwest,First Round,Colorado State,8,84,Missouri,9,72,Colorado State
Midwest,First Round,Oklahoma State,5,55,Oregon,12,68,Oregon
Midwest,First Round,Saint Louis,4,64,New Mexico State,13,44,Saint Louis
Midwest,First Round,Memphis,6,54,Saint Mary's,11,52,Memphis
Midwest,First Round,Michigan State,3,65,Valparaiso,14,54,Michigan State
Midwest,First Round,Creighton,7,67,Cincinnati,10,63,Creighton
Midwest,First Round,Duke,2,73,Albany (NY),15,61,Duke
Midwest,Second Round,Louisville,1,82,Colorado State,8,56,Louisville
Midwest,Second Round,Oregon,12,74,Saint Louis,4,57,Oregon
Midwest,Second Round,Memphis,6,48,Michigan State,3,70,Michigan State
Midwest,Second Round,Creighton,7,50,Duke,2,66,Duke
Midwest,Sweet Sixteen,Louisville,1,77,Oregon,12,69,Louisville
Midwest,Sweet Sixteen,Michigan State,3,61,Duke,2,71,Duke
Midwest,Elite Eight,Louisville,1,85,Duke,2,63,Louisville
South,First Round,Kansas,1,64,Western Kentucky,16,57,Kansas
South,First Round,UNC,8,78,Villanova,9,71,UNC
South,First Round,VCU,5,88,Akron,12,42,VCU
South,First Round,Michigan,4,71,South Dakota State,13,56,Michigan
South,First Round,UCLA,6,63,Minnesota,11,83,Minnesota
South,First Round,Florida,3,79,Northwestern State,14,47,Florida
South,First Round,San Diego State,7,70,Oklahoma,10,55,San Diego State
South,First Round,Georgetown,2,68,Florida Gulf Coast,15,78,Florida Gulf Coast
South,Second Round,Kansas,1,70,UNC,8,58,Kansas
South,Second Round,VCU,5,53,Michigan,4,78,Michigan
South,Second Round,Minnesota,11,64,Florida,3,78,Florida
South,Second Round,San Diego State,7,71,Florida Gulf Coast,15,81,Florida Gulf Coast
South,Sweet Sixteen,Kansas,1,85,Michigan,4,87,Michigan
South,Sweet Sixteen,Florida,3,62,Florida Gulf Coast,15,50,Florida
South,Elite Eight,Michigan,4,79,Florida,3,59,Michigan
West,First Round,Gonzaga,1,64,Southern,16,58,Gonzaga
West,First Round,Pitt,8,55,Wichita State,9,73,Wichita State
West,First Round,Wisconsin,5,46,Ole Miss,12,57,Ole Miss
West,First Round,Kansas State,4,61,La Salle,13,63,La Salle
West,First Round,Arizona,6,81,Belmont,11,64,Arizona
West,First Round,New Mexico,3,62,Harvard,14,68,Harvard
West,First Round,Notre Dame,7,58,Iowa State,10,76,Iowa State
West,First Round,Ohio State,2,95,Iona,15,70,Ohio State
West,Second Round,Gonzaga,1,70,Wichita State,9,76,Wichita State
West,Second Round,Ole Miss,12,74,La Salle,13,76,La Salle
West,Second Round,Arizona,6,74,Harvard,14,51,Arizona
West,Second Round,Iowa State,10,75,Ohio State,2,78,Ohio State
West,Sweet Sixteen,Wichita State,9,72,La Salle,13,58,Wichita State
West,Sweet Sixteen,Arizona,6,70,Ohio State,2,73,Ohio State
West,Elite Eight,Wichita State,9,70,Ohio State,2,66,Wichita State
National,Final Four,Louisville,1,72,Wichita State,9,68,Louisville
National,Final Four,Syracuse,4,56,Michigan,4,61,Michigan
National,Championship,Louisville,1,82,Michigan,4,76,Louisville
