region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,Villanova,1,76,Mount St. Mary's,16,56,Villanova
East,First Round,Wisconsin,8,84,Virginia Tech,9,74,Wisconsin
East,First Round,Virginia,5,76,UNC Wilmington,12,71,Virginia
East,First Round,Florida,4,80,ETSU,13,65,Florida
East,First Round,SMU,6,65,USC,11,66,USC
East,First Round,Baylor,3,91,New Mexico State,14,73,Baylor
East,First Round,South Carolina,7,93,Marquette,10,73,South Carolina
East,First Round,Duke,2,87,Troy,15,65,Duke
East,Second Round,Villanova,1,62,Wisconsin,8,65,Wisconsin
East,Second Round,Virginia,5,39,Florida,4,65,Florida
East,Second Round,USC,11,78,Baylor,3,82,Baylor
East,Second Round,South Carolina,7,88,Duke,2,81,South Carolina
East,Sweet Sixteen,Wisconsin,8,83,Florida,4,84,Florida
East,Sweet Sixteen,Baylor,3,50,South Carolina,7,70,South Carolina
East,Elite Eight,Florida,4,70,South Carolina,7,77,South Carolina
Midwest,First Round,Kansas,1,100,UC-Davis,16,62,Kansas
Midwest,First Round,Miami (FL),8,58,Michigan State,9,78,Michigan State
Midwest,First Round,Iowa State,5,84,Nevada,12,73,Iowa State
Midwest,First Round,Purdue,4,80,Vermont,13,70,Purdue
Midwest,First Round,Creighton,6,72,Rhode Island,11,84,Rhode Island
Midwest,First Round,Oregon,3,93,Iona,14,77,Oregon
Midwest,First Round,Michigan,7,92,Oklahoma State,10,91,Michigan
Midwest,First Round,Louisville,2,78,Jacksonville State,15,63,Louisville
Midwest,Second Round,Kansas,1,90,Michigan State,9,70,Kansas
Midwest,Second Round,Iowa State,5,76,Purdue,4,80,Purdue
Midwest,Second Round,Rhode Island,11,72,Oregon,3,75,Oregon
Midwest,Second Round,Michigan,7,73,Louisville,2,69,Michigan
Midwest,Sweet Sixteen,Kansas,1,98,Purdue,4,66,Kansas
Midwest,Sweet Sixteen,Oregon,3,69,Michigan,7,68,Oregon
Midwest,Elite Eight,Kansas,1,60,Oregon,3,74,Oregon
South,First Round,UNC,1,103,Texas Southern,16,64,UNC
South,First Round,Arkansas,8,77,Seton Hall,9,71,Arkansas
South,First Round,Minnesota,5,72,Middle Tennessee,12,81,Middle Tennessee
South,First Round,Butler,4,76,Winthrop,13,64,Butler
South,First Round,Cincinnati,6,75,Kansas State,11,61,Cincinnati
South,First Round,UCLA,3,97,Kent State,14,80,UCLA
South,First Round,Dayton,7,58,Wichita State,10,64,Wichita State
South,First Round,Kentucky,2,79,Northern Kentucky,15,70,Kentucky
South,Second Round,UNC,1,72,Arkansas,8,65,UNC
South,Second Round,Middle Tennessee,12,65,Butler,4,74,Butler
South,Second Round,Cincinnati,6,67,UCLA,3,79,UCLA
South,Second Round,Wichita State,10,62,Kentucky,2,65,Kentucky
South,Sweet Sixteen,UNC,1,92,Butler,4,80,UNC
South,Sweet Sixteen,UCLA,3,75,Kentucky,2,86,Kentucky
South,Elite Eight,UNC,1,75,Kentucky,2,73,UNC
West,First Round,Gonzaga,1,66,South Dakota State,16,46,Gonzaga
West,First Round,Northwestern,8,68,Vanderbilt,9,66,Northwestern
West,First Round,Notre Dame,5,60,Princeton,12,58,Notre Dame
West,First Round,West Virginia,4,86,Bucknell,13,80,West Virginia
West,First Round,Maryland,6,65,Xavier,11,76,Xavier
West,First Round,Florida State,3,86,Florida Gulf Coast,14,80,Florida State
West,First Round,Saint Mary's,7,85,VCU,10,77,Saint Mary's
West,First Round,Arizona,2,100,North Dakota,15,82,Arizona
West,Second Round,Gonzaga,1,79,Northwestern,8,73,Gonzaga
West,Second Round,Notre Dame,5,71,West Virginia,4,83,West Virginia
West,Second Round,Xavier,11,91,Florida State,3,66,Xavier
West,Second Round,Saint Mary's,7,60,Arizona,2,69,Arizona
West,Sweet Sixteen,Gonzaga,1,61,West Virginia,4,58,Gonzaga
West,Sweet Sixteen,Xavier,11,73,Arizona,2,71,Xavier
West,Elite Eight,Gonzaga,1,83,Xavier,11,59,Gonzaga
National,Final Four,Oregon,3,76,UNC,1,77,UNC
National,Final Four,South Carolina,7,73,Gonzaga,1,77,Gonzaga
National,Championship,UNC,1,71,Gonzaga,1,65,UNC
