Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
62,Louisiana Tech,Southland,,22,8,71.8,66.0,5.80,,3.06,,0.05,6.97,7.02,,,
63,Boise State,Big Sky,,22,8,73.2,62.4,10.80,,-1.81,,-2.12,9.12,7.01,,,
64,UC Santa Barbara,PCAA,,16,13,73.8,68.9,4.83,,3.23,,2.40,4.33,6.73,,,
65,California,Pac-10,,20,15,70.1,68.6,1.43,,5.68,,1.18,5.43,6.62,,,
66,Iowa State,Big 8,,13,15,75.4,72.9,2.57,,5.67,,4.70,1.89,6.59,,,
67,Utah,WAC,,17,13,69.9,65.5,4.40,,2.68,,-1.79,8.36,6.57,,,
68,San Jose State,PCAA,,16,14,67.2,65.9,1.23,,5.08,,-1.98,8.55,6.56,,,
69,Wake Forest,ACC,,14,15,68.9,68.1,0.83,,5.66,,-1.93,8.42,6.49,,,
70,Texas Tech,SWC,,15,14,64.3,64.0,0.28,,7.15,,-3.77,10.03,6.26,,,
71,Seton Hall,Big East,,15,14,77.6,74.9,2.72,,4.21,,6.78,-0.57,6.21,,,
72,Michigan State,Big Ten,,11,17,75.2,77.0,-1.75,,7.95,,4.51,1.69,6.20,,,
73,La Salle,MAAC,,20,13,76.0,70.0,5.94,,0.21,,3.84,2.30,6.15,,,
74,Central Michigan,MAC,,22,8,74.5,65.7,8.80,,0.25,,1.00,5.13,6.14,,,
75,Marquette,Ind,,16,13,72.9,69.2,3.69,,2.40,,1.87,4.22,6.09,,,
76,Cleveland State,Mid-Cont,,25,8,83.5,72.5,11.03,,-2.98,,9.38,-3.51,5.86,,,
77,Illinois State,MVC,,19,13,70.5,68.0,2.50,,2.80,,0.67,4.94,5.61,,,
78,Saint Louis,MW Coll,,25,10,72.5,64.0,8.49,,-1.27,,-0.91,6.43,5.52,,,
79,New Mexico,WAC,,25,10,80.8,76.5,4.26,,1.24,,9.86,-4.39,5.47,,,
80,Texas A&M,SWC,,17,14,67.0,65.0,1.94,,3.35,,-1.54,6.89,5.35,,,
81,Wisconsin,Big Ten,,14,17,70.7,71.4,-0.65,,8.27,,-0.57,5.56,4.98,,,
82,Baylor,SWC,,18,13,68.3,66.5,1.74,,4.47,,-1.48,6.40,4.92,,,
83,South Carolina,Metro,,15,14,67.0,66.3,0.69,,4.97,,-6.17,10.95,4.78,,,
84,Drake,MVC,,17,14,66.6,63.5,3.10,,2.97,,-6.70,11.46,4.76,,,
85,New Mexico State,PCAA,,15,15,69.3,68.4,0.90,,4.56,,-3.45,8.20,4.74,,,
86,UAB,Sun Belt,,21,11,75.8,72.6,3.22,,4.20,,3.77,0.86,4.63,,,
87,Maryland,ACC,,9,17,71.7,73.3,-1.54,,6.14,,2.23,2.37,4.60,,,
88,Oregon,Pac-10,,16,14,66.5,66.7,-0.23,,5.11,,-2.28,6.87,4.59,,,
89,Arizona State,Pac-10,,11,17,72.0,73.0,-1.04,,5.61,,3.77,0.81,4.58,,,
90,Arkansas State,Southland,,21,13,68.7,62.0,6.76,,1.20,,-4.80,9.13,4.33,,,
91,Niagara,ECACN,,21,10,85.7,76.6,9.13,,-4.42,,11.35,-7.07,4.28,,,
92,Northeastern,ECACN,,27,7,83.6,74.8,8.74,,-2.22,,8.36,-4.36,4.01,,,
93,Stanford,Pac-10,,15,13,71.5,71.5,-0.04,,4.85,,3.40,0.59,3.99,,,
94,Rhode Island,A-10,,20,10,80.7,73.8,6.97,,0.79,,7.11,-3.17,3.94,,,
95,Gonzaga,WCAC,,18,10,73.5,65.9,7.68,,-1.31,,0.70,3.17,3.86,,,
96,Middle Tennessee,OVC,,22,7,85.8,77.4,8.31,,-2.45,,8.53,-4.86,3.67,,,
97,UC Irvine,PCAA,,14,14,86.6,87.7,-1.04,,4.69,,17.68,-14.02,3.65,,,
98,UNC Wilmington,CAA,,18,12,68.9,64.3,4.67,,-1.31,,-3.23,6.85,3.62,,,
99,Loyola (IL),MW Coll,,16,13,80.7,78.8,1.83,,1.52,,8.95,-5.60,3.35,,,
100,Montana State,Big Sky,,21,8,86.2,79.5,6.76,,-1.81,,13.25,-10.14,3.11,,,
101,Saint Joseph's,A-10,,16,13,76.9,76.3,0.59,,2.49,,6.07,-3.00,3.07,,,
102,Penn State,A-10,,15,12,71.9,67.6,4.30,,-0.29,,-1.72,4.75,3.03,,,
103,Nebraska,Big 8,,21,12,74.9,74.4,0.55,,4.79,,2.41,0.51,2.92,,,
104,Santa Clara,WCAC,,18,14,68.8,66.0,2.81,,1.86,,-2.40,5.29,2.90,,,
105,Charlotte,Sun Belt,,18,14,76.1,71.4,4.72,,2.62,,3.65,-0.78,2.87,,,
106,Marshall,Southern,,25,6,80.5,72.8,7.61,,-4.96,,5.96,-3.31,2.65,,,
107,Austin Peay,OVC,,20,12,80.3,76.6,3.69,,0.51,,4.01,-1.42,2.58,,,
108,Virginia Commonwealth,Sun Belt,,17,14,70.8,69.7,1.13,,1.28,,-0.79,3.36,2.57,,,
109,Akron,OVC,,21,9,77.1,68.9,8.13,,-3.66,,-0.14,2.69,2.56,,,
110,Southern California,Pac-10,,9,19,61.3,65.0,-3.71,,6.67,,-7.50,9.79,2.30,,,
111,Eastern Kentucky,OVC,,19,11,87.0,78.8,8.20,,-2.45,,9.03,-6.92,2.11,,,
112,Texas,SWC,,14,17,63.5,66.1,-2.58,,5.51,,-6.01,8.11,2.10,,,
113,Boston College,Big East,,11,18,64.6,68.0,-3.34,,5.32,,-4.78,6.76,1.97,,,
114,Kent State,MAC,,19,10,74.3,68.4,5.90,,-2.13,,-0.88,2.79,1.91,,,
115,Xavier,MW Coll,,19,13,79.0,74.3,4.66,,-0.17,,4.08,-2.32,1.75,,,
116,Utah State,PCAA,,15,16,82.8,85.6,-2.81,,4.30,,12.39,-10.77,1.63,,,
117,Colorado,Big 8,,9,19,63.4,69.0,-5.61,,6.88,,-5.62,6.96,1.35,,,
118,Long Beach State,PCAA,,12,19,71.4,76.7,-5.26,,6.43,,1.37,-0.14,1.23,,,
119,Minnesota,Big Ten,,9,19,67.9,74.7,-6.75,,8.18,,-1.70,2.69,0.99,,,
120,Boston University,ECACN,,18,12,74.0,68.8,5.13,,-3.51,,-1.86,2.66,0.80,,,
121,Dayton,Ind,,13,15,68.9,71.1,-2.21,,3.41,,-0.81,1.59,0.79,,,
122,South Alabama,Sun Belt,,14,14,79.0,76.7,2.25,,0.12,,5.91,-5.27,0.64,,,
123,McNeese State,Southland,,14,14,70.2,69.6,0.64,,1.53,,-2.12,2.66,0.53,,,
124,Oklahoma State,Big 8,,8,20,69.4,76.8,-7.43,,8.55,,-0.46,0.97,0.52,,,
125,George Mason,CAA,,15,13,70.5,68.5,2.04,,-0.80,,-2.45,2.61,0.16,,,
126,Lamar,Southland,,14,15,66.7,66.3,0.45,,1.18,,-5.85,5.95,0.10,,,
127,Pepperdine,WCAC,,12,18,74.1,75.9,-1.80,,2.03,,3.79,-3.70,0.10,,,
