Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
258,Utica,Ind,,10,16,69.4,73.4,-4.00,,-7.34,,-8.94,-4.22,-13.16,,,
259,Delaware,ECC,,12,16,70.8,74.1,-3.32,,-6.88,,-7.66,-5.51,-13.17,,,
260,Centenary (LA),TAAC,,10,17,78.4,,,,-5.65,,-0.88,-12.33,-13.21,,,
261,Appalachian State,Southern,,7,21,65.0,73.2,-8.25,,-2.67,,-11.38,-2.26,-13.63,,,
262,Maryland-Baltimore County,Ind,,12,16,67.5,70.3,-2.71,,-10.79,,-11.05,-2.90,-13.95,,,
263,Maine,ECACN,,10,18,68.0,77.5,-9.57,,-4.30,,-6.59,-7.45,-14.04,,,
264,Nicholls State,GSC,,9,18,68.5,78.5,-9.96,,-9.34,,-8.45,-6.04,-14.49,,,
265,Hofstra,ECC,,9,19,72.2,80.3,-8.07,,-6.45,,-5.30,-9.22,-14.52,,,
266,Long Island University,ECACM,,13,14,77.7,77.0,0.70,,-11.46,,-1.48,-13.39,-14.86,,,
267,New Hampshire,ECACN,,4,24,63.7,74.0,-10.32,,-4.73,,-12.27,-2.82,-15.09,,,
268,Central Connecticut State,Ind,,8,21,65.6,71.9,-6.28,,-9.33,,-10.22,-4.89,-15.11,,,
269,Southeastern Louisiana,GSC,,10,21,68.3,74.0,-5.74,,-6.52,,-10.01,-5.13,-15.13,,,
270,St. Francis (NY),ECACM,,11,16,64.7,67.6,-2.85,,-10.55,,-14.92,-0.46,-15.38,,,
271,Eastern Washington,Ind,,5,23,63.4,75.9,-12.46,,-1.42,,-11.86,-3.77,-15.63,,,
272,Texas Southern,SWAC,,11,18,69.8,73.9,-4.17,,-8.93,,-8.02,-7.63,-15.65,,,
273,Monmouth,ECACM,,8,19,66.1,72.8,-6.67,,-7.12,,-11.53,-4.22,-15.74,,,
274,Manhattan,MAAC,,6,21,71.1,78.2,-7.07,,-4.29,,-5.59,-10.26,-15.85,,,
275,Brooklyn,Ind,,10,18,71.4,76.6,-5.18,,-9.77,,-6.06,-9.86,-15.93,,,
276,South Carolina State,MEAC,,14,15,68.1,70.7,-2.59,,-12.92,,-11.30,-4.69,-15.99,,,
277,Samford,TAAC,,4,22,68.2,77.5,-9.27,,-5.29,,-9.64,-6.66,-16.29,,,
278,East Tennessee State,Southern,,7,21,69.6,80.1,-10.54,,-3.15,,-7.05,-9.84,-16.90,,,
279,Alcorn State,SWAC,,5,23,68.9,78.4,-9.54,,-7.84,,-9.19,-7.81,-17.00,,,
280,U.S. International,Ind,,11,17,85.1,91.1,-6.07,,-9.99,,5.11,-22.23,-17.11,,,
281,Colgate,ECACN,,4,23,65.4,76.6,-11.11,,-5.27,,-11.73,-5.99,-17.73,,,
282,Augusta,Big South,,8,19,70.0,79.9,-9.81,,-7.77,,-8.05,-10.31,-18.35,,,
283,Tennessee Tech,OVC,,7,20,74.6,87.7,-13.11,,-1.19,,-1.11,-17.78,-18.89,,,
284,Bethune-Cookman,MEAC,,10,19,63.2,68.1,-4.97,,-15.07,,-17.24,-1.94,-19.17,,,
285,Morgan State,MEAC,,8,20,63.9,72.8,-8.93,,-11.14,,-14.10,-5.96,-20.07,,,
286,Coppin State,MEAC,,8,19,70.6,78.6,-8.04,,-12.35,,-6.82,-13.53,-20.35,,,
287,Armstrong,Big South,,6,22,64.7,80.9,-16.18,,-4.78,,-11.56,-10.04,-21.60,,,
288,Prairie View,SWAC,,6,22,63.7,77.0,-13.25,,-8.52,,-15.76,-6.55,-22.31,,,
289,Delaware State,MEAC,,4,24,60.0,73.3,-13.32,,-13.20,,-19.92,-7.53,-27.44,,,
290,Maryland-Eastern Shore,MEAC,,2,24,71.6,86.9,-15.35,,-10.94,,-9.05,-19.30,-28.35,,,
