Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
17,Ball State,27,16,11,0.593,1.32,1.84,10.0,8.0,10,3,5,7,66.6,65.2,,23.5,57.3,0.41,5.44,16.1,0.339,14.1,21.6,0.654,12.9,36.1,11.9,7.74,2.93,14.0,17.2
18,Baylor,30,6,24,0.2,-5.53,3.58,0.0,16.0,5,10,1,11,61.5,70.0,40.2,21.5,56.8,0.378,5.43,18.8,0.288,13.2,20.1,0.656,12.7,36.1,10.3,7.23,3.47,17.3,20.4
19,Bethune-Cookman,27,11,16,0.407,-12.36,-9.06,10.0,9.0,5,8,6,7,66.3,69.6,,23.5,53.3,0.44,3.96,13.6,0.292,15.4,22.2,0.693,10.5,33.3,13.5,7.93,2.63,17.0,18.6
20,Boise State,29,21,8,0.724,2.83,-3.28,12.0,4.0,9,3,9,4,68.5,61.7,40.2,23.5,51.0,0.461,5.93,16.1,0.368,15.6,21.9,0.71,11.2,30.3,13.3,9.55,3.14,16.2,20.2
21,Boston College,27,6,21,0.222,-1.24,7.76,3.0,15.0,5,9,0,10,62.6,71.6,40.0,23.0,56.3,0.409,5.74,17.1,0.335,10.7,16.2,0.662,11.6,31.3,11.6,9.63,2.59,17.1,19.5
22,Boston University,27,9,18,0.333,-9.37,-6.11,5.0,13.0,4,8,4,7,64.3,67.5,40.6,22.5,54.7,0.412,5.96,17.9,0.334,13.3,21.0,0.632,11.7,35.6,14.2,6.85,1.93,16.5,21.9
23,Bowling Green State,28,18,10,0.643,6.83,2.36,12.0,6.0,12,2,5,7,70.7,65.1,40.4,24.7,53.8,0.459,4.71,14.5,0.325,16.6,22.9,0.726,10.3,33.6,13.6,9.0,3.0,15.2,20.0
24,Bradley,29,17,12,0.586,6.82,5.13,11.0,7.0,13,2,3,8,62.9,61.2,40.3,21.2,49.6,0.429,5.97,16.1,0.37,14.4,20.9,0.691,11.1,33.2,11.6,8.59,3.9,16.9,19.6
25,Brigham Young,28,12,16,0.429,2.5,4.14,6.0,8.0,9,5,2,10,71.8,73.4,40.4,24.0,53.1,0.451,6.29,16.9,0.371,17.5,24.2,0.725,10.3,36.2,12.8,6.71,3.11,17.3,20.9
26,Brown,26,4,22,0.154,-19.23,-7.5,2.0,12.0,3,9,1,12,60.7,72.4,,21.2,51.9,0.407,5.5,17.2,0.321,12.9,17.2,0.749,9.04,29.2,11.2,5.73,1.77,14.4,18.0
27,Bucknell,29,16,13,0.552,-5.44,-7.96,9.0,3.0,9,3,4,8,66.9,61.3,,23.2,52.7,0.44,5.66,17.6,0.321,14.8,22.1,0.668,11.8,36.2,14.1,8.24,4.03,17.5,19.7
28,Buffalo,29,5,24,0.172,-15.1,0.47,1.0,17.0,2,9,3,13,58.9,73.8,,20.9,56.4,0.37,5.1,18.3,0.279,12.1,18.0,0.672,12.7,36.1,12.9,6.59,3.62,19.1,19.0
29,Butler,32,22,10,0.688,5.02,1.38,11.0,3.0,13,3,7,6,63.5,60.0,,21.6,49.0,0.44,3.84,11.9,0.324,16.5,24.0,0.69,10.0,32.3,13.8,7.22,1.78,14.6,17.3
30,Cal Poly,27,11,16,0.407,-7.09,-3.93,6.0,10.0,8,6,3,8,84.9,85.1,40.4,29.1,66.7,0.436,9.44,26.8,0.352,17.3,23.7,0.732,14.0,37.4,15.2,8.22,2.15,15.5,18.9
31,Cal State Fullerton,27,13,14,0.481,-8.02,-2.75,7.0,9.0,10,3,3,10,70.0,74.0,40.2,24.0,55.6,0.433,5.85,17.1,0.343,16.1,24.0,0.672,12.2,35.7,13.5,6.67,2.93,16.6,19.2
32,Cal State Northridge,29,17,12,0.586,0.73,-1.64,9.0,7.0,9,3,6,8,82.0,77.1,40.5,29.5,63.0,0.468,6.97,19.7,0.354,16.0,24.2,0.661,13.8,36.3,17.8,10.7,2.69,18.3,21.6
33,California,33,22,11,0.667,12.05,7.84,8.0,10.0,14,3,6,8,72.9,68.7,,26.3,60.9,0.432,3.55,11.4,0.31,16.8,25.0,0.671,13.1,36.4,12.7,8.42,3.73,13.7,18.3
34,Campbell,27,9,18,0.333,-16.19,-7.55,6.0,10.0,7,5,2,12,63.7,71.6,40.2,23.1,54.0,0.429,7.15,19.6,0.364,10.3,15.5,0.663,11.4,33.1,14.0,5.74,2.89,17.1,18.3
35,Canisius,27,15,12,0.556,-7.05,-4.79,11.0,7.0,10,3,5,8,71.0,73.3,,24.6,54.9,0.448,5.67,14.3,0.397,16.2,23.1,0.701,12.7,34.8,15.6,6.07,3.3,15.9,18.8
36,Centenary (LA),28,14,14,0.5,-10.58,-6.99,9.0,7.0,8,2,4,10,63.0,66.2,40.0,21.7,50.1,0.433,4.64,14.1,0.329,15.0,21.9,0.688,,33.2,10.5,5.14,2.39,14.8,20.6
37,Central Connecticut State,32,19,13,0.594,-7.44,-10.47,11.0,9.0,8,5,7,5,70.7,68.2,40.0,25.8,57.3,0.449,3.56,11.9,0.299,15.7,23.3,0.672,14.6,37.2,13.6,8.75,3.94,16.3,17.5
38,Central Michigan,26,10,16,0.385,-3.17,0.55,7.0,11.0,7,5,3,11,70.2,72.3,,23.7,54.6,0.434,5.23,15.4,0.339,17.5,24.9,0.705,10.7,34.7,13.3,7.35,3.19,16.7,19.7
39,Charleston Southern,28,12,16,0.429,-14.36,-7.89,4.0,6.0,9,5,2,10,72.2,76.8,,25.2,54.6,0.461,4.11,12.4,0.331,17.8,25.5,0.695,11.4,33.6,12.6,9.64,3.46,19.1,23.9
40,Charlotte NCAA,34,23,11,0.676,11.29,7.6,10.0,6.0,11,2,6,7,68.7,65.3,40.4,23.3,55.9,0.417,7.38,19.8,0.374,14.7,21.8,0.673,13.6,36.1,12.7,7.12,2.79,13.6,19.1
41,Chattanooga,28,16,12,0.571,-4.28,-5.78,9.0,7.0,10,4,5,7,67.8,65.0,,23.9,55.1,0.434,5.96,16.6,0.36,14.0,20.4,0.686,13.5,35.9,13.3,6.71,3.68,15.1,16.5
42,Chicago State,27,3,24,0.111,-21.54,-0.42,3.0,11.0,2,6,1,16,54.6,75.0,,20.4,59.0,0.346,5.74,19.7,0.291,8.0,13.1,0.612,13.2,33.3,11.1,7.7,2.85,16.4,19.2
43,Cincinnati NCAA,33,27,6,0.818,20.13,7.88,12.0,4.0,14,0,7,4,73.9,61.2,,27.0,58.2,0.464,5.03,15.4,0.327,15.0,22.0,0.68,14.4,39.1,14.1,7.76,4.61,14.5,18.7
44,Clemson,35,20,15,0.571,13.41,6.56,5.0,11.0,14,3,3,8,71.7,64.7,,25.1,54.6,0.459,6.66,19.0,0.35,14.9,24.0,0.62,14.0,38.7,15.1,6.49,3.17,15.3,19.1
45,Cleveland State,28,14,14,0.5,-1.74,0.26,6.0,8.0,10,5,3,8,70.6,71.3,,24.9,55.5,0.448,4.89,14.7,0.333,16.0,24.9,0.644,14.3,32.7,12.8,7.86,2.82,17.8,22.5
46,Coastal Carolina,27,7,20,0.259,-20.39,-8.34,4.0,6.0,5,7,2,12,71.7,80.3,,25.9,60.0,0.431,6.63,19.5,0.34,13.3,19.3,0.69,13.6,33.1,12.8,8.52,1.96,19.1,19.9
47,Colgate,28,14,14,0.5,-8.19,-7.33,7.0,5.0,6,5,6,8,65.2,64.3,,23.3,52.9,0.439,4.07,11.5,0.353,14.6,23.0,0.638,11.8,34.6,12.1,8.46,2.14,17.3,21.8
48,College of Charleston NCAA,31,28,3,0.903,5.98,-6.63,16.0,0.0,14,0,10,1,72.8,59.2,,26.8,54.9,0.488,4.52,12.3,0.367,14.8,20.9,0.706,12.7,37.0,14.0,9.13,6.32,14.4,16.5
49,Colorado,33,18,15,0.545,7.25,4.96,7.0,9.0,13,3,3,8,73.1,68.4,40.0,25.4,61.4,0.414,6.61,19.2,0.344,15.6,23.5,0.665,12.8,37.9,14.6,8.52,3.82,14.7,19.2
50,Colorado State,30,19,11,0.633,8.68,3.06,7.0,7.0,13,2,5,8,72.3,66.4,,25.1,55.4,0.452,6.27,18.1,0.346,15.9,23.8,0.667,11.0,34.8,13.3,8.0,4.07,13.7,19.0
