Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA
48,Chicago State,32,9,23,0.281,-21.8,-7.61,,4.0,8.0,,7,5,,0,17,,2010,2287,,68.9,103.3,0.467,0.39,0.565,49.2,60.2,10.6,8.6,0.533,20.1,31.7,0.313
49,Cincinnati,35,19,16,0.543,9.98,8.45,,7.0,11.0,,13,5,,2,9,,2408,2327,,66.4,98.8,0.36,0.346,0.509,45.7,54.4,9.6,7.6,0.472,15.6,29.4,0.247
50,Clemson NCAA,32,21,11,0.656,15.71,7.9,,9.0,7.0,,14,2,,5,6,,2350,2065,,70.1,92.1,0.354,0.285,0.5,48.6,51.5,11.7,8.0,0.464,21.1,33.5,0.24
51,Cleveland State,33,16,17,0.485,0.57,2.12,,10.0,8.0,,13,5,,3,9,,2283,2254,,66.3,103.1,0.515,0.302,0.56,53.4,56.5,8.4,8.1,0.524,20.7,35.0,0.347
52,Coastal Carolina,35,28,7,0.8,-0.78,-10.14,,15.0,3.0,,17,2,,9,4,,2584,2103,,67.4,89.1,0.287,0.334,0.461,46.2,42.1,9.3,5.9,0.428,18.2,32.1,0.192
53,Colgate,29,10,19,0.345,-11.34,-6.52,,6.0,8.0,,7,6,,3,11,,1955,2069,,66.8,105.0,0.368,0.356,0.55,49.0,59.1,10.2,8.5,0.512,16.4,29.3,0.268
54,College of Charleston,34,22,12,0.647,-0.81,-2.46,,14.0,4.0,,12,1,,8,9,,2549,2493,,69.0,105.8,0.313,0.27,0.518,56.1,47.0,8.7,7.3,0.494,15.7,39.4,0.202
55,Colorado,31,15,16,0.484,7.01,7.7,,6.0,10.0,,13,3,,1,10,,2313,2299,,69.2,106.4,0.458,0.312,0.555,55.8,52.5,9.6,10.2,0.516,18.5,36.7,0.319
56,Colorado State,32,16,16,0.5,1.35,3.61,,7.0,9.0,,11,4,,3,11,,2120,2134,,66.6,99.3,0.473,0.358,0.535,48.2,54.9,10.2,10.6,0.495,18.9,28.9,0.321
57,Columbia,28,11,17,0.393,-11.75,-6.04,,5.0,9.0,,7,6,,4,11,,1686,1828,,64.8,100.7,0.43,0.364,0.548,49.8,53.6,10.3,8.7,0.511,19.6,29.1,0.298
58,Connecticut,34,18,16,0.529,12.5,9.15,,7.0,11.0,,15,4,,2,9,,2380,2266,,68.3,97.6,0.266,0.301,0.475,47.4,51.0,11.4,9.5,0.441,15.0,35.3,0.187
59,Coppin State,30,8,22,0.267,-14.89,-6.81,,3.0,13.0,,7,6,,1,15,,1833,2029,,66.2,101.3,0.418,0.392,0.517,53.7,56.6,10.3,9.5,0.48,18.3,37.8,0.278
60,Cornell NCAA,34,29,5,0.853,8.76,-0.91,,13.0,1.0,,11,1,,13,3,,2596,2192,,64.7,98.9,0.37,0.326,0.525,47.6,52.5,9.8,8.5,0.475,18.1,29.5,0.263
61,Creighton,34,18,16,0.529,3.59,3.15,,10.0,8.0,,15,2,,3,10,,2374,2320,,65.9,102.8,0.37,0.35,0.52,49.5,55.1,8.8,9.0,0.478,15.2,30.7,0.267
62,Dartmouth,28,5,23,0.179,-18.46,-5.46,,1.0,13.0,,5,10,,0,13,,1513,1835,,63.8,102.7,0.381,0.298,0.535,54.2,52.0,9.9,8.8,0.496,18.0,34.7,0.273
63,Davidson,31,16,15,0.516,-2.26,-1.26,,11.0,7.0,,10,4,,5,5,,2240,2200,,67.0,104.3,0.369,0.321,0.546,47.5,45.9,8.9,8.7,0.496,16.0,27.1,0.262
64,Dayton,37,25,12,0.676,13.25,5.61,,8.0,8.0,,16,2,,6,7,,2599,2305,,67.3,91.6,0.409,0.358,0.487,46.0,53.0,9.0,9.0,0.448,18.0,27.4,0.269
65,Delaware,31,7,24,0.226,-7.86,1.37,,3.0,15.0,,5,10,,2,13,,1965,2251,,64.6,109.8,0.449,0.337,0.552,50.6,53.8,9.7,8.9,0.512,15.1,33.8,0.317
66,Delaware State,29,17,12,0.586,-9.08,-7.6,,11.0,5.0,,12,3,,4,8,,1697,1691,,59.0,98.0,0.358,0.3,0.556,53.0,52.8,8.2,8.3,0.535,24.6,37.8,0.231
67,Denver,32,19,13,0.594,-2.76,-4.89,,10.0,8.0,,15,1,,2,11,,2079,2012,,60.3,104.3,0.597,0.248,0.559,55.4,39.8,8.7,10.9,0.507,18.5,31.3,0.421
68,DePaul,31,8,23,0.258,1.61,7.58,,1.0,17.0,,6,9,,0,11,,1891,2073,,63.1,104.3,0.396,0.312,0.523,53.8,59.4,8.3,9.0,0.488,16.8,37.4,0.267
69,Detroit Mercy,34,20,14,0.588,1.35,-1.59,,9.0,9.0,,11,5,,6,8,,2360,2234,,68.4,95.3,0.356,0.349,0.51,47.1,50.1,10.3,6.0,0.469,19.2,30.5,0.255
70,Drake,33,14,19,0.424,0.54,3.34,,7.0,11.0,,8,8,,4,8,,2197,2259,,63.2,107.9,0.317,0.381,0.555,55.2,55.7,7.9,9.2,0.529,16.7,32.0,0.219
71,Drexel,32,16,16,0.5,-0.03,0.19,,11.0,7.0,,10,4,,6,11,,2044,2051,,65.1,98.1,0.462,0.251,0.502,50.0,51.3,9.0,12.3,0.45,16.8,33.0,0.324
72,Duke NCAA,40,35,5,0.875,25.21,9.21,,13.0,3.0,,17,0,,5,5,,3079,2441,,66.5,91.7,0.34,0.254,0.477,45.6,49.0,7.9,9.7,0.437,18.2,32.1,0.234
73,Duquesne,32,16,16,0.5,0.79,1.95,,7.0,9.0,,11,3,,3,12,,2251,2284,,69.6,99.1,0.351,0.351,0.51,52.5,57.5,9.1,11.1,0.478,19.0,37.5,0.234
74,East Carolina,31,10,21,0.323,-5.91,4.42,,4.0,12.0,,5,9,,4,8,,2082,2323,,68.8,108.5,0.352,0.336,0.537,48.9,59.2,13.1,10.7,0.503,14.3,33.5,0.248
75,East Tennessee State NCAA,35,20,15,0.571,-0.83,-1.47,,13.0,7.0,,9,5,,9,9,,2424,2362,,69.4,97.0,0.394,0.408,0.519,49.5,57.8,10.5,9.3,0.486,20.4,33.8,0.261
76,Eastern Illinois,31,19,12,0.613,-5.0,-5.0,,11.0,7.0,,12,4,,7,7,,2112,2023,,64.5,99.5,0.338,0.394,0.511,48.0,59.9,10.4,9.6,0.474,17.1,32.9,0.238
77,Eastern Kentucky,33,20,13,0.606,-2.07,-5.16,,11.0,7.0,,15,3,,4,10,,2351,2208,,63.0,106.2,0.335,0.353,0.564,55.4,61.7,7.6,10.1,0.536,18.7,34.3,0.236
78,Eastern Michigan,32,17,15,0.531,-3.46,-3.59,,8.0,8.0,,11,4,,5,9,,2124,2096,,66.3,98.0,0.376,0.315,0.521,49.0,55.2,9.6,10.4,0.49,18.4,29.9,0.248
79,Eastern Washington,30,9,21,0.3,-11.91,-1.91,,5.0,11.0,,7,6,,2,13,,2065,2288,,71.4,105.9,0.459,0.297,0.568,51.5,49.4,10.5,11.8,0.528,17.4,27.9,0.327
80,Elon,32,9,23,0.281,-10.4,-3.04,,5.0,13.0,,4,7,,4,12,,2141,2335,,68.9,105.1,0.352,0.324,0.543,53.8,52.1,8.7,11.6,0.517,17.4,34.1,0.235
81,Evansville,30,9,21,0.3,-4.61,1.82,,3.0,15.0,,7,9,,2,11,,1944,2068,,66.0,103.1,0.44,0.364,0.546,49.4,55.2,10.1,11.5,0.501,17.3,28.4,0.317
82,Fairfield,34,23,11,0.676,0.4,-3.33,,13.0,5.0,,12,2,,9,9,,2414,2287,,67.0,98.9,0.343,0.313,0.517,49.3,48.4,9.7,9.1,0.483,18.6,34.6,0.237
83,FDU,32,11,21,0.344,-15.56,-6.42,,10.0,8.0,,7,7,,4,12,,2027,2279,,68.5,103.6,0.365,0.347,0.519,51.2,59.0,10.2,8.0,0.491,15.1,32.9,0.237
84,Florida NCAA,34,21,13,0.618,11.89,7.16,,9.0,7.0,,13,4,,5,5,,2455,2258,,66.5,98.8,0.277,0.329,0.511,48.0,52.2,9.9,9.9,0.484,17.4,32.8,0.188
85,Florida A&M,31,9,22,0.29,-18.8,-6.41,,5.0,11.0,,6,6,,3,13,,1965,2270,,68.2,107.0,0.376,0.319,0.538,53.2,52.8,11.0,7.2,0.504,16.8,37.9,0.26
86,Florida Atlantic,30,14,16,0.467,-4.48,-3.3,,10.0,8.0,,9,4,,5,10,,2202,2205,,69.2,104.0,0.45,0.241,0.539,52.1,49.6,7.4,10.0,0.504,17.5,34.4,0.301
87,Florida Gulf Coast,29,8,21,0.276,,,,5.0,15.0,,5,7,,1,13,,1875,2082,,68.5,104.3,0.479,0.414,0.547,49.8,65.2,11.5,7.7,0.519,19.8,37.1,0.304
88,Florida International,32,7,25,0.219,-12.81,-2.74,,4.0,14.0,,4,9,,3,15,,2176,2469,,69.0,111.0,0.38,0.371,0.586,53.1,59.0,10.7,10.4,0.558,18.3,34.9,0.268
89,Florida State NCAA,32,22,10,0.688,14.64,6.79,,10.0,6.0,,13,3,,6,5,,2183,1932,,67.6,89.0,0.348,0.353,0.473,46.3,47.3,11.7,6.6,0.435,20.1,32.4,0.234
90,Fordham,28,2,26,0.071,-13.18,2.08,,0.0,16.0,,2,10,,0,15,,1793,2220,,72.6,109.1,0.395,0.298,0.541,52.3,55.1,11.7,9.0,0.505,14.3,34.5,0.274
91,Fresno State,33,15,18,0.455,0.14,1.31,,7.0,9.0,,12,6,,3,11,,2188,2207,,66.9,100.0,0.341,0.367,0.525,51.2,58.5,9.9,10.1,0.494,18.2,32.8,0.231
92,Furman,30,13,17,0.433,-7.01,-4.83,,7.0,11.0,,8,6,,4,9,,2052,2059,,68.3,100.0,0.419,0.273,0.506,49.8,52.5,9.7,8.9,0.47,15.6,32.2,0.273
93,Gardner-Webb,29,8,21,0.276,-20.32,-5.61,,5.0,13.0,,5,10,,3,11,,2005,2257,,73.5,104.6,0.401,0.31,0.546,52.1,56.6,12.1,9.2,0.518,18.2,35.2,0.263
94,George Mason,32,17,15,0.531,-0.44,0.06,,12.0,6.0,,11,5,,5,8,,2145,2161,,66.3,101.1,0.34,0.306,0.512,50.8,54.7,10.3,9.2,0.479,16.6,35.0,0.232
95,George Washington,31,16,15,0.516,3.12,0.96,,6.0,10.0,,8,7,,7,8,,2180,2113,,69.0,98.0,0.428,0.395,0.519,47.1,61.3,9.0,10.0,0.483,18.8,30.8,0.283
96,Georgetown NCAA,34,23,11,0.676,17.03,9.56,,10.0,8.0,,12,4,,6,5,,2500,2246,,66.6,99.2,0.334,0.342,0.513,48.2,56.7,10.9,10.4,0.474,16.9,32.2,0.24
97,Georgia,31,14,17,0.452,7.33,8.04,,5.0,11.0,,12,4,,0,12,,2128,2150,,66.2,104.3,0.323,0.319,0.523,46.7,46.2,12.4,11.2,0.484,15.2,32.7,0.238
98,Georgia Southern,32,9,23,0.281,-12.57,-1.67,,6.0,12.0,,8,6,,1,16,,2260,2529,,71.7,109.3,0.449,0.295,0.592,54.8,53.6,8.6,8.7,0.571,21.1,38.9,0.293
99,Georgia State,32,12,20,0.375,-3.74,-1.48,,5.0,13.0,,9,5,,1,12,,1993,2039,,63.0,100.0,0.418,0.328,0.522,49.7,57.7,11.2,8.2,0.478,19.0,36.3,0.296
100,Georgia Tech NCAA,36,23,13,0.639,14.11,9.02,,7.0,9.0,,14,2,,3,8,,2621,2365,,70.4,93.0,0.345,0.358,0.477,46.8,57.7,11.2,7.7,0.441,18.1,33.3,0.23
101,Gonzaga NCAA,34,27,7,0.794,12.11,3.83,,12.0,2.0,,14,1,,6,3,,2614,2291,,69.4,96.1,0.337,0.327,0.492,46.9,50.9,9.4,7.3,0.462,16.0,28.9,0.219
102,Grambling,28,7,21,0.25,-23.05,-12.75,,4.0,14.0,,4,7,,2,13,,1784,2048,,69.7,103.5,0.549,0.279,0.536,54.1,53.8,12.1,9.7,0.499,18.8,36.2,0.354
103,Green Bay,35,22,13,0.629,0.33,0.75,,11.0,7.0,,11,4,,9,7,,2397,2341,,64.1,102.8,0.358,0.321,0.53,50.8,48.9,9.4,9.4,0.496,17.8,34.9,0.248
104,Hampton,32,14,18,0.438,-6.75,-8.36,,8.0,8.0,,6,6,,6,9,,2102,2050,,68.0,94.3,0.393,0.315,0.492,51.1,50.2,8.8,7.0,0.46,19.9,36.7,0.247
105,Hartford,30,8,22,0.267,-13.77,-6.04,,6.0,10.0,,5,8,,3,13,,1868,2100,,64.9,107.5,0.495,0.384,0.558,54.9,54.1,7.3,10.2,0.518,17.7,34.4,0.343
106,Harvard,29,21,8,0.724,1.59,-3.91,,10.0,4.0,,11,2,,10,6,,2145,1928,,67.7,96.6,0.406,0.31,0.516,48.3,54.0,9.4,10.8,0.472,18.8,30.6,0.288
107,Hawaii,30,10,20,0.333,-4.91,0.33,,3.0,13.0,,10,11,,0,9,,2044,2187,,67.0,108.8,0.371,0.334,0.543,47.5,50.9,9.5,7.2,0.509,14.1,33.3,0.259
108,High Point,30,15,15,0.5,-14.63,-9.3,,10.0,8.0,,12,1,,3,14,,2169,2203,,71.4,102.5,0.483,0.264,0.545,50.6,50.3,10.4,10.9,0.502,18.9,34.6,0.337
109,Hofstra,34,19,15,0.559,1.65,-0.02,,10.0,8.0,,11,6,,6,7,,2406,2320,,69.2,97.5,0.494,0.293,0.5,47.5,55.7,10.2,11.6,0.439,16.6,31.6,0.341
110,Holy Cross,31,9,22,0.29,-8.03,-5.57,,5.0,9.0,,5,7,,3,14,,2147,2223,,66.8,106.5,0.327,0.34,0.53,47.0,60.3,10.6,9.2,0.498,13.9,31.8,0.227
111,Houston NCAA,35,19,16,0.543,6.74,3.48,,7.0,9.0,,10,5,,4,9,,2751,2624,,71.4,104.3,0.395,0.295,0.548,55.5,50.6,6.3,8.1,0.51,19.6,38.6,0.282
112,Houston Christian,33,12,21,0.364,,,,9.0,3.0,,5,7,,3,11,,2347,2604,,74.6,105.0,0.4,0.322,0.539,48.7,56.3,10.9,7.6,0.505,16.6,33.2,0.273
113,Howard,32,7,25,0.219,-19.49,-7.27,,6.0,10.0,,4,5,,2,15,,1868,2251,,65.6,106.4,0.332,0.282,0.54,51.9,48.7,10.7,11.0,0.514,15.7,33.8,0.223
114,Idaho,31,15,16,0.484,-0.19,0.48,,6.0,10.0,,8,6,,6,10,,2206,2188,,67.9,103.6,0.322,0.324,0.532,49.1,46.3,10.7,8.4,0.501,16.2,31.4,0.225
115,Idaho State,29,7,22,0.241,-10.29,0.13,,4.0,12.0,,6,6,,1,16,,1927,2176,,63.3,116.0,0.407,0.391,0.573,50.1,62.0,10.9,9.3,0.54,14.5,36.2,0.288
116,Illinois,36,21,15,0.583,11.58,9.58,,10.0,8.0,,13,5,,7,4,,2547,2406,,66.9,98.5,0.318,0.397,0.499,48.1,55.0,9.0,4.1,0.464,15.2,30.2,0.221
117,Illinois State,33,22,11,0.667,5.73,1.16,,11.0,7.0,,15,2,,6,8,,2283,2115,,65.2,98.0,0.314,0.375,0.525,46.9,51.1,9.0,8.3,0.487,18.1,27.9,0.232
118,Illinois-Chicago,30,8,22,0.267,-7.58,0.94,,3.0,15.0,,7,7,,1,15,,1876,2110,,67.4,104.3,0.408,0.357,0.541,54.5,59.4,8.7,9.0,0.502,18.2,35.0,0.287
119,Indiana,31,10,21,0.323,0.76,9.37,,4.0,14.0,,8,9,,1,8,,2053,2215,,67.7,104.8,0.412,0.326,0.535,50.3,57.4,10.4,13.2,0.498,17.4,35.8,0.285
120,Indiana State,32,17,15,0.531,1.11,2.4,,9.0,9.0,,11,3,,5,10,,2113,2123,,64.1,101.9,0.368,0.339,0.506,51.8,51.4,9.0,7.0,0.472,14.9,33.1,0.245
121,Iona,31,21,10,0.677,2.31,-1.85,,12.0,6.0,,11,3,,8,4,,2050,1921,,66.5,92.8,0.473,0.317,0.498,51.7,51.4,10.8,13.8,0.451,20.7,32.9,0.317
122,Iowa,32,10,22,0.313,2.12,8.09,,4.0,14.0,,9,9,,1,10,,1937,2112,,62.0,106.1,0.298,0.338,0.545,49.9,56.4,10.7,12.4,0.517,15.3,29.3,0.212
123,Iowa State,32,15,17,0.469,9.6,8.37,,4.0,12.0,,11,7,,3,7,,2250,2174,,67.1,99.6,0.266,0.319,0.504,48.6,48.1,10.6,7.5,0.472,15.4,31.7,0.191
124,IU Indy,36,25,11,0.694,1.63,-4.08,,15.0,3.0,,11,3,,10,5,,2681,2420,,66.3,99.7,0.297,0.359,0.522,48.5,56.2,9.5,7.8,0.494,18.4,33.0,0.203
125,Jackson State,32,19,13,0.594,-13.21,-10.66,,17.0,1.0,,9,3,,9,8,,2028,2089,,66.7,97.2,0.471,0.332,0.498,48.3,49.3,10.8,10.4,0.456,16.9,31.3,0.307
126,Jacksonville,33,20,13,0.606,-1.71,-2.3,,14.0,6.0,,8,3,,10,10,,2304,2228,,69.0,97.8,0.458,0.31,0.527,47.7,51.9,9.5,7.9,0.484,20.3,32.6,0.315
