Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,36,25,11,0.694,2.25,-2.09,11,7,14,3,6,6,76.7,67.6,40.6,21.7,49.5,0.439,6.72,20.0,0.336,17.4,24.0,0.725,9.08,34.5,11.2,5.53,3.61,21.0,21.2
2,Air Force,29,11,18,0.379,-5.67,1.33,4,13,7,6,2,10,59.0,66.0,40.0,23.1,49.8,0.463,5.17,16.6,0.312,14.7,19.4,0.76,8.59,33.0,10.9,5.38,3.34,12.9,16.8
3,Akron NCAA,34,24,10,0.706,0.91,-3.93,14,6,12,3,8,4,70.6,62.6,40.1,23.0,54.6,0.422,6.62,19.4,0.342,9.97,14.1,0.706,8.68,31.0,9.44,5.5,2.26,11.8,18.9
4,Alabama NCAA,33,19,14,0.576,14.62,11.59,9,9,13,3,3,7,79.5,76.5,40.2,26.9,61.5,0.437,7.42,22.0,0.338,15.3,21.4,0.715,11.5,36.1,12.5,7.82,3.73,13.2,18.2
5,Alabama A&M,30,12,18,0.4,-14.43,-8.86,10,8,7,3,4,14,61.4,67.0,40.7,23.9,59.7,0.401,7.43,23.2,0.32,11.7,17.1,0.684,11.9,39.6,13.5,7.53,2.87,13.6,16.9
6,Alabama State,31,10,21,0.323,-12.05,-5.45,8,10,7,6,3,15,69.7,75.2,40.3,26.5,60.1,0.441,7.45,22.7,0.329,14.7,20.4,0.723,11.7,36.6,14.2,7.71,3.87,14.1,17.9
7,Albany (NY),31,13,18,0.419,-9.8,-5.77,9,9,4,8,8,9,61.8,65.9,40.2,23.2,52.9,0.439,7.26,20.4,0.355,12.2,16.8,0.722,8.55,34.2,12.5,5.26,4.35,13.6,14.9
8,Alcorn State,34,17,17,0.5,-8.68,-4.12,14,4,6,3,9,13,66.5,71.1,40.3,24.8,55.6,0.446,6.82,19.9,0.344,14.6,20.4,0.716,9.29,34.4,13.9,6.88,4.06,13.2,17.1
9,American,32,10,22,0.313,-15.38,-7.91,5,13,6,5,4,16,63.5,70.9,40.3,26.5,56.1,0.473,6.66,19.2,0.347,11.2,16.2,0.692,7.81,33.1,13.5,6.75,3.22,11.5,14.2
10,Appalachian State,34,19,15,0.559,-1.45,-1.45,12,6,11,5,6,7,67.1,63.1,40.1,23.7,56.6,0.419,6.68,21.6,0.309,9.03,12.0,0.754,8.47,34.7,13.2,5.21,3.09,12.0,15.2
