Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,13,16,0.448,-0.45,2.14,,3.0,11.0,,9,7,,2,7,,61.6,62.0,,40.3,21.2,47.7,0.445,6.62,19.6,0.337,12.5,18.5,0.674,6.14,26.4,13.9,6.69,3.1,12.8,16.9
2,Akron,34,22,12,0.647,6.33,0.72,,13.0,3.0,,13,2,,8,8,,72.2,65.9,,40.3,25.5,55.3,0.462,6.09,16.5,0.37,15.1,21.8,0.692,11.7,32.3,14.0,7.26,4.15,14.1,18.1
3,Alabama NCAA,33,21,12,0.636,13.76,7.18,,9.0,7.0,,12,3,,4,6,,64.7,58.1,,40.3,23.6,52.2,0.452,4.12,14.2,0.289,13.4,18.9,0.711,10.7,32.3,12.2,7.24,4.15,12.8,18.4
4,Alabama A&M,28,7,21,0.25,-19.33,-10.79,,5.0,13.0,,6,5,,1,15,,63.0,70.1,,40.4,22.5,54.9,0.409,5.25,16.8,0.313,12.8,19.8,0.647,11.3,30.3,11.2,6.36,4.25,16.5,22.0
5,Alabama State,31,12,19,0.387,-15.79,-9.96,,9.0,9.0,,7,4,,4,14,,59.4,64.4,,40.8,20.9,55.3,0.378,6.13,20.0,0.306,11.4,19.5,0.584,12.9,31.7,11.5,7.61,3.06,15.2,19.8
6,Albany (NY),34,19,15,0.559,-3.92,-6.92,,9.0,7.0,,10,4,,6,10,,72.1,69.1,,40.1,24.8,55.6,0.446,7.21,19.8,0.364,15.4,20.4,0.755,11.8,31.5,12.5,5.68,2.79,12.6,17.0
7,Alcorn State,32,10,22,0.313,-19.57,-10.61,,6.0,12.0,,7,5,,2,14,,60.2,67.1,,39.1,21.5,52.2,0.413,4.0,13.2,0.304,13.1,18.9,0.693,9.09,27.3,9.06,6.22,3.25,15.1,18.9
8,American,32,20,12,0.625,-3.12,-5.24,,10.0,4.0,,13,2,,7,10,,64.3,62.2,,40.2,22.3,52.4,0.425,7.09,18.0,0.394,12.7,17.7,0.716,8.78,29.6,12.6,4.56,2.88,11.1,17.0
9,Appalachian State,31,13,18,0.419,-6.93,-3.28,,7.0,11.0,,9,5,,3,11,,68.4,70.2,,40.2,24.1,54.6,0.441,6.55,19.1,0.343,13.7,21.2,0.649,10.7,32.5,12.2,6.03,4.03,14.3,19.6
10,Arizona,35,23,12,0.657,10.91,4.62,,12.0,6.0,,14,4,,6,4,,69.0,62.7,,40.3,22.7,51.8,0.439,7.37,19.5,0.378,16.2,23.0,0.705,10.4,32.3,13.5,5.57,3.49,12.7,16.8
11,Arizona State,31,10,21,0.323,-1.01,4.31,,6.0,12.0,,7,10,,2,7,,61.0,66.3,,40.0,21.1,46.4,0.454,5.84,16.0,0.364,13.0,19.2,0.677,8.45,29.0,12.2,5.58,3.97,16.3,17.7
12,Arkansas,32,18,14,0.563,5.76,3.63,,6.0,10.0,,17,3,,1,9,,71.8,69.7,,40.0,25.3,58.1,0.434,6.41,18.1,0.353,14.9,21.6,0.691,11.3,30.3,13.5,8.28,4.97,13.0,19.3
13,Arkansas State,34,14,20,0.412,-3.18,-0.52,,6.0,10.0,,10,5,,2,14,,64.6,65.9,,40.3,22.5,52.1,0.432,5.18,14.0,0.37,14.5,21.7,0.668,11.5,30.3,9.68,6.18,2.29,13.5,15.7
14,Arkansas-Pine Bluff,33,11,22,0.333,-16.77,-8.34,,9.0,9.0,,6,3,,3,15,,61.0,69.4,,40.2,21.4,51.7,0.413,4.39,14.7,0.3,13.9,21.8,0.637,11.0,30.4,11.1,6.97,4.0,14.9,18.2
15,Army,30,12,18,0.4,-11.26,-7.16,,5.0,9.0,,9,6,,3,11,,67.6,69.7,,40.5,22.6,53.6,0.422,7.93,22.4,0.355,14.4,19.9,0.727,8.23,28.7,13.4,6.17,1.8,15.6,19.4
16,Auburn,31,15,16,0.484,2.52,3.84,,5.0,11.0,,14,3,,1,10,,62.6,64.0,,40.5,22.5,53.8,0.417,5.03,16.7,0.302,12.7,19.6,0.648,11.1,31.8,12.5,6.42,4.81,14.0,18.5
17,Austin Peay,32,12,20,0.375,-4.86,-0.66,,8.0,8.0,,8,5,,4,12,,69.3,72.6,,40.3,24.8,55.7,0.445,4.34,13.5,0.321,15.4,23.0,0.671,12.1,30.7,12.1,7.19,3.59,14.6,17.9
18,Ball State,30,15,15,0.5,-2.93,-4.45,,6.0,10.0,,10,5,,5,9,,63.4,60.7,,40.0,21.6,51.2,0.421,6.37,19.4,0.329,13.9,20.1,0.689,11.2,31.4,13.3,6.07,2.63,12.9,16.7
19,Baylor NCAA,38,30,8,0.789,16.54,8.03,,12.0,6.0,,14,3,,8,3,,74.7,65.3,,40.1,26.4,56.5,0.467,6.82,17.8,0.383,15.1,20.0,0.754,12.4,33.7,15.0,7.53,4.68,13.7,17.7
20,Belmont NCAA,35,27,8,0.771,11.81,-1.22,,16.0,2.0,,13,1,,10,6,,80.9,67.5,,40.3,27.9,57.9,0.481,8.83,23.3,0.378,16.3,22.3,0.734,11.5,32.9,17.3,7.29,2.23,12.3,18.0
21,Bethune-Cookman,35,18,17,0.514,-9.11,-7.05,,11.0,5.0,,9,3,,5,12,,65.0,66.3,,40.1,23.4,54.0,0.433,5.09,14.9,0.341,13.2,20.1,0.658,11.8,27.8,11.9,6.89,2.71,13.5,18.9
22,Binghamton,31,2,29,0.065,-20.14,-6.24,,1.0,15.0,,1,13,,0,15,,56.8,70.7,,40.2,20.2,50.9,0.397,4.26,14.1,0.302,12.1,17.4,0.699,8.97,26.8,11.2,6.03,2.16,14.9,17.9
