Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,30,18,12,0.6,8.61,2.61,,9.0,5.0,,12,1,,4,10,,61.2,54.3,,40.3,21.4,47.5,0.45,8.87,24.3,0.365,9.5,13.2,0.72,7.7,23.1,13.5,8.73,1.7,9.83,16.1
2,Akron,29,19,10,0.655,7.03,1.68,,11.0,7.0,,14,1,,5,8,,71.8,65.6,,40.5,25.1,56.3,0.445,7.93,21.2,0.373,13.7,20.3,0.675,10.6,33.9,16.2,6.83,3.83,13.4,18.8
3,Alabama NCAA,32,24,8,0.75,16.75,6.81,,12.0,4.0,,14,1,,8,4,,75.8,65.1,,40.5,25.6,52.9,0.483,7.78,19.8,0.394,16.8,22.9,0.736,10.4,36.8,14.2,5.13,4.47,12.8,14.7
4,Alabama A&M NCAA,32,18,14,0.563,-11.96,-12.86,,12.0,6.0,,9,3,,6,8,,69.7,67.8,,40.3,23.8,59.3,0.401,6.19,20.5,0.302,15.8,25.8,0.613,13.2,37.8,13.3,10.6,3.88,15.3,19.3
5,Alabama State,30,15,15,0.5,-15.0,-11.66,,11.0,7.0,,9,4,,4,8,,58.0,61.3,,,19.4,51.0,0.381,4.53,15.1,0.3,14.6,22.4,0.649,11.3,33.7,10.4,6.7,2.0,15.8,17.5
6,Albany (NY),28,13,15,0.464,-2.63,-5.31,,9.0,9.0,,7,4,,6,10,,67.4,64.7,,40.4,23.0,52.6,0.438,6.21,16.4,0.379,15.1,21.0,0.722,11.1,33.7,13.1,8.04,2.43,14.8,17.3
7,Alcorn State,29,7,22,0.241,-23.6,-11.31,,6.0,12.0,,5,7,,2,13,,57.8,69.5,,40.5,20.1,53.0,0.379,4.83,17.0,0.285,12.8,21.3,0.6,10.9,33.1,11.3,7.66,3.55,19.7,23.0
8,American,28,16,12,0.571,-3.19,-4.3,,8.0,6.0,,9,3,,6,9,,67.2,66.1,,40.7,24.3,53.8,0.452,6.36,17.4,0.366,12.3,17.2,0.713,10.0,35.3,12.9,6.57,2.79,15.0,17.9
9,Appalachian State,30,18,12,0.6,-3.76,-4.04,,9.0,7.0,,13,1,,3,11,,73.1,69.0,,40.0,26.6,60.0,0.443,8.6,24.1,0.356,11.3,17.4,0.653,12.2,35.0,16.2,9.87,4.6,14.9,17.3
10,Arizona NCAA,37,30,7,0.811,18.0,8.02,,15.0,3.0,,15,1,,8,3,,79.7,69.7,,40.4,29.1,60.9,0.478,6.84,17.0,0.402,14.6,18.8,0.776,13.3,36.8,16.5,8.0,3.89,14.8,16.1
11,Arizona State,32,18,14,0.563,9.2,5.36,,7.0,11.0,,13,5,,4,7,,76.0,72.2,,40.2,26.0,57.5,0.452,6.81,19.6,0.348,17.2,24.1,0.716,12.9,36.7,16.6,6.28,3.63,14.6,18.9
12,Arkansas,30,18,12,0.6,12.34,3.6,,6.0,10.0,,13,3,,2,7,,71.6,62.8,,40.2,25.8,56.4,0.457,6.07,16.3,0.372,14.0,21.1,0.663,12.3,34.1,14.5,8.73,5.2,14.2,18.5
13,Arkansas State,29,16,13,0.552,-1.18,-1.87,,7.0,7.0,,12,2,,3,9,,76.1,72.3,,40.0,27.5,60.3,0.456,6.17,16.6,0.372,14.9,22.2,0.67,13.5,38.0,14.7,6.93,2.83,14.7,20.4
14,Arkansas-Pine Bluff,28,7,21,0.25,-20.72,-10.3,,5.0,13.0,,3,7,,4,13,,59.1,67.8,,,22.2,57.2,0.388,4.25,16.0,0.265,10.4,16.0,0.65,11.5,36.0,11.8,6.86,4.96,16.3,17.4
15,Army,27,3,24,0.111,-20.27,-5.39,,1.0,13.0,,3,11,,0,13,,55.9,67.9,,,19.3,48.0,0.402,6.3,18.1,0.348,11.0,14.3,0.769,6.41,27.8,11.4,5.22,1.63,15.4,16.3
16,Auburn,31,14,17,0.452,2.06,6.61,,4.0,12.0,,8,7,,3,7,,70.7,75.2,,40.5,24.4,57.9,0.422,8.35,24.4,0.343,13.5,18.6,0.726,11.3,33.1,13.0,7.35,1.94,14.5,20.1
17,Austin Peay,32,13,19,0.406,-3.75,-1.97,,9.0,7.0,,7,5,,3,11,,65.3,67.1,,40.8,23.2,53.4,0.434,6.0,17.2,0.349,13.0,19.1,0.68,10.6,31.8,12.9,6.88,2.47,14.3,19.3
18,Ball State,28,15,13,0.536,4.27,3.31,,10.0,8.0,,11,3,,4,8,,71.1,68.3,,40.2,24.7,56.8,0.435,7.29,19.4,0.376,14.4,21.0,0.687,12.6,34.7,11.9,5.54,2.46,12.2,18.3
19,Baylor,28,9,19,0.321,-2.79,4.1,,1.0,15.0,,8,9,,1,9,,66.5,71.7,,40.0,22.9,51.5,0.444,7.75,21.1,0.367,13.1,18.7,0.698,10.6,27.7,13.3,7.61,1.89,15.9,17.6
20,Belmont,30,14,16,0.467,-7.08,-7.32,,12.0,8.0,,9,5,,5,9,,70.3,70.0,,40.7,23.9,56.0,0.427,9.73,27.1,0.36,12.7,18.8,0.676,9.4,31.8,13.8,7.47,3.2,14.5,19.5
21,Bethune-Cookman,30,13,17,0.433,-15.87,-11.67,,8.0,10.0,,6,5,,5,10,,64.4,68.6,,40.3,23.7,54.6,0.434,6.43,18.7,0.343,10.5,17.5,0.601,9.33,31.8,13.6,8.1,2.43,16.3,19.2
22,Binghamton,29,12,17,0.414,-4.46,-2.56,,8.0,10.0,,7,5,,2,10,,61.5,63.4,,40.0,21.5,54.8,0.393,6.69,20.6,0.326,11.8,18.0,0.656,12.4,34.8,10.4,6.69,3.0,13.6,20.0
23,Birmingham-Southern,30,16,14,0.533,-7.24,-8.24,,7.0,9.0,,7,4,,6,9,,65.8,63.1,,,21.5,48.2,0.445,6.9,19.3,0.357,16.0,22.1,0.721,,33.2,11.2,5.23,2.2,13.3,19.6
24,Boise State,34,16,18,0.471,-2.96,0.6,,6.0,12.0,,11,7,,3,10,,70.4,74.2,,40.0,25.2,58.4,0.431,7.74,21.6,0.358,12.3,17.9,0.685,12.6,35.1,13.4,5.24,2.35,14.9,18.5
25,Boston College NCAA,30,25,5,0.833,14.38,6.42,,13.0,3.0,,16,1,,7,2,,72.5,64.5,,40.5,25.6,56.2,0.456,4.13,16.4,0.252,17.1,24.1,0.712,14.1,37.8,17.6,7.23,4.1,13.4,15.1
